"exp","id","block","item","trial","isold","condition1","rating","RT","excluding"
"APH2016_e1","APH2016_e1_1",0,"commerce",1,0,"Backward",1,1844,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"ashamed",2,1,"Backward",6,1907,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"frighten",3,1,"Backward",6,1250,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"youthful",4,0,"Backward",1,1828,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"softly",5,0,"Backward",1,1734,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"unknown",6,1,"Backward",6,1250,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"truly",7,1,"Backward",6,1172,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"dirty",8,0,"Backward",1,1688,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"kingdom",9,1,"Backward",6,1140,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"purchase",10,0,"Backward",2,2094,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"scarcely",11,0,"Backward",2,2015,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"costly",12,1,"Backward",6,953,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"fairly",13,0,"Backward",2,2469,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"barely",14,1,"Backward",5,2500,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"replace",15,0,"Backward",2,2453,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"stocking",16,1,"Backward",6,1469,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"neglect",17,1,"Backward",6,1110,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"briefly",18,0,"Backward",3,3265,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"lucky",19,1,"Backward",6,1500,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"singer",20,0,"Backward",1,2468,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"restless",21,0,"Backward",2,2203,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"sickness",22,0,"Backward",1,1828,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"shortly",23,1,"Backward",6,1297,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"intend",24,1,"Backward",5,2375,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"splendid",25,1,"Backward",6,1438,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"cheerful",26,0,"Backward",1,2640,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"worker",27,1,"Backward",6,1062,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"handsome",28,0,"Backward",1,1328,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"exchange",29,1,"Backward",6,1391,"Exclude"
"APH2016_e1","APH2016_e1_1",0,"wicked",30,1,"Backward",6,969,"Exclude"
