"exp","id","item","trial","isold","condition1","rating","excluding"
"BKSR2013_e1","BKSR2013_e1_1","CAMEL.bmp             ",1,0,"StrongScaleWording",1,"Include"
"BKSR2013_e1","BKSR2013_e1_1","COW.bmp               ",2,1,"StrongScaleWording",8,"Include"
"BKSR2013_e1","BKSR2013_e1_1","PUMPKIN.bmp           ",3,0,"StrongScaleWording",1,"Include"
"BKSR2013_e1","BKSR2013_e1_1","VEST.bmp              ",4,1,"StrongScaleWording",8,"Include"
"BKSR2013_e1","BKSR2013_e1_1","LEAF.bmp              ",5,1,"StrongScaleWording",8,"Include"
"BKSR2013_e1","BKSR2013_e1_1","RULER.bmp             ",6,0,"StrongScaleWording",1,"Include"
"BKSR2013_e1","BKSR2013_e1_1","ASHTRAY.bmp           ",7,1,"StrongScaleWording",8,"Include"
"BKSR2013_e1","BKSR2013_e1_1","HAT.bmp               ",8,0,"StrongScaleWording",1,"Include"
"BKSR2013_e1","BKSR2013_e1_1","FOOTBAHE.bmp          ",9,1,"StrongScaleWording",1,"Include"
"BKSR2013_e1","BKSR2013_e1_1","obj420stairs.bmp      ",10,1,"StrongScaleWording",8,"Include"
"BKSR2013_e1","BKSR2013_e1_1","THUMB.bmp             ",11,0,"StrongScaleWording",1,"Include"
"BKSR2013_e1","BKSR2013_e1_1","DOLL.bmp              ",12,1,"StrongScaleWording",8,"Include"
"BKSR2013_e1","BKSR2013_e1_1","obj249lizard.bmp      ",13,0,"StrongScaleWording",1,"Include"
"BKSR2013_e1","BKSR2013_e1_1","BASKET.bmp            ",14,0,"StrongScaleWording",1,"Include"
"BKSR2013_e1","BKSR2013_e1_1","PAINTBRU.bmp          ",15,1,"StrongScaleWording",8,"Include"
"BKSR2013_e1","BKSR2013_e1_1","BOWL.bmp              ",16,0,"StrongScaleWording",1,"Include"
"BKSR2013_e1","BKSR2013_e1_1","COUCH.bmp             ",17,1,"StrongScaleWording",8,"Include"
"BKSR2013_e1","BKSR2013_e1_1","KANGAROO.bmp          ",18,1,"StrongScaleWording",8,"Include"
"BKSR2013_e1","BKSR2013_e1_1","SCREWDRI.bmp          ",19,1,"StrongScaleWording",5,"Include"
"BKSR2013_e1","BKSR2013_e1_1","obj042bench.bmp       ",20,0,"StrongScaleWording",1,"Include"
"BKSR2013_e1","BKSR2013_e1_1","PEAR.bmp              ",21,0,"StrongScaleWording",1,"Include"
"BKSR2013_e1","BKSR2013_e1_1","TELEPHON.bmp          ",22,0,"StrongScaleWording",1,"Include"
"BKSR2013_e1","BKSR2013_e1_1","ANCHOR.bmp            ",23,0,"StrongScaleWording",1,"Include"
"BKSR2013_e1","BKSR2013_e1_1","PEANUT.bmp            ",24,1,"StrongScaleWording",8,"Include"
"BKSR2013_e1","BKSR2013_e1_1","STRAWBER.bmp          ",25,1,"StrongScaleWording",5,"Include"
"BKSR2013_e1","BKSR2013_e1_1","MOUNTAIN.bmp          ",26,1,"StrongScaleWording",8,"Include"
"BKSR2013_e1","BKSR2013_e1_1","SUITCASE.bmp          ",27,0,"StrongScaleWording",1,"Include"
"BKSR2013_e1","BKSR2013_e1_1","obj406slipper.bmp     ",28,0,"StrongScaleWording",1,"Include"
"BKSR2013_e1","BKSR2013_e1_1","PINEAPPL.bmp          ",29,0,"StrongScaleWording",1,"Include"
"BKSR2013_e1","BKSR2013_e1_1","ROLLINGP.bmp          ",30,0,"StrongScaleWording",1,"Include"
"BKSR2013_e1","BKSR2013_e1_1","obj114crackers.bmp    ",31,1,"StrongScaleWording",8,"Include"
"BKSR2013_e1","BKSR2013_e1_1","LOCK.bmp              ",32,1,"StrongScaleWording",8,"Include"
"BKSR2013_e1","BKSR2013_e1_1","obj502wheat.bmp       ",33,1,"StrongScaleWording",5,"Include"
"BKSR2013_e1","BKSR2013_e1_1","NUT.bmp               ",34,0,"StrongScaleWording",4,"Include"
"BKSR2013_e1","BKSR2013_e1_1","PLIERS.bmp            ",35,0,"StrongScaleWording",3,"Include"
"BKSR2013_e1","BKSR2013_e1_1","obj379scarf.bmp       ",36,1,"StrongScaleWording",7,"Include"
"BKSR2013_e1","BKSR2013_e1_1","WINEGLAS.bmp          ",37,0,"StrongScaleWording",2,"Include"
"BKSR2013_e1","BKSR2013_e1_1","ARM.bmp               ",38,0,"StrongScaleWording",1,"Include"
"BKSR2013_e1","BKSR2013_e1_1","SEAL.bmp              ",39,1,"StrongScaleWording",8,"Include"
