"exp","id","block","item","trial","isold","condition1","rating","RT","excluding"
"CSR2015_e1","CSR2015_e1_1",1,"charity",1,0,"distractor",4,7910,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"brief",2,0,"distractor",4,3730,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"comfort",3,1,"R4",6,2009,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"bread",4,0,"distractor",3,2070,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"bell",5,1,"SS",6,897,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"clay",6,0,"distractor",3,3084,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"husband",7,0,"distractor",2,1997,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"nickel",8,0,"distractor",2,1131,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"silence",9,0,"distractor",3,2029,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"atom",10,0,"distractor",3,2058,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"mustard",11,1,"R1",3,2789,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"wage",12,1,"R2",4,1474,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"rear",13,0,"distractor",4,694,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"assault",14,1,"R2",4,649,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"voice",15,1,"R4",4,3486,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"regret",16,0,"distractor",3,1422,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"guess",17,1,"R2",4,1523,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"mare",18,1,"R1",4,1093,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"birth",19,1,"R2",3,680,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"saloon",20,0,"distractor",3,1468,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"pause",21,0,"distractor",3,3055,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"loop",22,1,"R1",3,3377,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"title",23,0,"distractor",4,1239,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"hatred",24,0,"distractor",3,1236,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"height",25,1,"R4",5,1472,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"debate",26,1,"R2",5,1060,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"reed",27,1,"R4",6,1688,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"adult",28,1,"R2",4,4417,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"fight",29,1,"R4",5,1261,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"factor",30,1,"R2",3,1113,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"member",31,1,"SS",6,907,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"array",32,0,"distractor",3,2933,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"revenue",33,0,"distractor",3,1468,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"test",34,0,"distractor",4,1952,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"tunnel",35,0,"distractor",3,1855,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"battle",36,0,"distractor",3,1619,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"board",37,1,"R4",4,2528,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"crystal",38,0,"distractor",3,776,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"haze",39,0,"distractor",4,984,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"cent",40,0,"distractor",3,815,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"star",41,1,"R4",4,2701,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"teeth",42,1,"R1",4,2125,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"drum",43,1,"R1",4,1798,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"vehicle",44,1,"R1",3,3980,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"risk",45,1,"R4",4,953,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"race",46,1,"R4",4,2082,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"pump",47,0,"distractor",3,636,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"fury",48,0,"distractor",3,1378,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"plant",49,1,"R2",4,1113,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"oath",50,0,"distractor",3,2955,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"clue",51,0,"distractor",5,2274,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"gulf",52,0,"distractor",3,868,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"shame",53,0,"distractor",3,1360,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"text",54,1,"R1",4,760,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"volume",55,1,"SS",4,633,"Include"
"CSR2015_e1","CSR2015_e1_1",1,"victim",56,0,"distractor",3,6926,"Include"
