"exp","id","item","trial","isold","condition1","rating","RT","excluding"
"D2007_e1a","D2007_e1a_1","PRESENT",1,1,"HighFreq",5,4790,"Include"
"D2007_e1a","D2007_e1a_1","DESPISE",2,0,"LowFreq",2,4269,"Include"
"D2007_e1a","D2007_e1a_1","CONVICT",3,0,"LowFreq",3,6421,"Include"
"D2007_e1a","D2007_e1a_1","UNLESS",4,0,"HighFreq",3,1775,"Include"
"D2007_e1a","D2007_e1a_1","FURTHER",5,0,"HighFreq",4,2826,"Include"
"D2007_e1a","D2007_e1a_1","LATHER",6,1,"LowFreq",6,2023,"Include"
"D2007_e1a","D2007_e1a_1","FRENZY",7,1,"LowFreq",6,953,"Include"
"D2007_e1a","D2007_e1a_1","ILLICIT",8,1,"LowFreq",6,844,"Include"
"D2007_e1a","D2007_e1a_1","GARNER",9,1,"LowFreq",6,761,"Include"
"D2007_e1a","D2007_e1a_1","BECAME",10,1,"HighFreq",1,2205,"Include"
"D2007_e1a","D2007_e1a_1","GRATE",11,1,"LowFreq",4,2754,"Include"
"D2007_e1a","D2007_e1a_1","DEDUCE",12,0,"LowFreq",1,1625,"Include"
"D2007_e1a","D2007_e1a_1","CERTIFY",13,0,"LowFreq",2,2323,"Include"
"D2007_e1a","D2007_e1a_1","ABOVE",14,0,"HighFreq",3,2298,"Include"
"D2007_e1a","D2007_e1a_1","PARTY",15,0,"HighFreq",1,1666,"Include"
"D2007_e1a","D2007_e1a_1","DRIVE",16,0,"HighFreq",3,3460,"Include"
"D2007_e1a","D2007_e1a_1","COMPANY",17,0,"HighFreq",1,1240,"Include"
"D2007_e1a","D2007_e1a_1","LIKELY",18,0,"HighFreq",2,3438,"Include"
"D2007_e1a","D2007_e1a_1","SPRING",19,0,"HighFreq",2,3276,"Include"
"D2007_e1a","D2007_e1a_1","SEASON",20,0,"HighFreq",1,1317,"Include"
"D2007_e1a","D2007_e1a_1","TALLY",21,0,"LowFreq",1,831,"Include"
"D2007_e1a","D2007_e1a_1","DAILY",22,1,"HighFreq",6,2372,"Include"
"D2007_e1a","D2007_e1a_1","WAGER",23,1,"LowFreq",5,1927,"Include"
"D2007_e1a","D2007_e1a_1","PLANE",24,0,"HighFreq",1,1336,"Include"
"D2007_e1a","D2007_e1a_1","VOICE",25,1,"HighFreq",3,3069,"Include"
"D2007_e1a","D2007_e1a_1","SCOOP",26,0,"LowFreq",1,1483,"Include"
"D2007_e1a","D2007_e1a_1","IMPAIR",27,0,"LowFreq",3,3255,"Include"
"D2007_e1a","D2007_e1a_1","PADDLE",28,0,"LowFreq",3,2650,"Include"
"D2007_e1a","D2007_e1a_1","OUTSIDE",29,1,"HighFreq",5,2509,"Include"
"D2007_e1a","D2007_e1a_1","EXALT",30,1,"LowFreq",3,2238,"Include"
"D2007_e1a","D2007_e1a_1","BORROW",31,0,"LowFreq",3,2119,"Include"
"D2007_e1a","D2007_e1a_1","LARGE",32,1,"HighFreq",3,3980,"Include"
