"exp","id","item","isold","condition1","rating","RT","excluding","trial"
"DW2020_e1","DW2020_e1_1","SECRETARY",1,"DemandInstructions",6,4053.578,"Include",1
"DW2020_e1","DW2020_e1_1","PATTERN",1,"DemandInstructions",6,1323.156,"Include",2
"DW2020_e1","DW2020_e1_1","DIVISION",0,"DemandInstructions",1,1354.724,"Include",3
"DW2020_e1","DW2020_e1_1","NUMBER",1,"DemandInstructions",6,1680.723,"Include",4
"DW2020_e1","DW2020_e1_1","HANDS",1,"DemandInstructions",6,1127.584,"Include",5
"DW2020_e1","DW2020_e1_1","INFLUENCE",1,"DemandInstructions",5,3726.643,"Include",6
"DW2020_e1","DW2020_e1_1","AMERICA",1,"DemandInstructions",6,1219.81,"Include",7
"DW2020_e1","DW2020_e1_1","TAX",1,"DemandInstructions",6,1279.52,"Include",8
"DW2020_e1","DW2020_e1_1","POPULATION",0,"DemandInstructions",1,1105.66,"Include",9
"DW2020_e1","DW2020_e1_1","FAMILY",1,"DemandInstructions",4,5825.085,"Include",10
"DW2020_e1","DW2020_e1_1","INFORMATION",1,"DemandInstructions",5,3438.411,"Include",11
"DW2020_e1","DW2020_e1_1","STORY",1,"DemandInstructions",6,926.7041,"Include",12
"DW2020_e1","DW2020_e1_1","TRIAL",0,"DemandInstructions",1,872.259,"Include",13
"DW2020_e1","DW2020_e1_1","MASS",1,"DemandInstructions",6,961.743,"Include",14
"DW2020_e1","DW2020_e1_1","ROAD",0,"DemandInstructions",4,5304.267,"Include",15
"DW2020_e1","DW2020_e1_1","SUNDAY",0,"DemandInstructions",1,1289.144,"Include",16
"DW2020_e1","DW2020_e1_1","WORDS",0,"DemandInstructions",2,3362.116,"Include",17
"DW2020_e1","DW2020_e1_1","CLUB",0,"DemandInstructions",1,1386.912,"Include",18
"DW2020_e1","DW2020_e1_1","SON",1,"DemandInstructions",6,846.2447,"Include",19
"DW2020_e1","DW2020_e1_1","TEN",1,"DemandInstructions",6,2034.754,"Include",20
"DW2020_e1","DW2020_e1_1","WOMEN",1,"DemandInstructions",6,878.4862,"Include",21
"DW2020_e1","DW2020_e1_1","CORNER",0,"DemandInstructions",1,992.0943,"Include",22
"DW2020_e1","DW2020_e1_1","UNIT",1,"DemandInstructions",1,1365.352,"Include",23
"DW2020_e1","DW2020_e1_1","DIFFERENCE",1,"DemandInstructions",6,851.6818,"Include",24
"DW2020_e1","DW2020_e1_1","QUALITY",0,"DemandInstructions",1,879.658,"Include",25
"DW2020_e1","DW2020_e1_1","FIELD",0,"DemandInstructions",2,2066.009,"Include",26
"DW2020_e1","DW2020_e1_1","BOARD",0,"DemandInstructions",1,1416.634,"Include",27
"DW2020_e1","DW2020_e1_1","EYES",1,"DemandInstructions",1,1019.165,"Include",28
"DW2020_e1","DW2020_e1_1","FEAR",0,"DemandInstructions",1,964.8963,"Include",29
"DW2020_e1","DW2020_e1_1","WATER",0,"DemandInstructions",1,1412.028,"Include",30
"DW2020_e1","DW2020_e1_1","ANALYSIS",0,"DemandInstructions",1,1055.49,"Include",31
"DW2020_e1","DW2020_e1_1","INCOME",1,"DemandInstructions",6,1008.633,"Include",32
"DW2020_e1","DW2020_e1_1","PERIOD",0,"DemandInstructions",1,2054.24,"Include",33
"DW2020_e1","DW2020_e1_1","WINDOW",1,"DemandInstructions",6,704.3307,"Include",34
"DW2020_e1","DW2020_e1_1","DATA",0,"DemandInstructions",1,1137.67,"Include",35
"DW2020_e1","DW2020_e1_1","FORCE",1,"DemandInstructions",1,2023.688,"Include",36
"DW2020_e1","DW2020_e1_1","AUDIENCE",0,"DemandInstructions",2,4833.544,"Include",37
"DW2020_e1","DW2020_e1_1","LETTERS",1,"DemandInstructions",6,1076.208,"Include",38
"DW2020_e1","DW2020_e1_1","LENGTH",0,"DemandInstructions",1,1069.74,"Include",39
"DW2020_e1","DW2020_e1_1","MONTH",0,"DemandInstructions",1,861.593,"Include",40
"DW2020_e1","DW2020_e1_1","TEST",1,"DemandInstructions",6,751.9157,"Include",41
"DW2020_e1","DW2020_e1_1","ISLAND",0,"DemandInstructions",1,758.5984,"Include",42
"DW2020_e1","DW2020_e1_1","AGE",1,"DemandInstructions",6,2573.746,"Include",43
"DW2020_e1","DW2020_e1_1","LOT",1,"DemandInstructions",6,977.4369,"Include",44
"DW2020_e1","DW2020_e1_1","BIT",1,"DemandInstructions",6,943.5461,"Include",45
"DW2020_e1","DW2020_e1_1","BUILDING",1,"DemandInstructions",6,1231.39,"Include",46
"DW2020_e1","DW2020_e1_1","FUTURE",1,"DemandInstructions",5,2203.611,"Include",47
"DW2020_e1","DW2020_e1_1","MOMENT",0,"DemandInstructions",1,1414.365,"Include",48
"DW2020_e1","DW2020_e1_1","NEWS",1,"DemandInstructions",6,1081.522,"Include",49
"DW2020_e1","DW2020_e1_1","AREA",0,"DemandInstructions",2,2163.6,"Include",50
"DW2020_e1","DW2020_e1_1","METHOD",0,"DemandInstructions",1,1888.008,"Include",51
"DW2020_e1","DW2020_e1_1","SIX",0,"DemandInstructions",1,1609.157,"Include",52
"DW2020_e1","DW2020_e1_1","ISSUE",1,"DemandInstructions",5,3443.391,"Include",53
"DW2020_e1","DW2020_e1_1","WRITING",0,"DemandInstructions",1,3298.117,"Include",54
"DW2020_e1","DW2020_e1_1","ORDER",0,"DemandInstructions",1,1440.513,"Include",55
"DW2020_e1","DW2020_e1_1","OPERATION",1,"DemandInstructions",6,1091.242,"Include",56
"DW2020_e1","DW2020_e1_1","HOT DOGS",0,"DemandInstructions",1,1069.219,"Include",57
"DW2020_e1","DW2020_e1_1","HAND",0,"DemandInstructions",6,1440.6,"Include",58
"DW2020_e1","DW2020_e1_1","GROUP",0,"DemandInstructions",5,2747.851,"Include",59
"DW2020_e1","DW2020_e1_1","SPACE",1,"DemandInstructions",6,783.9783,"Include",60
"DW2020_e1","DW2020_e1_1","PEOPLE",0,"DemandInstructions",5,4334.808,"Include",61
"DW2020_e1","DW2020_e1_1","LIGHT",0,"DemandInstructions",1,1087.501,"Include",62
"DW2020_e1","DW2020_e1_1","MORNING",1,"DemandInstructions",6,811.0064,"Include",63
"DW2020_e1","DW2020_e1_1","WIFE",0,"DemandInstructions",1,1440.239,"Include",64
"DW2020_e1","DW2020_e1_1","PERFORMANCE",0,"DemandInstructions",1,2506.909,"Include",65
"DW2020_e1","DW2020_e1_1","CHILDREN",0,"DemandInstructions",2,3111.906,"Include",66
"DW2020_e1","DW2020_e1_1","STOCK",1,"DemandInstructions",6,788.6774,"Include",67
"DW2020_e1","DW2020_e1_1","WELL",1,"DemandInstructions",6,858.0215,"Include",68
"DW2020_e1","DW2020_e1_1","OFFICER",0,"DemandInstructions",1,1643.609,"Include",69
"DW2020_e1","DW2020_e1_1","GROUND",0,"DemandInstructions",2,3253.054,"Include",70
"DW2020_e1","DW2020_e1_1","DOOR",0,"DemandInstructions",1,1226.722,"Include",71
"DW2020_e1","DW2020_e1_1","ACT",0,"DemandInstructions",5,2603.723,"Include",72
"DW2020_e1","DW2020_e1_1","EXISTENCE",1,"DemandInstructions",6,1782.304,"Include",73
"DW2020_e1","DW2020_e1_1","LITERATURE",0,"DemandInstructions",1,1146.049,"Include",74
"DW2020_e1","DW2020_e1_1","GAME",0,"DemandInstructions",1,2041.811,"Include",75
"DW2020_e1","DW2020_e1_1","DEFENSE",0,"DemandInstructions",1,1234.161,"Include",76
"DW2020_e1","DW2020_e1_1","CHILD",1,"DemandInstructions",6,1516.452,"Include",77
"DW2020_e1","DW2020_e1_1","BROWN",1,"DemandInstructions",6,819.5878,"Include",78
"DW2020_e1","DW2020_e1_1","HUSBAND",1,"DemandInstructions",1,1208.471,"Include",79
"DW2020_e1","DW2020_e1_1","SENSE",1,"DemandInstructions",2,1523.566,"Include",80
"DW2020_e1","DW2020_e1_1","NATURE",1,"DemandInstructions",6,1099.502,"Include",81
"DW2020_e1","DW2020_e1_1","STRENGTH",0,"DemandInstructions",2,3597.648,"Include",82
"DW2020_e1","DW2020_e1_1","EFFORT",0,"DemandInstructions",1,980.6564,"Include",83
"DW2020_e1","DW2020_e1_1","VIEW",1,"DemandInstructions",3,5057.5,"Include",84
"DW2020_e1","DW2020_e1_1","SUMMER",0,"DemandInstructions",4,5411.658,"Include",85
"DW2020_e1","DW2020_e1_1","STREET",1,"DemandInstructions",6,1063.014,"Include",86
"DW2020_e1","DW2020_e1_1","YEAR",0,"DemandInstructions",1,1689.662,"Include",87
"DW2020_e1","DW2020_e1_1","ACTION",1,"DemandInstructions",5,1626.67,"Include",88
"DW2020_e1","DW2020_e1_1","TEMPERATURE",1,"DemandInstructions",6,908.9842,"Include",89
"DW2020_e1","DW2020_e1_1","FATHER",0,"DemandInstructions",2,2540.455,"Include",90
"DW2020_e1","DW2020_e1_1","TABLE",0,"DemandInstructions",3,2201.081,"Include",91
"DW2020_e1","DW2020_e1_1","JOB",1,"DemandInstructions",1,2138.144,"Include",92
"DW2020_e1","DW2020_e1_1","DIRECTOR",1,"DemandInstructions",5,3591.863,"Include",93
"DW2020_e1","DW2020_e1_1","STUDY",1,"DemandInstructions",6,1127.691,"Include",94
"DW2020_e1","DW2020_e1_1","PLACE",1,"DemandInstructions",6,885.475,"Include",95
"DW2020_e1","DW2020_e1_1","POSITION",0,"DemandInstructions",1,1415.145,"Include",96
"DW2020_e1","DW2020_e1_1","CENT",1,"DemandInstructions",6,800.5395,"Include",97
"DW2020_e1","DW2020_e1_1","LAW",0,"DemandInstructions",1,1130.161,"Include",98
"DW2020_e1","DW2020_e1_1","PROCESS",1,"DemandInstructions",1,2105.46,"Include",99
"DW2020_e1","DW2020_e1_1","AVERAGE",0,"DemandInstructions",1,991.8194,"Include",100
"DW2020_e1","DW2020_e1_1","CHRISTIAN",1,"DemandInstructions",6,4038.301,"Include",101
"DW2020_e1","DW2020_e1_1","LETTER",0,"DemandInstructions",6,948.5763,"Include",102
"DW2020_e1","DW2020_e1_1","VALUES",1,"DemandInstructions",1,1099.41,"Include",103
"DW2020_e1","DW2020_e1_1","MARKET",0,"DemandInstructions",1,1979.862,"Include",104
"DW2020_e1","DW2020_e1_1","GIRLS",1,"DemandInstructions",6,832.2847,"Include",105
"DW2020_e1","DW2020_e1_1","SERVICE",1,"DemandInstructions",6,947.936,"Include",106
"DW2020_e1","DW2020_e1_1","PLANT",0,"DemandInstructions",2,1490.922,"Include",107
"DW2020_e1","DW2020_e1_1","PRINCIPLE",0,"DemandInstructions",1,1116.201,"Include",108
"DW2020_e1","DW2020_e1_1","CHARACTER",1,"DemandInstructions",2,3067.989,"Include",109
"DW2020_e1","DW2020_e1_1","RIVER",0,"DemandInstructions",1,946.6997,"Include",110
"DW2020_e1","DW2020_e1_1","EIGHT",1,"DemandInstructions",6,923.7816,"Include",111
"DW2020_e1","DW2020_e1_1","WAR",1,"DemandInstructions",1,1516.279,"Include",112
"DW2020_e1","DW2020_e1_1","SOUND",1,"DemandInstructions",1,1637.498,"Include",113
"DW2020_e1","DW2020_e1_1","STAGE",1,"DemandInstructions",4,2840.244,"Include",114
"DW2020_e1","DW2020_e1_1","KNOWLEDGE",1,"DemandInstructions",6,912.2399,"Include",115
"DW2020_e1","DW2020_e1_1","PRICE",0,"DemandInstructions",1,2697.3,"Include",116
"DW2020_e1","DW2020_e1_1","THING",0,"DemandInstructions",1,1304.589,"Include",117
"DW2020_e1","DW2020_e1_1","MILLION",0,"DemandInstructions",1,1138.337,"Include",118
"DW2020_e1","DW2020_e1_1","TERMS",0,"DemandInstructions",1,1606.129,"Include",119
"DW2020_e1","DW2020_e1_1","BACK",0,"DemandInstructions",1,3600.268,"Include",120
"DW2020_e1","DW2020_e1_1","DIRECTION",0,"DemandInstructions",4,2289.557,"Include",121
"DW2020_e1","DW2020_e1_1","BOY",0,"DemandInstructions",6,1424.302,"Include",122
"DW2020_e1","DW2020_e1_1","PERSON",1,"DemandInstructions",6,3988.401,"Include",123
"DW2020_e1","DW2020_e1_1","COURSE",0,"DemandInstructions",2,2085.528,"Include",124
"DW2020_e1","DW2020_e1_1","CENTURY",0,"DemandInstructions",1,1140.796,"Include",125
"DW2020_e1","DW2020_e1_1","FRIENDS",0,"DemandInstructions",4,2836.03,"Include",126
"DW2020_e1","DW2020_e1_1","HALF",0,"DemandInstructions",1,1196.561,"Include",127
"DW2020_e1","DW2020_e1_1","THOUGHT",1,"DemandInstructions",2,2832.912,"Include",128
"DW2020_e1","DW2020_e1_1","SEASON",1,"DemandInstructions",5,2867.062,"Include",129
"DW2020_e1","DW2020_e1_1","INDUSTRY",1,"DemandInstructions",1,1682.91,"Include",130
"DW2020_e1","DW2020_e1_1","LINE",1,"DemandInstructions",2,1963.655,"Include",131
"DW2020_e1","DW2020_e1_1","FUNCTION",1,"DemandInstructions",6,1320.58,"Include",132
"DW2020_e1","DW2020_e1_1","RACE",1,"DemandInstructions",6,1006.892,"Include",133
"DW2020_e1","DW2020_e1_1","CENTER",0,"DemandInstructions",1,1394.793,"Include",134
"DW2020_e1","DW2020_e1_1","COMMUNITY",0,"DemandInstructions",1,2007.645,"Include",135
"DW2020_e1","DW2020_e1_1","FOUR",1,"DemandInstructions",1,1377.666,"Include",136
"DW2020_e1","DW2020_e1_1","FINE",0,"DemandInstructions",2,7812.583,"Include",137
"DW2020_e1","DW2020_e1_1","POWER",1,"DemandInstructions",6,821.2948,"Include",138
"DW2020_e1","DW2020_e1_1","TOP",0,"DemandInstructions",1,1281.2,"Include",139
"DW2020_e1","DW2020_e1_1","AIR",1,"DemandInstructions",6,1647.983,"Include",140
"DW2020_e1","DW2020_e1_1","DISTANCE",0,"DemandInstructions",2,2128.058,"Include",141
"DW2020_e1","DW2020_e1_1","MARCH",0,"DemandInstructions",1,1518.657,"Include",142
