"exp","id","trial","item","isold","condition1","rating","RT","excluding"
"FO2016_e2a","FO2016_e2a_1","1","prayer",0,"New",1,3434,"Include"
"FO2016_e2a","FO2016_e2a_1","2","cabin",1,"Aloud",4,6250,"Include"
"FO2016_e2a","FO2016_e2a_1","3","idea",0,"New",6,3706,"Include"
"FO2016_e2a","FO2016_e2a_1","4","cotton",0,"New",2,4530,"Include"
"FO2016_e2a","FO2016_e2a_1","5","river",1,"Aloud",5,5434,"Include"
"FO2016_e2a","FO2016_e2a_1","6","competition",1,"Aloud",4,7066,"Include"
"FO2016_e2a","FO2016_e2a_1","7","material",1,"Aloud",6,3250,"Include"
"FO2016_e2a","FO2016_e2a_1","8","facility",0,"New",4,2514,"Include"
"FO2016_e2a","FO2016_e2a_1","9","joke",0,"New",6,2978,"Include"
"FO2016_e2a","FO2016_e2a_1","10","inhabitant",0,"New",1,1298,"Include"
"FO2016_e2a","FO2016_e2a_1","11","rod",1,"Silent",5,3178,"Include"
"FO2016_e2a","FO2016_e2a_1","12","misery",1,"Aloud",6,1202,"Include"
"FO2016_e2a","FO2016_e2a_1","13","money",0,"New",5,1546,"Include"
"FO2016_e2a","FO2016_e2a_1","14","winter",1,"Aloud",6,1330,"Include"
"FO2016_e2a","FO2016_e2a_1","15","charter",1,"Silent",3,2834,"Include"
"FO2016_e2a","FO2016_e2a_1","16","iron",1,"Silent",5,2354,"Include"
"FO2016_e2a","FO2016_e2a_1","17","form",0,"New",3,5770,"Include"
"FO2016_e2a","FO2016_e2a_1","18","monarch",0,"New",4,5202,"Include"
"FO2016_e2a","FO2016_e2a_1","19","costume",1,"Silent",6,2850,"Include"
"FO2016_e2a","FO2016_e2a_1","20","attitude",1,"Aloud",5,1450,"Include"
"FO2016_e2a","FO2016_e2a_1","21","glory",1,"Silent",6,1082,"Include"
"FO2016_e2a","FO2016_e2a_1","22","scarlet",1,"Silent",6,1162,"Include"
"FO2016_e2a","FO2016_e2a_1","23","meeting",1,"Silent",2,5122,"Include"
"FO2016_e2a","FO2016_e2a_1","24","quest",0,"New",3,2618,"Include"
"FO2016_e2a","FO2016_e2a_1","25","chance",0,"New",2,2010,"Include"
"FO2016_e2a","FO2016_e2a_1","26","thorn",1,"Silent",4,2690,"Include"
"FO2016_e2a","FO2016_e2a_1","27","christmas",0,"New",3,3826,"Include"
"FO2016_e2a","FO2016_e2a_1","28","confidence",0,"New",2,2618,"Include"
"FO2016_e2a","FO2016_e2a_1","29","poetry",1,"Silent",2,1242,"Include"
"FO2016_e2a","FO2016_e2a_1","30","garden",1,"Silent",5,3570,"Include"
"FO2016_e2a","FO2016_e2a_1","31","settler",0,"New",2,3490,"Include"
"FO2016_e2a","FO2016_e2a_1","32","reflection",1,"Silent",2,5874,"Include"
"FO2016_e2a","FO2016_e2a_1","33","plain",0,"New",2,1610,"Include"
"FO2016_e2a","FO2016_e2a_1","34","diamond",0,"New",1,1162,"Include"
"FO2016_e2a","FO2016_e2a_1","35","disposition",0,"New",1,1930,"Include"
"FO2016_e2a","FO2016_e2a_1","36","lake",1,"Silent",3,5026,"Include"
"FO2016_e2a","FO2016_e2a_1","37","cat",1,"Aloud",3,2890,"Include"
"FO2016_e2a","FO2016_e2a_1","38","tablespoon",1,"Silent",3,5562,"Include"
"FO2016_e2a","FO2016_e2a_1","39","fox",0,"New",1,2258,"Include"
"FO2016_e2a","FO2016_e2a_1","40","party",0,"New",4,5138,"Include"
"FO2016_e2a","FO2016_e2a_1","43","grass",1,"Silent",4,2098,"Include"
"FO2016_e2a","FO2016_e2a_1","44","soil",1,"Aloud",3,2586,"Include"
"FO2016_e2a","FO2016_e2a_1","45","slipper",1,"Silent",4,7738,"Include"
"FO2016_e2a","FO2016_e2a_1","46","oxygen",1,"Aloud",6,1466,"Include"
"FO2016_e2a","FO2016_e2a_1","47","honour",1,"Silent",2,3282,"Include"
"FO2016_e2a","FO2016_e2a_1","48","warmth",1,"Aloud",6,1546,"Include"
"FO2016_e2a","FO2016_e2a_1","49","baby",1,"Aloud",6,1186,"Include"
"FO2016_e2a","FO2016_e2a_1","50","attendant",1,"Aloud",4,2218,"Include"
"FO2016_e2a","FO2016_e2a_1","51","moral",1,"Silent",6,1978,"Include"
"FO2016_e2a","FO2016_e2a_1","52","ability",0,"New",5,1258,"Include"
"FO2016_e2a","FO2016_e2a_1","53","priest",1,"Silent",3,4410,"Include"
"FO2016_e2a","FO2016_e2a_1","54","elephant",1,"Silent",6,2394,"Include"
"FO2016_e2a","FO2016_e2a_1","55","charm",0,"New",3,6306,"Include"
"FO2016_e2a","FO2016_e2a_1","56","air",0,"New",1,3898,"Include"
"FO2016_e2a","FO2016_e2a_1","57","fowl",1,"Aloud",5,1930,"Include"
"FO2016_e2a","FO2016_e2a_1","58","bowl",0,"New",6,1050,"Include"
"FO2016_e2a","FO2016_e2a_1","59","comrade",0,"New",5,5234,"Include"
"FO2016_e2a","FO2016_e2a_1","60","length",0,"New",2,5434,"Include"
"FO2016_e2a","FO2016_e2a_1","61","product",1,"Aloud",4,2258,"Include"
