"exp","id","item","isold","condition1","rating","RT","excluding","trial"
"FO2016_e2b","FO2016_e2b_9","committee",0,"Aloud",2,3946,"Include",1
"FO2016_e2b","FO2016_e2b_9","impulse",0,"Aloud",4,5858,"Include",2
"FO2016_e2b","FO2016_e2b_9","physician",0,"Aloud",2,3722,"Include",3
"FO2016_e2b","FO2016_e2b_9","animal",1,"Aloud",4,2578,"Include",4
"FO2016_e2b","FO2016_e2b_9","sulphur",0,"Aloud",1,2682,"Include",5
"FO2016_e2b","FO2016_e2b_9","duty",1,"Aloud",4,3058,"Include",6
"FO2016_e2b","FO2016_e2b_9","city",1,"Aloud",6,2274,"Include",7
"FO2016_e2b","FO2016_e2b_9","spray",1,"Aloud",6,1330,"Include",8
"FO2016_e2b","FO2016_e2b_9","material",1,"Aloud",6,1586,"Include",9
"FO2016_e2b","FO2016_e2b_9","oven",0,"Aloud",1,2802,"Include",10
"FO2016_e2b","FO2016_e2b_9","chin",0,"Aloud",1,1290,"Include",11
"FO2016_e2b","FO2016_e2b_9","slipper",0,"Aloud",1,2570,"Include",12
"FO2016_e2b","FO2016_e2b_9","disposition",0,"Aloud",5,2698,"Include",13
"FO2016_e2b","FO2016_e2b_9","oxygen",1,"Aloud",1,2018,"Include",14
"FO2016_e2b","FO2016_e2b_9","disease",0,"Aloud",4,2714,"Include",15
"FO2016_e2b","FO2016_e2b_9","air",0,"Aloud",3,2170,"Include",16
"FO2016_e2b","FO2016_e2b_9","vegetable",0,"Aloud",2,2794,"Include",17
"FO2016_e2b","FO2016_e2b_9","ability",1,"Aloud",6,1674,"Include",18
"FO2016_e2b","FO2016_e2b_9","artist",0,"Aloud",3,3594,"Include",19
"FO2016_e2b","FO2016_e2b_9","settler",0,"Aloud",3,1842,"Include",20
"FO2016_e2b","FO2016_e2b_9","amount",0,"Aloud",3,4170,"Include",21
"FO2016_e2b","FO2016_e2b_9","prairie",0,"Aloud",2,2154,"Include",22
"FO2016_e2b","FO2016_e2b_9","quest",1,"Aloud",6,1786,"Include",23
"FO2016_e2b","FO2016_e2b_9","river",1,"Aloud",5,1754,"Include",24
"FO2016_e2b","FO2016_e2b_9","disaster",1,"Aloud",6,1362,"Include",25
"FO2016_e2b","FO2016_e2b_9","murder",0,"Aloud",5,1618,"Include",26
"FO2016_e2b","FO2016_e2b_9","headquarters",1,"Aloud",6,978,"Include",27
"FO2016_e2b","FO2016_e2b_9","metal",0,"Aloud",3,4066,"Include",28
"FO2016_e2b","FO2016_e2b_9","horse",0,"Aloud",2,2186,"Include",29
"FO2016_e2b","FO2016_e2b_9","christmas",0,"Aloud",1,938,"Include",30
"FO2016_e2b","FO2016_e2b_9","attitude",1,"Aloud",6,994,"Include",31
"FO2016_e2b","FO2016_e2b_9","death",0,"Aloud",3,3930,"Include",32
"FO2016_e2b","FO2016_e2b_9","string",0,"Aloud",3,1522,"Include",33
"FO2016_e2b","FO2016_e2b_9","intellect",0,"Aloud",3,2586,"Include",34
"FO2016_e2b","FO2016_e2b_9","folly",1,"Aloud",2,2298,"Include",35
"FO2016_e2b","FO2016_e2b_9","vanity",1,"Aloud",5,2370,"Include",36
"FO2016_e2b","FO2016_e2b_9","salute",0,"Aloud",3,2354,"Include",37
"FO2016_e2b","FO2016_e2b_9","colony",0,"Aloud",3,2050,"Include",38
"FO2016_e2b","FO2016_e2b_9","circuit",1,"Aloud",6,1322,"Include",39
"FO2016_e2b","FO2016_e2b_9","dirt",0,"Aloud",2,2290,"Include",40
"FO2016_e2b","FO2016_e2b_9","valley",1,"Aloud",6,1170,"Include",41
"FO2016_e2b","FO2016_e2b_9","window",0,"Aloud",4,3234,"Include",42
"FO2016_e2b","FO2016_e2b_9","capacity",0,"Aloud",4,3394,"Include",43
"FO2016_e2b","FO2016_e2b_9","moisture",0,"Aloud",4,3050,"Include",44
"FO2016_e2b","FO2016_e2b_9","moss",0,"Aloud",2,7458,"Include",45
"FO2016_e2b","FO2016_e2b_9","form",1,"Aloud",2,1026,"Include",46
"FO2016_e2b","FO2016_e2b_9","situation",0,"Aloud",4,2058,"Include",47
"FO2016_e2b","FO2016_e2b_9","direction",0,"Aloud",4,1626,"Include",48
"FO2016_e2b","FO2016_e2b_9","monarch",1,"Aloud",5,3490,"Include",49
"FO2016_e2b","FO2016_e2b_9","weapon",1,"Aloud",6,882,"Include",50
"FO2016_e2b","FO2016_e2b_9","length",0,"Aloud",1,1658,"Include",51
"FO2016_e2b","FO2016_e2b_9","comrade",0,"Aloud",3,3218,"Include",52
"FO2016_e2b","FO2016_e2b_9","warmth",1,"Aloud",3,2578,"Include",53
"FO2016_e2b","FO2016_e2b_9","railroad",0,"Aloud",4,1658,"Include",54
"FO2016_e2b","FO2016_e2b_9","storm",1,"Aloud",6,2738,"Include",55
"FO2016_e2b","FO2016_e2b_9","goddess",1,"Aloud",6,778,"Include",56
"FO2016_e2b","FO2016_e2b_9","garden",0,"Aloud",4,2042,"Include",57
"FO2016_e2b","FO2016_e2b_9","fowl",0,"Aloud",2,2178,"Include",58
"FO2016_e2b","FO2016_e2b_9","robber",1,"Aloud",6,1114,"Include",59
"FO2016_e2b","FO2016_e2b_9","trouble",1,"Aloud",6,738,"Include",60
"FO2016_e2b","FO2016_e2b_9","charter",0,"Aloud",3,3138,"Include",61
"FO2016_e2b","FO2016_e2b_9","thorn",1,"Aloud",6,1602,"Include",62
"FO2016_e2b","FO2016_e2b_9","butter",0,"Aloud",1,1370,"Include",63
"FO2016_e2b","FO2016_e2b_9","fox",0,"Aloud",2,1306,"Include",64
"FO2016_e2b","FO2016_e2b_9","code",1,"Aloud",6,994,"Include",65
"FO2016_e2b","FO2016_e2b_9","atmosphere",0,"Aloud",1,1914,"Include",66
"FO2016_e2b","FO2016_e2b_9","skin",1,"Aloud",6,962,"Include",67
"FO2016_e2b","FO2016_e2b_9","attribute",1,"Aloud",6,1026,"Include",68
"FO2016_e2b","FO2016_e2b_9","excuse",1,"Aloud",6,1434,"Include",69
"FO2016_e2b","FO2016_e2b_9","plain",1,"Aloud",6,914,"Include",70
"FO2016_e2b","FO2016_e2b_9","leader",0,"Aloud",3,4578,"Include",71
"FO2016_e2b","FO2016_e2b_9","democracy",0,"Aloud",6,2610,"Include",72
"FO2016_e2b","FO2016_e2b_9","toast",0,"Aloud",1,1762,"Include",73
"FO2016_e2b","FO2016_e2b_9","inhabitant",1,"Aloud",5,4362,"Include",74
"FO2016_e2b","FO2016_e2b_9","glory",0,"Aloud",2,1386,"Include",75
"FO2016_e2b","FO2016_e2b_9","door",1,"Aloud",6,1762,"Include",76
"FO2016_e2b","FO2016_e2b_9","wheat",1,"Aloud",6,1098,"Include",77
"FO2016_e2b","FO2016_e2b_9","baron",0,"Aloud",2,2130,"Include",78
"FO2016_e2b","FO2016_e2b_9","interest",0,"Aloud",3,1626,"Include",79
"FO2016_e2b","FO2016_e2b_9","ankle",1,"Aloud",6,882,"Include",80
"FO2016_e2b","FO2016_e2b_9","comparison",1,"Aloud",3,3202,"Include",81
