"exp","id","item","isold","condition1","rating","excluding","trial"
"FO2016_e3","FO2016_e3_1","array",0,"silent",6,"Include",1
"FO2016_e3","FO2016_e3_1","death",1,"silent",1,"Include",2
"FO2016_e3","FO2016_e3_1","city",0,"silent",6,"Include",3
"FO2016_e3","FO2016_e3_1","pupil",1,"silent",4,"Include",4
"FO2016_e3","FO2016_e3_1","wine",1,"silent",2,"Include",5
"FO2016_e3","FO2016_e3_1","forest",1,"silent",1,"Include",6
"FO2016_e3","FO2016_e3_1","ticket",0,"silent",1,"Include",7
"FO2016_e3","FO2016_e3_1","disease",1,"silent",1,"Include",8
"FO2016_e3","FO2016_e3_1","committee",0,"silent",3,"Include",9
"FO2016_e3","FO2016_e3_1","meeting",1,"silent",1,"Include",10
"FO2016_e3","FO2016_e3_1","inhabitant",0,"silent",6,"Include",11
"FO2016_e3","FO2016_e3_1","headquarters",0,"silent",5,"Include",12
"FO2016_e3","FO2016_e3_1","queen",0,"silent",5,"Include",13
"FO2016_e3","FO2016_e3_1","iron",0,"silent",5,"Include",14
"FO2016_e3","FO2016_e3_1","democracy",0,"silent",2,"Include",15
"FO2016_e3","FO2016_e3_1","salute",1,"silent",1,"Include",16
"FO2016_e3","FO2016_e3_1","steam",0,"silent",2,"Include",17
"FO2016_e3","FO2016_e3_1","capacity",1,"silent",2,"Include",18
"FO2016_e3","FO2016_e3_1","sensation",1,"silent",2,"Include",19
"FO2016_e3","FO2016_e3_1","instance",1,"silent",2,"Include",20
"FO2016_e3","FO2016_e3_1","direction",1,"silent",3,"Include",21
"FO2016_e3","FO2016_e3_1","boulder",0,"silent",5,"Include",22
"FO2016_e3","FO2016_e3_1","wheat",1,"silent",1,"Include",23
"FO2016_e3","FO2016_e3_1","jail",1,"silent",1,"Include",24
"FO2016_e3","FO2016_e3_1","attribute",0,"silent",3,"Include",25
"FO2016_e3","FO2016_e3_1","confidence",0,"silent",2,"Include",26
"FO2016_e3","FO2016_e3_1","string",1,"silent",1,"Include",27
"FO2016_e3","FO2016_e3_1","baby",1,"silent",5,"Include",28
"FO2016_e3","FO2016_e3_1","lake",0,"silent",5,"Include",29
"FO2016_e3","FO2016_e3_1","moral",1,"silent",6,"Include",30
"FO2016_e3","FO2016_e3_1","butterfly",0,"silent",6,"Include",31
"FO2016_e3","FO2016_e3_1","sea",0,"silent",6,"Include",32
"FO2016_e3","FO2016_e3_1","sunset",1,"silent",6,"Include",33
"FO2016_e3","FO2016_e3_1","glory",0,"silent",6,"Include",34
"FO2016_e3","FO2016_e3_1","grandmother",0,"silent",6,"Include",35
"FO2016_e3","FO2016_e3_1","cabin",1,"silent",1,"Include",36
"FO2016_e3","FO2016_e3_1","vision",0,"silent",1,"Include",37
"FO2016_e3","FO2016_e3_1","clock",0,"silent",5,"Include",38
"FO2016_e3","FO2016_e3_1","chance",0,"silent",5,"Include",39
"FO2016_e3","FO2016_e3_1","person",1,"silent",2,"Include",40
"FO2016_e3","FO2016_e3_1","facility",1,"silent",3,"Include",41
"FO2016_e3","FO2016_e3_1","charter",1,"silent",1,"Include",42
"FO2016_e3","FO2016_e3_1","affection",1,"silent",1,"Include",43
"FO2016_e3","FO2016_e3_1","physician",1,"silent",5,"Include",44
"FO2016_e3","FO2016_e3_1","material",1,"silent",1,"Include",45
"FO2016_e3","FO2016_e3_1","oven",1,"silent",6,"Include",46
"FO2016_e3","FO2016_e3_1","virtue",0,"silent",2,"Include",47
"FO2016_e3","FO2016_e3_1","bosom",0,"silent",2,"Include",48
"FO2016_e3","FO2016_e3_1","chin",0,"silent",4,"Include",49
"FO2016_e3","FO2016_e3_1","costume",0,"silent",4,"Include",50
"FO2016_e3","FO2016_e3_1","necessity",0,"silent",4,"Include",51
"FO2016_e3","FO2016_e3_1","ability",0,"silent",4,"Include",52
"FO2016_e3","FO2016_e3_1","harness",1,"silent",4,"Include",53
"FO2016_e3","FO2016_e3_1","custom",1,"silent",1,"Include",54
"FO2016_e3","FO2016_e3_1","assault",0,"silent",4,"Include",55
"FO2016_e3","FO2016_e3_1","rod",0,"silent",4,"Include",56
"FO2016_e3","FO2016_e3_1","shame",1,"silent",1,"Include",57
"FO2016_e3","FO2016_e3_1","flesh",1,"silent",4,"Include",58
"FO2016_e3","FO2016_e3_1","victim",0,"silent",1,"Include",59
"FO2016_e3","FO2016_e3_1","time",0,"silent",5,"Include",60
"FO2016_e3","FO2016_e3_1","attendant",0,"silent",5,"Include",61
"FO2016_e3","FO2016_e3_1","intellect",1,"silent",1,"Include",62
"FO2016_e3","FO2016_e3_1","gentleman",1,"silent",5,"Include",63
"FO2016_e3","FO2016_e3_1","welfare",0,"silent",4,"Include",64
"FO2016_e3","FO2016_e3_1","door",0,"silent",4,"Include",65
"FO2016_e3","FO2016_e3_1","metal",0,"silent",2,"Include",66
"FO2016_e3","FO2016_e3_1","lark",0,"silent",4,"Include",67
"FO2016_e3","FO2016_e3_1","cellar",0,"silent",2,"Include",68
"FO2016_e3","FO2016_e3_1","tablespoon",0,"silent",4,"Include",69
"FO2016_e3","FO2016_e3_1","party",0,"silent",4,"Include",70
"FO2016_e3","FO2016_e3_1","boss",1,"silent",2,"Include",71
"FO2016_e3","FO2016_e3_1","money",0,"silent",4,"Include",72
"FO2016_e3","FO2016_e3_1","decree",0,"silent",4,"Include",73
"FO2016_e3","FO2016_e3_1","winter",1,"silent",2,"Include",74
"FO2016_e3","FO2016_e3_1","judge",1,"silent",1,"Include",75
"FO2016_e3","FO2016_e3_1","sky",1,"silent",1,"Include",76
"FO2016_e3","FO2016_e3_1","sugar",0,"silent",2,"Include",77
"FO2016_e3","FO2016_e3_1","cash",0,"silent",2,"Include",78
