"exp","id","isold","condition1","condition2","rating","RT","excluding"
"GKH1999_e1","GKH1999_e1_1",1,"Long","HighF",6,2466,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Long","LowF",5,9213,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Long","HighF",8,1696,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","HighF",1,2469,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Long","LowF",1,2574,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Long","LowF",4,2675,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Short","LowF",8,2001,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","LowF",1,2020,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Long","HighF",8,1452,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Long","LowF",3,2300,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Short","HighF",3,1433,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Short","HighF",3,1549,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Short","HighF",7,3282,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","HighF",6,1641,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","LowF",5,1397,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Short","LowF",8,2279,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","LowF",1,2345,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","LowF",3,2962,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","HighF",3,1828,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","LowF",3,992,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Long","LowF",8,1564,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","HighF",1,1858,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Long","LowF",8,1359,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Long","LowF",7,2387,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","HighF",2,2458,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","LowF",1,1126,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Long","HighF",8,1379,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Long","LowF",1,1506,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","HighF",1,1317,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","LowF",1,1104,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","HighF",8,1069,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","HighF",1,855,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","HighF",1,988,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Short","LowF",1,1963,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","HighF",6,1603,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","LowF",1,1115,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Long","HighF",2,2242,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","HighF",8,1673,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Long","HighF",7,1617,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Long","LowF",7,1432,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Long","LowF",8,3196,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","LowF",1,2202,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Short","HighF",5,1943,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Short","HighF",2,2171,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","LowF",2,1081,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","LowF",5,2845,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Long","HighF",1,1986,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","LowF",1,1591,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Long","LowF",8,1541,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","LowF",2,2272,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Short","HighF",3,1545,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","LowF",3,2710,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","HighF",3,1828,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","LowF",3,1015,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","LowF",3,1131,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Short","HighF",6,2098,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Short","HighF",3,2420,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Short","LowF",8,1586,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","LowF",7,1868,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Long","LowF",7,1056,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Short","LowF",3,1108,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","HighF",3,1434,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","LowF",3,783,"Include"
"GKH1999_e1","GKH1999_e1_1",0,"New","LowF",7,2237,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Short","HighF",7,1641,"Include"
"GKH1999_e1","GKH1999_e1_1",1,"Short","LowF",7,1034,"Include"
