"exp","id","isold","condition","rating","RT","excluding"
"GKH1999_e3","GKH1999_e3_1",0,"New",3,2566,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",6,1488,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"LetterCounting",3,1920,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",6,1070,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"LetterCounting",4,2529,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",6,1044,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",5,2360,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",3,2210,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",3,1635,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",3,1496,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",3,3048,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"LetterCounting",6,2322,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"LetterCounting",6,1209,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",6,1333,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",6,1143,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",4,2240,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",5,1680,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",2,1816,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",2,2163,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",3,2592,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"LetterCounting",4,2519,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",6,1136,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"LetterCounting",6,1031,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",4,2133,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",3,2071,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",3,2909,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",3,987,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",6,885,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",3,1133,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",6,1117,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",2,1674,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",2,1215,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"LetterCounting",6,1205,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",6,1283,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"LetterCounting",4,2765,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",2,5035,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",3,1817,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",5,2031,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",6,3058,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"LetterCounting",2,2565,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"LetterCounting",3,2465,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"LetterCounting",5,1453,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",6,2618,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",4,2480,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",2,1978,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",2,2535,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"LetterCounting",5,4371,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"LetterCounting",3,1631,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"LetterCounting",3,2608,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",6,1371,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",6,1225,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",5,1858,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",5,2120,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"LetterCounting",4,2075,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",4,1935,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",3,1956,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",4,2889,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"LetterCounting",5,2259,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",2,2442,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",6,1294,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",6,1283,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"LetterCounting",6,1704,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",3,4217,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",5,2565,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",2,2210,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",3,2929,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",3,1404,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"LetterCounting",6,1186,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",6,1561,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",6,1074,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",4,2133,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",6,1160,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",6,1008,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",2,1476,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",3,2361,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",6,1975,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",4,1627,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",6,1251,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",6,1148,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",6,896,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",6,962,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",6,986,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"LetterCounting",6,869,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",6,1263,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",5,1503,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",4,1750,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",3,1863,"Include"
"GKH1999_e3","GKH1999_e3_1",0,"New",4,1360,"Include"
"GKH1999_e3","GKH1999_e3_1",1,"Lexical",5,1403,"Include"
