"exp","id","trial","isold","condition1","rating","RT","excluding"
"HUW2015_e1","HUW2015_e1_26",1,0,"JudgeOldness",2,1637.382495,"Include"
"HUW2015_e1","HUW2015_e1_26",2,1,"JudgeOldness",3,1746.629722,"Include"
"HUW2015_e1","HUW2015_e1_26",3,0,"JudgeOldness",3,1577.067221,"Include"
"HUW2015_e1","HUW2015_e1_26",4,1,"JudgeOldness",2,1926.720875,"Include"
"HUW2015_e1","HUW2015_e1_26",5,1,"JudgeOldness",2,1341.02332,"Include"
"HUW2015_e1","HUW2015_e1_26",6,0,"JudgeOldness",2,1219.733203,"Include"
"HUW2015_e1","HUW2015_e1_26",7,0,"JudgeOldness",4,2242.654664,"Include"
"HUW2015_e1","HUW2015_e1_26",8,1,"JudgeOldness",5,1671.837661,"Include"
"HUW2015_e1","HUW2015_e1_26",9,1,"JudgeOldness",5,1580.205211,"Include"
"HUW2015_e1","HUW2015_e1_26",10,1,"JudgeOldness",4,2315.374742,"Include"
"HUW2015_e1","HUW2015_e1_26",11,0,"JudgeOldness",2,1784.387992,"Include"
"HUW2015_e1","HUW2015_e1_26",12,1,"JudgeOldness",1,2247.230327,"Include"
"HUW2015_e1","HUW2015_e1_26",13,1,"JudgeOldness",5,1365.620248,"Include"
"HUW2015_e1","HUW2015_e1_26",14,0,"JudgeOldness",1,2738.187113,"Include"
"HUW2015_e1","HUW2015_e1_26",15,0,"JudgeOldness",5,1567.773154,"Include"
"HUW2015_e1","HUW2015_e1_26",16,0,"JudgeOldness",1,1676.14324,"Include"
"HUW2015_e1","HUW2015_e1_26",17,1,"JudgeOldness",5,922.470589,"Include"
"HUW2015_e1","HUW2015_e1_26",18,0,"JudgeOldness",3,2193.117338,"Include"
"HUW2015_e1","HUW2015_e1_26",19,0,"JudgeOldness",1,1395.92909,"Include"
"HUW2015_e1","HUW2015_e1_26",20,0,"JudgeOldness",5,1482.252121,"Include"
"HUW2015_e1","HUW2015_e1_26",21,1,"JudgeOldness",1,1350.90977,"Include"
"HUW2015_e1","HUW2015_e1_26",22,0,"JudgeOldness",2,1894.045885,"Include"
"HUW2015_e1","HUW2015_e1_26",23,1,"JudgeOldness",4,1994.138972,"Include"
"HUW2015_e1","HUW2015_e1_26",24,1,"JudgeOldness",3,2086.195565,"Include"
"HUW2015_e1","HUW2015_e1_26",25,0,"JudgeOldness",1,1316.774471,"Include"
"HUW2015_e1","HUW2015_e1_26",26,1,"JudgeOldness",4,2810.082296,"Include"
"HUW2015_e1","HUW2015_e1_26",27,1,"JudgeOldness",5,2560.652924,"Include"
"HUW2015_e1","HUW2015_e1_26",28,1,"JudgeOldness",3,2709.292464,"Include"
"HUW2015_e1","HUW2015_e1_26",29,0,"JudgeOldness",1,2492.670756,"Include"
"HUW2015_e1","HUW2015_e1_26",30,1,"JudgeOldness",5,1425.5334,"Include"
"HUW2015_e1","HUW2015_e1_26",31,1,"JudgeOldness",5,967.703457,"Include"
"HUW2015_e1","HUW2015_e1_26",32,0,"JudgeOldness",1,2077.178459,"Include"
"HUW2015_e1","HUW2015_e1_26",33,1,"JudgeOldness",5,1857.693428,"Include"
"HUW2015_e1","HUW2015_e1_26",34,1,"JudgeOldness",2,1815.199624,"Include"
"HUW2015_e1","HUW2015_e1_26",35,0,"JudgeOldness",1,2933.86189,"Include"
"HUW2015_e1","HUW2015_e1_26",36,1,"JudgeOldness",1,1474.805557,"Include"
"HUW2015_e1","HUW2015_e1_26",37,1,"JudgeOldness",5,1487.604474,"Include"
"HUW2015_e1","HUW2015_e1_26",38,0,"JudgeOldness",2,2477.907972,"Include"
"HUW2015_e1","HUW2015_e1_26",39,1,"JudgeOldness",2,2124.333163,"Include"
"HUW2015_e1","HUW2015_e1_26",40,0,"JudgeOldness",4,2248.575139,"Include"
"HUW2015_e1","HUW2015_e1_26",41,0,"JudgeOldness",1,2213.034348,"Include"
"HUW2015_e1","HUW2015_e1_26",42,1,"JudgeOldness",4,2153.149173,"Include"
"HUW2015_e1","HUW2015_e1_26",43,1,"JudgeOldness",5,2816.384088,"Include"
"HUW2015_e1","HUW2015_e1_26",44,1,"JudgeOldness",4,1854.561594,"Include"
"HUW2015_e1","HUW2015_e1_26",45,1,"JudgeOldness",5,1525.183979,"Include"
"HUW2015_e1","HUW2015_e1_26",46,0,"JudgeOldness",1,2255.644112,"Include"
"HUW2015_e1","HUW2015_e1_26",47,0,"JudgeOldness",2,1734.588925,"Include"
"HUW2015_e1","HUW2015_e1_26",48,1,"JudgeOldness",1,2539.993929,"Include"
"HUW2015_e1","HUW2015_e1_26",49,0,"JudgeOldness",1,1618.876151,"Include"
"HUW2015_e1","HUW2015_e1_26",50,0,"JudgeOldness",5,2414.67725,"Include"
"HUW2015_e1","HUW2015_e1_26",51,0,"JudgeOldness",1,1923.643739,"Include"
"HUW2015_e1","HUW2015_e1_26",52,0,"JudgeOldness",1,1576.092772,"Include"
"HUW2015_e1","HUW2015_e1_26",53,1,"JudgeOldness",3,2830.377279,"Include"
"HUW2015_e1","HUW2015_e1_26",54,1,"JudgeOldness",3,1939.335676,"Include"
"HUW2015_e1","HUW2015_e1_26",55,0,"JudgeOldness",1,1416.87485,"Include"
"HUW2015_e1","HUW2015_e1_26",56,1,"JudgeOldness",5,1743.253255,"Include"
"HUW2015_e1","HUW2015_e1_26",57,0,"JudgeOldness",3,1957.534502,"Include"
"HUW2015_e1","HUW2015_e1_26",58,0,"JudgeOldness",2,1435.791656,"Include"
"HUW2015_e1","HUW2015_e1_26",59,0,"JudgeOldness",2,1553.719468,"Include"
"HUW2015_e1","HUW2015_e1_26",60,0,"JudgeOldness",2,1639.822117,"Include"
"HUW2015_e1","HUW2015_e1_26",61,0,"JudgeOldness",2,2152.290016,"Include"
"HUW2015_e1","HUW2015_e1_26",62,1,"JudgeOldness",4,1918.594931,"Include"
"HUW2015_e1","HUW2015_e1_26",63,1,"JudgeOldness",5,1498.326697,"Include"
"HUW2015_e1","HUW2015_e1_26",64,1,"JudgeOldness",3,2528.933236,"Include"
"HUW2015_e1","HUW2015_e1_26",65,1,"JudgeOldness",4,1895.131392,"Include"
"HUW2015_e1","HUW2015_e1_26",66,1,"JudgeOldness",5,3078.282002,"Include"
"HUW2015_e1","HUW2015_e1_26",67,1,"JudgeOldness",5,1338.179147,"Include"
"HUW2015_e1","HUW2015_e1_26",68,1,"JudgeOldness",2,1330.68768,"Include"
"HUW2015_e1","HUW2015_e1_26",69,1,"JudgeOldness",5,1222.593718,"Include"
"HUW2015_e1","HUW2015_e1_26",70,1,"JudgeOldness",4,2780.345103,"Include"
"HUW2015_e1","HUW2015_e1_26",71,1,"JudgeOldness",5,1899.467305,"Include"
"HUW2015_e1","HUW2015_e1_26",72,0,"JudgeOldness",1,1450.191174,"Include"
"HUW2015_e1","HUW2015_e1_26",73,0,"JudgeOldness",1,1505.110983,"Include"
"HUW2015_e1","HUW2015_e1_26",74,0,"JudgeOldness",1,1436.915389,"Include"
"HUW2015_e1","HUW2015_e1_26",75,0,"JudgeOldness",1,2576.587143,"Include"
"HUW2015_e1","HUW2015_e1_26",76,1,"JudgeOldness",4,2894.020051,"Include"
"HUW2015_e1","HUW2015_e1_26",77,0,"JudgeOldness",2,2035.389795,"Include"
"HUW2015_e1","HUW2015_e1_26",78,1,"JudgeOldness",4,2487.216152,"Include"
"HUW2015_e1","HUW2015_e1_26",79,1,"JudgeOldness",5,2347.931359,"Include"
"HUW2015_e1","HUW2015_e1_26",80,0,"JudgeOldness",1,2794.276517,"Include"
"HUW2015_e1","HUW2015_e1_26",81,0,"JudgeOldness",1,2095.898715,"Include"
"HUW2015_e1","HUW2015_e1_26",82,1,"JudgeOldness",1,1397.979264,"Include"
"HUW2015_e1","HUW2015_e1_26",83,1,"JudgeOldness",5,1316.605583,"Include"
"HUW2015_e1","HUW2015_e1_26",84,0,"JudgeOldness",3,3049.629427,"Include"
"HUW2015_e1","HUW2015_e1_26",85,0,"JudgeOldness",3,3096.155778,"Include"
"HUW2015_e1","HUW2015_e1_26",86,0,"JudgeOldness",1,1350.012688,"Include"
"HUW2015_e1","HUW2015_e1_26",87,1,"JudgeOldness",5,1788.175776,"Include"
"HUW2015_e1","HUW2015_e1_26",88,0,"JudgeOldness",2,2472.650346,"Include"
"HUW2015_e1","HUW2015_e1_26",89,0,"JudgeOldness",1,1415.562307,"Include"
"HUW2015_e1","HUW2015_e1_26",90,0,"JudgeOldness",2,2499.519151,"Include"
"HUW2015_e1","HUW2015_e1_26",91,1,"JudgeOldness",1,1274.606316,"Include"
"HUW2015_e1","HUW2015_e1_26",92,0,"JudgeOldness",1,2919.356483,"Include"
"HUW2015_e1","HUW2015_e1_26",93,1,"JudgeOldness",5,1958.260245,"Include"
"HUW2015_e1","HUW2015_e1_26",94,0,"JudgeOldness",5,1316.024016,"Include"
"HUW2015_e1","HUW2015_e1_26",95,1,"JudgeOldness",5,1362.461958,"Include"
"HUW2015_e1","HUW2015_e1_26",96,0,"JudgeOldness",5,1389.059018,"Include"
"HUW2015_e1","HUW2015_e1_26",97,1,"JudgeOldness",5,1562.806006,"Include"
"HUW2015_e1","HUW2015_e1_26",98,0,"JudgeOldness",1,1346.25868,"Include"
"HUW2015_e1","HUW2015_e1_26",99,0,"JudgeOldness",3,2192.569044,"Include"
"HUW2015_e1","HUW2015_e1_26",100,0,"JudgeOldness",2,2227.679477,"Include"
"HUW2015_e1","HUW2015_e1_26",101,0,"JudgeOldness",2,1915.136724,"Include"
"HUW2015_e1","HUW2015_e1_26",102,1,"JudgeOldness",1,2432.843139,"Include"
"HUW2015_e1","HUW2015_e1_26",103,1,"JudgeOldness",1,1336.879457,"Include"
"HUW2015_e1","HUW2015_e1_26",104,0,"JudgeOldness",4,2034.65462,"Include"
"HUW2015_e1","HUW2015_e1_26",105,0,"JudgeOldness",4,2040.695845,"Include"
"HUW2015_e1","HUW2015_e1_26",106,0,"JudgeOldness",3,1438.697726,"Include"
"HUW2015_e1","HUW2015_e1_26",107,1,"JudgeOldness",5,2457.966675,"Include"
"HUW2015_e1","HUW2015_e1_26",108,0,"JudgeOldness",5,1408.847035,"Include"
"HUW2015_e1","HUW2015_e1_26",109,1,"JudgeOldness",2,2079.692911,"Include"
"HUW2015_e1","HUW2015_e1_26",110,0,"JudgeOldness",1,1331.852764,"Include"
"HUW2015_e1","HUW2015_e1_26",111,1,"JudgeOldness",1,1939.116898,"Include"
"HUW2015_e1","HUW2015_e1_26",112,0,"JudgeOldness",1,1944.591993,"Include"
"HUW2015_e1","HUW2015_e1_26",113,0,"JudgeOldness",3,1558.109677,"Include"
"HUW2015_e1","HUW2015_e1_26",114,0,"JudgeOldness",2,1994.317941,"Include"
"HUW2015_e1","HUW2015_e1_26",115,1,"JudgeOldness",5,1624.198186,"Include"
"HUW2015_e1","HUW2015_e1_26",116,0,"JudgeOldness",1,2582.672924,"Include"
"HUW2015_e1","HUW2015_e1_26",117,1,"JudgeOldness",2,2093.004795,"Include"
