"exp","id","isold","condition1","rating","RT","excluding","trial"
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",4,7718.067,"Include",1
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",5,7855.334,"Include",2
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",6,6679.974,"Include",3
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",6,5184.08,"Include",4
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",1,2491.187,"Include",5
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",5,2011.511,"Include",6
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",6,1222.354,"Include",7
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",1,1454.311,"Include",8
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",6,1062.44,"Include",9
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",2,3636.476,"Include",10
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",2,2156.243,"Include",11
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",6,1036.69,"Include",12
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",1,2063.096,"Include",13
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",5,3548.713,"Include",14
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",6,1026.384,"Include",15
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",1,1557.859,"Include",16
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",1,1655.847,"Include",17
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",1,1284.444,"Include",18
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",6,964.4928,"Include",19
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",2,2615.143,"Include",20
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",6,1181.245,"Include",21
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",5,1361.568,"Include",22
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",5,1150.091,"Include",23
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",6,892.2048,"Include",24
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",6,1072.758,"Include",25
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",5,1155.316,"Include",26
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",6,954.1399,"Include",27
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",2,3703.657,"Include",28
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",3,4441.411,"Include",29
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",4,4384.436,"Include",30
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",1,2171.504,"Include",31
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",6,1170.814,"Include",32
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",1,1506.17,"Include",33
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",5,1382.371,"Include",34
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",5,1098.622,"Include",35
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",1,1119.166,"Include",36
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",6,1583.491,"Include",37
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",1,985.0381,"Include",38
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",5,2274.718,"Include",39
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",2,2439.622,"Include",40
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",1,1604.035,"Include",41
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",2,1892.968,"Include",42
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",6,1960.037,"Include",43
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",2,2192.173,"Include",44
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",1,2104.43,"Include",45
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",5,1155.249,"Include",46
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",6,985.2635,"Include",47
"JCD2012_e1a","JCD2012_e1a_1",1,"NoCue",1,2414.411,"Include",48
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",1,1144.989,"Include",49
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",1,896.334,"Include",50
"JCD2012_e1a","JCD2012_e1a_1",0,"NoCue",2,1934.207,"Include",51
