"exp","id","isold","condition1","rating","RT","excluding","trial"
"JCD2012_e1b","JCD2012_e1b_1",0,"ValidCue",2,9982.872,"Include",1
"JCD2012_e1b","JCD2012_e1b_1",0,"ValidCue",2,2156.785,"Include",2
"JCD2012_e1b","JCD2012_e1b_1",0,"ValidCue",3,5065.74,"Include",3
"JCD2012_e1b","JCD2012_e1b_1",0,"ValidCue",3,3662.757,"Include",4
"JCD2012_e1b","JCD2012_e1b_1",0,"InvalidCue",4,1599.765,"Include",1
"JCD2012_e1b","JCD2012_e1b_1",1,"ValidCue",4,2104.939,"Include",5
"JCD2012_e1b","JCD2012_e1b_1",1,"InvalidCue",2,3858.786,"Include",2
"JCD2012_e1b","JCD2012_e1b_1",0,"InvalidCue",5,2094.88,"Include",3
"JCD2012_e1b","JCD2012_e1b_1",0,"ValidCue",2,6551.179,"Include",6
"JCD2012_e1b","JCD2012_e1b_1",0,"ValidCue",2,3208.889,"Include",7
"JCD2012_e1b","JCD2012_e1b_1",0,"ValidCue",2,53774.18,"Include",8
"JCD2012_e1b","JCD2012_e1b_1",0,"InvalidCue",1,3265.654,"Include",4
"JCD2012_e1b","JCD2012_e1b_1",1,"ValidCue",2,4684.066,"Include",9
"JCD2012_e1b","JCD2012_e1b_1",0,"ValidCue",2,5199.936,"Include",10
"JCD2012_e1b","JCD2012_e1b_1",0,"ValidCue",1,3796.726,"Include",11
"JCD2012_e1b","JCD2012_e1b_1",0,"ValidCue",1,2878.909,"Include",12
"JCD2012_e1b","JCD2012_e1b_1",0,"ValidCue",1,2414.486,"Include",13
"JCD2012_e1b","JCD2012_e1b_1",1,"ValidCue",6,2528.138,"Include",14
"JCD2012_e1b","JCD2012_e1b_1",1,"ValidCue",2,3657.448,"Include",15
"JCD2012_e1b","JCD2012_e1b_1",0,"InvalidCue",2,3884.846,"Include",5
"JCD2012_e1b","JCD2012_e1b_1",1,"ValidCue",6,2481.458,"Include",16
"JCD2012_e1b","JCD2012_e1b_1",1,"ValidCue",5,2853.168,"Include",17
"JCD2012_e1b","JCD2012_e1b_1",1,"InvalidCue",3,4715.035,"Include",6
"JCD2012_e1b","JCD2012_e1b_1",1,"InvalidCue",6,1904.107,"Include",7
"JCD2012_e1b","JCD2012_e1b_1",0,"ValidCue",4,3085.085,"Include",18
"JCD2012_e1b","JCD2012_e1b_1",0,"ValidCue",2,3559.616,"Include",19
"JCD2012_e1b","JCD2012_e1b_1",0,"ValidCue",3,3822.465,"Include",20
"JCD2012_e1b","JCD2012_e1b_1",1,"InvalidCue",6,4106.543,"Include",8
"JCD2012_e1b","JCD2012_e1b_1",1,"InvalidCue",6,2084.423,"Include",9
"JCD2012_e1b","JCD2012_e1b_1",1,"InvalidCue",5,2631.252,"Include",10
"JCD2012_e1b","JCD2012_e1b_1",1,"ValidCue",5,2213.452,"Include",21
"JCD2012_e1b","JCD2012_e1b_1",1,"InvalidCue",3,3239.672,"Include",11
