"exp","id","condition1","block","trial","isold","rating","RT","excluding"
"JCM2019_e1","JCM2019_e1_1","Old85",1,1,1,2,1650,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,2,1,5,1939,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,3,1,6,1319,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,4,0,2,1844,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,5,1,6,1315,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,6,1,5,2111,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,7,1,2,1945,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,8,0,1,1006,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,9,0,2,1283,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,10,1,2,1515,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,11,1,5,1646,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,12,1,5,1835,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,13,1,5,3213,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,14,1,2,1605,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,15,1,1,2675,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,16,1,2,1510,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,17,1,2,2097,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,18,1,5,965,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,19,1,6,937,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,20,1,2,1846,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,21,1,5,2341,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,22,1,2,926,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,23,1,6,1083,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,24,0,2,1724,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,25,1,6,2441,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,26,1,6,1092,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,27,1,6,715,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,28,1,2,1614,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,29,1,5,1079,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,30,0,1,928,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,31,0,2,1293,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,32,1,6,1208,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,33,1,6,798,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,34,1,5,1941,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,35,1,2,884,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,36,1,5,1081,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,37,1,2,1107,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,38,1,6,1089,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,39,1,6,743,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,40,1,2,1258,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,41,0,2,1458,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,42,1,2,3779,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,43,1,2,881,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,44,0,2,3041,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,45,1,6,739,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,46,1,2,1211,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,47,1,6,843,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,48,1,2,1152,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,49,1,6,946,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,50,1,2,1388,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,51,1,6,832,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,52,1,3,2037,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,53,0,5,1848,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,54,1,5,952,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,55,0,5,987,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,56,1,6,3797,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,57,1,2,1196,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,58,1,5,1020,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,59,1,5,1124,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,60,1,6,816,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,61,1,6,792,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,62,1,6,666,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,63,1,6,1112,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,64,1,6,700,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,65,1,2,1137,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,66,1,2,1099,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,67,1,2,1243,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,68,1,5,1705,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,69,1,4,2720,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,70,1,2,2964,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,71,1,6,988,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,72,1,6,698,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,73,1,6,1126,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,74,1,2,1248,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,75,1,5,992,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,76,1,3,2692,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,77,0,3,982,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,78,1,6,1118,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,79,1,6,1073,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,80,1,6,1190,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,81,1,4,2103,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,82,0,3,1644,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,83,1,3,1097,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,84,1,6,1803,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,85,1,5,1419,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,86,0,2,5063,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,87,0,6,884,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,88,1,6,689,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,89,1,6,1167,"Include"
