"exp","id","block","item","isold","condition1","rating","RT","excluding"
"JW2019_e1","JW2019_e1_1",1,"'trumpet.bmp'",0,"Rhythmic",5,1590,"Include"
"JW2019_e1","JW2019_e1_1",1,"'caravan.bmp'",0,"Rhythmic",4,4786,"Include"
"JW2019_e1","JW2019_e1_1",1,"'airplane.bmp'",0,"Rhythmic",5,1268,"Include"
"JW2019_e1","JW2019_e1_1",1,"'woodenspoon.bmp'",0,"Rhythmic",5,865,"Include"
"JW2019_e1","JW2019_e1_1",1,"'sofa.bmp'",0,"Rhythmic",4,2555,"Include"
"JW2019_e1","JW2019_e1_1",1,"'pants.bmp'",0,"Rhythmic",6,62,"Include"
"JW2019_e1","JW2019_e1_1",1,"'towel.bmp'",0,"Rhythmic",4,1014,"Include"
"JW2019_e1","JW2019_e1_1",1,"'cow.bmp'",0,"Rhythmic",6,376,"Include"
"JW2019_e1","JW2019_e1_1",1,"'sweet.bmp'",0,"Rhythmic",1,775,"Include"
"JW2019_e1","JW2019_e1_1",1,"'key.bmp'",0,"Rhythmic",2,1971,"Include"
"JW2019_e1","JW2019_e1_1",1,"'bandaid.bmp'",0,"Rhythmic",2,2750,"Include"
"JW2019_e1","JW2019_e1_1",1,"'camera.bmp'",0,"Rhythmic",3,2076,"Include"
"JW2019_e1","JW2019_e1_1",1,"'drawingpins.bmp'",0,"Rhythmic",1,640,"Include"
"JW2019_e1","JW2019_e1_1",1,"'desk.bmp'",0,"Rhythmic",2,1017,"Include"
"JW2019_e1","JW2019_e1_1",1,"'asparagus.bmp'",0,"Rhythmic",1,997,"Include"
"JW2019_e1","JW2019_e1_1",1,"'zebra.bmp'",0,"Rhythmic",1,254,"Include"
"JW2019_e1","JW2019_e1_1",1,"'cat.bmp'",0,"Rhythmic",1,662,"Include"
"JW2019_e1","JW2019_e1_1",1,"'bed.bmp'",0,"Rhythmic",3,1556,"Include"
"JW2019_e1","JW2019_e1_1",1,"'bowl.bmp'",0,"Rhythmic",1,537,"Include"
"JW2019_e1","JW2019_e1_1",1,"'bikehelmet.bmp'",0,"Rhythmic",2,1483,"Include"
"JW2019_e1","JW2019_e1_1",1,"'watermelon.bmp'",0,"Rhythmic",3,746,"Include"
"JW2019_e1","JW2019_e1_1",1,"'torch.bmp'",0,"Rhythmic",2,935,"Include"
"JW2019_e1","JW2019_e1_1",1,"'knife.bmp'",0,"Rhythmic",2,777,"Include"
"JW2019_e1","JW2019_e1_1",1,"'stapler.bmp'",0,"Rhythmic",2,703,"Include"
"JW2019_e1","JW2019_e1_1",1,"'garlic.bmp'",0,"Rhythmic",2,1666,"Include"
"JW2019_e1","JW2019_e1_1",1,"'dustpan.bmp'",0,"Rhythmic",3,812,"Include"
"JW2019_e1","JW2019_e1_1",1,"'lipstick.bmp'",0,"Rhythmic",1,930,"Include"
"JW2019_e1","JW2019_e1_1",1,"'wolf.bmp'",0,"Rhythmic",1,252,"Include"
"JW2019_e1","JW2019_e1_1",1,"'guitar.bmp'",0,"Rhythmic",2,1118,"Include"
"JW2019_e1","JW2019_e1_1",1,"'peppermill.bmp'",0,"Rhythmic",2,997,"Include"
"JW2019_e1","JW2019_e1_1",1,"'accordion.bmp'",0,"Rhythmic",2,750,"Include"
"JW2019_e1","JW2019_e1_1",1,"'painttray.bmp'",0,"Rhythmic",2,909,"Include"
"JW2019_e1","JW2019_e1_1",1,"'tie.bmp'",0,"Rhythmic",3,1003,"Include"
"JW2019_e1","JW2019_e1_1",1,"'tractor3.bmp'",0,"Rhythmic",2,578,"Include"
"JW2019_e1","JW2019_e1_1",1,"'walkman.bmp'",0,"Rhythmic",2,834,"Include"
"JW2019_e1","JW2019_e1_1",1,"'broom.bmp'",0,"Rhythmic",2,283,"Include"
"JW2019_e1","JW2019_e1_1",1,"'folder2.bmp'",0,"Rhythmic",2,282,"Include"
"JW2019_e1","JW2019_e1_1",1,"'laptop.bmp'",0,"Rhythmic",1,164,"Include"
"JW2019_e1","JW2019_e1_1",1,"'ruler.bmp'",0,"Rhythmic",1,300,"Include"
"JW2019_e1","JW2019_e1_1",1,"'boot.bmp'",0,"Rhythmic",1,319,"Include"
"JW2019_e1","JW2019_e1_1",1,"'tiger.bmp'",1,"Rhythmic",6,782,"Include"
"JW2019_e1","JW2019_e1_1",1,"'rubberband.bmp'",1,"Rhythmic",6,471,"Include"
"JW2019_e1","JW2019_e1_1",1,"'ceilingfan.bmp'",1,"Rhythmic",6,326,"Include"
"JW2019_e1","JW2019_e1_1",1,"'violin.bmp'",1,"Rhythmic",6,252,"Include"
"JW2019_e1","JW2019_e1_1",1,"'dresser3.bmp'",1,"Rhythmic",6,252,"Include"
"JW2019_e1","JW2019_e1_1",1,"'pepper.bmp'",1,"Rhythmic",6,80,"Include"
"JW2019_e1","JW2019_e1_1",1,"'spatula2.bmp'",1,"Rhythmic",6,211,"Include"
"JW2019_e1","JW2019_e1_1",1,"'bike.bmp'",1,"Rhythmic",6,423,"Include"
"JW2019_e1","JW2019_e1_1",1,"'submarine.bmp'",1,"Rhythmic",6,277,"Include"
