"exp","id","item","trial","isold","condition1","rating","RT","excluding"
"KAWY2013_e4","KAWY2013_e4_1","LOCK",1,0,"Immediate",6,3430,"Include"
"KAWY2013_e4","KAWY2013_e4_1","WALLET",2,1,"Immediate",6,2908,"Include"
"KAWY2013_e4","KAWY2013_e4_1","ROUGH",3,1,"Immediate",6,1269,"Include"
"KAWY2013_e4","KAWY2013_e4_1","CARDINAL",4,1,"Immediate",5,3516,"Include"
"KAWY2013_e4","KAWY2013_e4_1","COMFORT",5,0,"Immediate",6,2046,"Include"
"KAWY2013_e4","KAWY2013_e4_1","BULLET",6,1,"Immediate",6,951,"Include"
"KAWY2013_e4","KAWY2013_e4_1","WRAP",7,0,"Immediate",6,3834,"Include"
"KAWY2013_e4","KAWY2013_e4_1","ISLE",8,1,"Immediate",6,880,"Include"
"KAWY2013_e4","KAWY2013_e4_1","BRONZE",9,1,"Immediate",6,884,"Include"
"KAWY2013_e4","KAWY2013_e4_1","CELLAR",10,1,"Immediate",6,2345,"Include"
"KAWY2013_e4","KAWY2013_e4_1","DAYLIGHT",11,1,"Immediate",1,2007,"Include"
"KAWY2013_e4","KAWY2013_e4_1","PARISH",12,0,"Immediate",1,1794,"Include"
"KAWY2013_e4","KAWY2013_e4_1","ENGINE",13,1,"Immediate",6,1157,"Include"
"KAWY2013_e4","KAWY2013_e4_1","DITCH",14,1,"Immediate",6,2512,"Include"
"KAWY2013_e4","KAWY2013_e4_1","POLE",15,1,"Immediate",6,839,"Include"
"KAWY2013_e4","KAWY2013_e4_1","TENNIS",16,0,"Immediate",1,1342,"Include"
"KAWY2013_e4","KAWY2013_e4_1","SAINT",17,0,"Immediate",2,4498,"Include"
"KAWY2013_e4","KAWY2013_e4_1","GUARD",18,1,"Immediate",6,7680,"Include"
"KAWY2013_e4","KAWY2013_e4_1","AISLE",19,1,"Immediate",6,1974,"Include"
"KAWY2013_e4","KAWY2013_e4_1","MAHOGANY",20,0,"Immediate",1,1395,"Include"
"KAWY2013_e4","KAWY2013_e4_1","BUFFER",21,0,"Immediate",1,1604,"Include"
"KAWY2013_e4","KAWY2013_e4_1","KISS",22,0,"Immediate",1,1870,"Include"
"KAWY2013_e4","KAWY2013_e4_1","COFFIN",23,0,"Immediate",1,3694,"Include"
"KAWY2013_e4","KAWY2013_e4_1","BUREAU",24,1,"Immediate",6,1562,"Include"
"KAWY2013_e4","KAWY2013_e4_1","JOCKEY",25,0,"Immediate",1,2614,"Include"
"KAWY2013_e4","KAWY2013_e4_1","LIME",26,1,"Immediate",6,1242,"Include"
"KAWY2013_e4","KAWY2013_e4_1","MUSCLE",27,0,"Immediate",1,1601,"Include"
"KAWY2013_e4","KAWY2013_e4_1","CANON",28,1,"Immediate",6,1259,"Include"
"KAWY2013_e4","KAWY2013_e4_1","GIANT",29,1,"Immediate",5,2898,"Include"
"KAWY2013_e4","KAWY2013_e4_1","STAR",30,0,"Immediate",3,5948,"Include"
"KAWY2013_e4","KAWY2013_e4_1","RABBI",31,0,"Immediate",6,5459,"Include"
"KAWY2013_e4","KAWY2013_e4_1","ACRE",32,0,"Immediate",1,4045,"Include"
"KAWY2013_e4","KAWY2013_e4_1","LIQUID",33,0,"Immediate",1,6011,"Include"
"KAWY2013_e4","KAWY2013_e4_1","SPEAR",34,1,"Immediate",5,3377,"Include"
"KAWY2013_e4","KAWY2013_e4_1","SCENT",35,0,"Immediate",6,1240,"Include"
"KAWY2013_e4","KAWY2013_e4_1","COPPER",36,0,"Immediate",5,2864,"Include"
"KAWY2013_e4","KAWY2013_e4_1","ROBBERY",37,0,"Immediate",1,1482,"Include"
"KAWY2013_e4","KAWY2013_e4_1","COIN",38,0,"Immediate",4,5736,"Include"
"KAWY2013_e4","KAWY2013_e4_1","COAL",39,0,"Immediate",4,3464,"Include"
"KAWY2013_e4","KAWY2013_e4_1","ARBITER",40,1,"Immediate",4,2572,"Include"
"KAWY2013_e4","KAWY2013_e4_1","SHOE",41,0,"Immediate",1,1218,"Include"
"KAWY2013_e4","KAWY2013_e4_1","RESORT",42,0,"Immediate",1,3706,"Include"
"KAWY2013_e4","KAWY2013_e4_1","PLUG",43,0,"Immediate",2,1574,"Include"
"KAWY2013_e4","KAWY2013_e4_1","CRAFT",44,1,"Immediate",6,2305,"Include"
"KAWY2013_e4","KAWY2013_e4_1","COLONY",45,0,"Immediate",5,1905,"Include"
"KAWY2013_e4","KAWY2013_e4_1","PROP",46,0,"Immediate",1,1616,"Include"
"KAWY2013_e4","KAWY2013_e4_1","ALBUMIN",47,0,"Immediate",1,2057,"Include"
"KAWY2013_e4","KAWY2013_e4_1","SCAR",48,1,"Immediate",6,1634,"Include"
"KAWY2013_e4","KAWY2013_e4_1","ESSAY",49,0,"Immediate",4,5947,"Include"
"KAWY2013_e4","KAWY2013_e4_1","STAIN",50,1,"Immediate",6,1155,"Include"
"KAWY2013_e4","KAWY2013_e4_1","PROPHET",51,1,"Immediate",4,5725,"Include"
"KAWY2013_e4","KAWY2013_e4_1","POPE",52,0,"Immediate",6,1485,"Include"
"KAWY2013_e4","KAWY2013_e4_1","GALLON",53,1,"Immediate",2,4811,"Include"
"KAWY2013_e4","KAWY2013_e4_1","MAIL",54,1,"Immediate",3,3278,"Include"
"KAWY2013_e4","KAWY2013_e4_1","SLICE",55,0,"Immediate",1,2809,"Include"
"KAWY2013_e4","KAWY2013_e4_1","TOWER",56,1,"Immediate",6,2405,"Include"
"KAWY2013_e4","KAWY2013_e4_1","INFANTRY",57,0,"Immediate",5,5569,"Include"
"KAWY2013_e4","KAWY2013_e4_1","BOOTH",58,0,"Immediate",5,1671,"Include"
"KAWY2013_e4","KAWY2013_e4_1","FOAM",59,1,"Immediate",6,959,"Include"
"KAWY2013_e4","KAWY2013_e4_1","TOOL",60,0,"Immediate",5,7584,"Include"
"KAWY2013_e4","KAWY2013_e4_1","ORGAN",61,1,"Immediate",2,1643,"Include"
"KAWY2013_e4","KAWY2013_e4_1","NEPHEW",62,0,"Immediate",1,1603,"Include"
"KAWY2013_e4","KAWY2013_e4_1","DRIVER",63,0,"Immediate",2,2637,"Include"
"KAWY2013_e4","KAWY2013_e4_1","PRISONER",64,0,"Immediate",2,2177,"Include"
"KAWY2013_e4","KAWY2013_e4_1","LINEN",65,1,"Immediate",2,2597,"Include"
"KAWY2013_e4","KAWY2013_e4_1","TRAIL",66,1,"Immediate",4,8346,"Include"
"KAWY2013_e4","KAWY2013_e4_1","CIRCUIT",67,1,"Immediate",6,2344,"Include"
"KAWY2013_e4","KAWY2013_e4_1","FLOOD",68,1,"Immediate",6,1686,"Include"
"KAWY2013_e4","KAWY2013_e4_1","CHEEK",69,0,"Immediate",1,1805,"Include"
"KAWY2013_e4","KAWY2013_e4_1","OVEN",70,0,"Immediate",1,1599,"Include"
"KAWY2013_e4","KAWY2013_e4_1","INSECT",71,1,"Immediate",1,905,"Include"
"KAWY2013_e4","KAWY2013_e4_1","RESIDUE",72,0,"Immediate",1,1453,"Include"
"KAWY2013_e4","KAWY2013_e4_1","TWEED",73,0,"Immediate",1,3244,"Include"
"KAWY2013_e4","KAWY2013_e4_1","BLONDE",74,1,"Immediate",6,1017,"Include"
"KAWY2013_e4","KAWY2013_e4_1","SPECK",75,1,"Immediate",6,1096,"Include"
"KAWY2013_e4","KAWY2013_e4_1","SPIRE",76,1,"Immediate",6,1222,"Include"
"KAWY2013_e4","KAWY2013_e4_1","MUTTON",77,0,"Immediate",1,1230,"Include"
"KAWY2013_e4","KAWY2013_e4_1","ENVELOPE",78,0,"Immediate",2,2150,"Include"
"KAWY2013_e4","KAWY2013_e4_1","STOOL",79,1,"Immediate",5,4091,"Include"
"KAWY2013_e4","KAWY2013_e4_1","DISC",80,0,"Immediate",1,1176,"Include"
"KAWY2013_e4","KAWY2013_e4_1","TOILET",81,1,"Immediate",6,1218,"Include"
"KAWY2013_e4","KAWY2013_e4_1","NEST",82,0,"Immediate",1,3738,"Include"
"KAWY2013_e4","KAWY2013_e4_1","MAZE",83,1,"Immediate",6,1125,"Include"
"KAWY2013_e4","KAWY2013_e4_1","JOURNAL",84,1,"Immediate",2,7152,"Include"
"KAWY2013_e4","KAWY2013_e4_1","LURE",85,0,"Immediate",1,1690,"Include"
"KAWY2013_e4","KAWY2013_e4_1","SALARY",86,0,"Immediate",1,3201,"Include"
"KAWY2013_e4","KAWY2013_e4_1","WRECK",87,0,"Immediate",1,6511,"Include"
"KAWY2013_e4","KAWY2013_e4_1","DELL",88,0,"Immediate",1,1650,"Include"
"KAWY2013_e4","KAWY2013_e4_1","MIST",89,1,"Immediate",5,1354,"Include"
"KAWY2013_e4","KAWY2013_e4_1","SODIUM",90,0,"Immediate",2,4669,"Include"
"KAWY2013_e4","KAWY2013_e4_1","CAFE",91,0,"Immediate",1,1573,"Include"
"KAWY2013_e4","KAWY2013_e4_1","CAST",92,1,"Immediate",5,1552,"Include"
"KAWY2013_e4","KAWY2013_e4_1","EDITION",93,0,"Immediate",2,2684,"Include"
"KAWY2013_e4","KAWY2013_e4_1","THIEF",94,0,"Immediate",3,2365,"Include"
"KAWY2013_e4","KAWY2013_e4_1","GUIDE",95,1,"Immediate",6,2603,"Include"
"KAWY2013_e4","KAWY2013_e4_1","FRICTION",96,1,"Immediate",6,1231,"Include"
"KAWY2013_e4","KAWY2013_e4_1","PROFILE",97,1,"Immediate",6,1351,"Include"
"KAWY2013_e4","KAWY2013_e4_1","DUKE",98,1,"Immediate",5,2058,"Include"
"KAWY2013_e4","KAWY2013_e4_1","WILLOW",99,0,"Immediate",3,4387,"Include"
"KAWY2013_e4","KAWY2013_e4_1","MENU",100,0,"Immediate",3,7541,"Include"
"KAWY2013_e4","KAWY2013_e4_1","KNIGHT",101,0,"Immediate",1,3474,"Include"
"KAWY2013_e4","KAWY2013_e4_1","LEATHER",102,0,"Immediate",1,1558,"Include"
"KAWY2013_e4","KAWY2013_e4_1","PEER",103,0,"Immediate",1,1362,"Include"
"KAWY2013_e4","KAWY2013_e4_1","HOUND",104,1,"Immediate",1,2165,"Include"
"KAWY2013_e4","KAWY2013_e4_1","CUSTOMER",105,0,"Immediate",1,1082,"Include"
"KAWY2013_e4","KAWY2013_e4_1","SHADOW",106,0,"Immediate",1,1239,"Include"
"KAWY2013_e4","KAWY2013_e4_1","PUZZLE",107,1,"Immediate",6,1439,"Include"
"KAWY2013_e4","KAWY2013_e4_1","PUNCH",108,0,"Immediate",2,4239,"Include"
"KAWY2013_e4","KAWY2013_e4_1","PISTON",109,1,"Immediate",6,1093,"Include"
"KAWY2013_e4","KAWY2013_e4_1","DRIZZLE",110,0,"Immediate",1,2179,"Include"
"KAWY2013_e4","KAWY2013_e4_1","CHAIN",111,1,"Immediate",4,9879,"Include"
"KAWY2013_e4","KAWY2013_e4_1","CARRIAGE",112,0,"Immediate",4,1676,"Include"
"KAWY2013_e4","KAWY2013_e4_1","BRAIN",113,1,"Immediate",6,1187,"Include"
"KAWY2013_e4","KAWY2013_e4_1","TIMBER",114,1,"Immediate",2,3468,"Include"
"KAWY2013_e4","KAWY2013_e4_1","HUNGER",115,1,"Immediate",6,1025,"Include"
"KAWY2013_e4","KAWY2013_e4_1","CHUCKLE",116,1,"Immediate",6,1952,"Include"
"KAWY2013_e4","KAWY2013_e4_1","BOSS",117,0,"Immediate",1,1277,"Include"
"KAWY2013_e4","KAWY2013_e4_1","CHOIR",118,0,"Immediate",2,13140,"Include"
"KAWY2013_e4","KAWY2013_e4_1","CRAWL",119,1,"Immediate",4,3055,"Include"
"KAWY2013_e4","KAWY2013_e4_1","ROUTE",120,0,"Immediate",5,2035,"Include"
"KAWY2013_e4","KAWY2013_e4_1","SINGER",121,1,"Immediate",5,1388,"Include"
"KAWY2013_e4","KAWY2013_e4_1","SQUIRE",122,1,"Immediate",6,862,"Include"
"KAWY2013_e4","KAWY2013_e4_1","SPHERE",123,0,"Immediate",3,2868,"Include"
"KAWY2013_e4","KAWY2013_e4_1","SISTER",124,1,"Immediate",6,1535,"Include"
"KAWY2013_e4","KAWY2013_e4_1","SWORD",125,0,"Immediate",3,3067,"Include"
"KAWY2013_e4","KAWY2013_e4_1","COTTAGE",126,0,"Immediate",4,6511,"Include"
"KAWY2013_e4","KAWY2013_e4_1","CARAVAN",127,1,"Immediate",5,2945,"Include"
"KAWY2013_e4","KAWY2013_e4_1","NICKEL",128,0,"Immediate",2,2152,"Include"
"KAWY2013_e4","KAWY2013_e4_1","AXLE",129,0,"Immediate",1,5149,"Include"
"KAWY2013_e4","KAWY2013_e4_1","TROLLEY",130,1,"Immediate",1,2659,"Include"
"KAWY2013_e4","KAWY2013_e4_1","REVOLVER",131,1,"Immediate",6,981,"Include"
"KAWY2013_e4","KAWY2013_e4_1","TRUNK",132,0,"Immediate",3,5366,"Include"
