"exp","id","block","item","isold","condition1","condition2","rating","RT","excluding"
"KFH2013_e1","KFH2013_e1_1",1,"ENTZUG",1,"HighF","LowA",6,1926.4,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"LEERE",0,"LowF","HighA",1,1277.6,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"IMPFUNG",1,"HighF","LowA",2,860.5,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"FLUT",0,"LowF","LowA",6,1505.5,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"INTRIGE",1,"HighF","HighA",6,801.4,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"SCHWERT",0,"HighF","HighA",2,1520.4,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"PASSION",1,"HighF","LowA",6,1576.3,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"STIER",0,"HighF","HighA",2,1643.4,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"RIVALE",0,"HighF","LowA",1,1700.4,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"KLUGHEIT",0,"HighF","HighA",1,599.3,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"ALLEE",0,"LowF","HighA",1,1221.4,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"MAGAZIN",1,"LowF","LowA",3,1768.3,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"KETTE",1,"LowF","HighA",2,361.3,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"THEKE",0,"HighF","HighA",1,1779.3,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"ABBRUCH",1,"LowF","LowA",6,156.3,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"FLAGGE",1,"LowF","HighA",2,1607.2,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"KURVE",1,"LowF","HighA",6,1525.2,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"TRENNUNG",1,"LowF","HighA",1,1513.3,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"HUHN",0,"HighF","HighA",1,1084.2,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"PUPPE",0,"HighF","HighA",2,1931.1,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"FANTASIE",0,"LowF","HighA",4,9.2,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"LUPE",1,"LowF","LowA",6,241.1,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"SINFONIE",0,"HighF","LowA",1,1600.1,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"MUSICAL",1,"LowF","HighA",4,485.1,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"SEIDE",0,"HighF","HighA",2,822.2,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"REFERAT",0,"HighF","LowA",4,1501,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"UNGEDULD",0,"HighF","HighA",2,326,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"WEIDE",1,"HighF","LowA",6,374,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"KROKODIL",1,"HighF","HighA",6,133.1,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"SCHLACHT",0,"LowF","HighA",1,449.1,"Include"
"KFH2013_e1","KFH2013_e1_1",1,"WOLLE",0,"HighF","HighA",5,313,"Include"
