"exp","id","condition1","trial","isold","rating","RT_CONF","excluding"
"KL2012_e1","KL2012_e1_10","Block1",1,0,1,2698,"Include"
"KL2012_e1","KL2012_e1_10","Block1",2,0,3,2656,"Include"
"KL2012_e1","KL2012_e1_10","Block1",3,0,5,1449,"Include"
"KL2012_e1","KL2012_e1_10","Block1",4,0,5,1347,"Include"
"KL2012_e1","KL2012_e1_10","Block1",5,0,2,1901,"Include"
"KL2012_e1","KL2012_e1_10","Block1",6,1,3,2050,"Include"
"KL2012_e1","KL2012_e1_10","Block1",7,0,3,1101,"Include"
"KL2012_e1","KL2012_e1_10","Block1",8,1,6,976,"Include"
"KL2012_e1","KL2012_e1_10","Block1",9,0,4,1561,"Include"
"KL2012_e1","KL2012_e1_10","Block1",10,1,5,1161,"Include"
"KL2012_e1","KL2012_e1_10","Block1",11,0,2,1553,"Include"
"KL2012_e1","KL2012_e1_10","Block1",12,0,5,1266,"Include"
"KL2012_e1","KL2012_e1_10","Block1",13,1,6,2167,"Include"
"KL2012_e1","KL2012_e1_10","Block1",14,0,4,2170,"Include"
"KL2012_e1","KL2012_e1_10","Block1",15,1,4,1329,"Include"
"KL2012_e1","KL2012_e1_10","Block1",16,1,4,1553,"Include"
"KL2012_e1","KL2012_e1_10","Block1",17,0,4,1120,"Include"
"KL2012_e1","KL2012_e1_10","Block1",18,1,6,1212,"Include"
"KL2012_e1","KL2012_e1_10","Block1",19,0,5,2251,"Include"
"KL2012_e1","KL2012_e1_10","Block1",20,0,3,1558,"Include"
"KL2012_e1","KL2012_e1_10","Block1",21,0,5,1430,"Include"
"KL2012_e1","KL2012_e1_10","Block1",22,1,5,1459,"Include"
"KL2012_e1","KL2012_e1_10","Block1",23,0,5,893,"Include"
"KL2012_e1","KL2012_e1_10","Block1",24,1,6,960,"Include"
"KL2012_e1","KL2012_e1_10","Block1",25,1,6,1155,"Include"
"KL2012_e1","KL2012_e1_10","Block1",26,0,3,1811,"Include"
"KL2012_e1","KL2012_e1_10","Block1",27,1,6,705,"Include"
"KL2012_e1","KL2012_e1_10","Block1",28,1,6,645,"Include"
"KL2012_e1","KL2012_e1_10","Block1",29,1,6,699,"Include"
"KL2012_e1","KL2012_e1_10","Block1",30,0,3,1216,"Include"
"KL2012_e1","KL2012_e1_10","Block1",31,0,3,2201,"Include"
"KL2012_e1","KL2012_e1_10","Block1",32,1,5,1383,"Include"
"KL2012_e1","KL2012_e1_10","Block1",33,1,6,784,"Include"
"KL2012_e1","KL2012_e1_10","Block1",34,0,6,892,"Include"
"KL2012_e1","KL2012_e1_10","Block1",35,1,6,540,"Include"
"KL2012_e1","KL2012_e1_10","Block1",36,0,6,499,"Include"
"KL2012_e1","KL2012_e1_10","Block1",37,1,6,731,"Include"
"KL2012_e1","KL2012_e1_10","Block1",38,1,6,619,"Include"
"KL2012_e1","KL2012_e1_10","Block1",39,0,2,1820,"Include"
"KL2012_e1","KL2012_e1_10","Block1",40,0,4,1216,"Include"
"KL2012_e1","KL2012_e1_10","Block1",41,1,5,939,"Include"
"KL2012_e1","KL2012_e1_10","Block1",42,1,6,1087,"Include"
"KL2012_e1","KL2012_e1_10","Block1",43,0,3,1859,"Include"
"KL2012_e1","KL2012_e1_10","Block1",44,0,3,1006,"Include"
"KL2012_e1","KL2012_e1_10","Block1",45,1,6,997,"Include"
"KL2012_e1","KL2012_e1_10","Block1",46,1,5,1829,"Include"
"KL2012_e1","KL2012_e1_10","Block1",47,0,4,1258,"Include"
"KL2012_e1","KL2012_e1_10","Block1",48,1,3,994,"Include"
"KL2012_e1","KL2012_e1_10","Block1",49,0,5,1124,"Include"
"KL2012_e1","KL2012_e1_10","Block1",50,1,5,1026,"Include"
"KL2012_e1","KL2012_e1_10","Block1",51,0,3,1652,"Include"
"KL2012_e1","KL2012_e1_10","Block1",52,1,5,803,"Include"
"KL2012_e1","KL2012_e1_10","Block1",53,0,3,1017,"Include"
"KL2012_e1","KL2012_e1_10","Block1",54,1,5,1042,"Include"
"KL2012_e1","KL2012_e1_10","Block1",55,1,6,942,"Include"
"KL2012_e1","KL2012_e1_10","Block1",56,0,6,1316,"Include"
"KL2012_e1","KL2012_e1_10","Block1",57,0,3,908,"Include"
"KL2012_e1","KL2012_e1_10","Block1",58,0,2,1451,"Include"
"KL2012_e1","KL2012_e1_10","Block1",59,1,2,1010,"Include"
"KL2012_e1","KL2012_e1_10","Block1",60,1,6,741,"Include"
"KL2012_e1","KL2012_e1_10","Block1",61,0,3,1307,"Include"
"KL2012_e1","KL2012_e1_10","Block1",62,1,6,966,"Include"
"KL2012_e1","KL2012_e1_10","Block1",63,0,6,824,"Include"
"KL2012_e1","KL2012_e1_10","Block1",64,1,6,659,"Include"
"KL2012_e1","KL2012_e1_10","Block1",65,0,1,1273,"Include"
"KL2012_e1","KL2012_e1_10","Block1",66,0,3,2104,"Include"
"KL2012_e1","KL2012_e1_10","Block1",67,0,3,866,"Include"
"KL2012_e1","KL2012_e1_10","Block1",68,1,6,800,"Include"
"KL2012_e1","KL2012_e1_10","Block1",69,1,3,1391,"Include"
"KL2012_e1","KL2012_e1_10","Block1",70,0,6,780,"Include"
"KL2012_e1","KL2012_e1_10","Block1",71,0,6,809,"Include"
"KL2012_e1","KL2012_e1_10","Block1",72,0,5,1846,"Include"
"KL2012_e1","KL2012_e1_10","Block1",73,1,5,1570,"Include"
"KL2012_e1","KL2012_e1_10","Block1",74,1,5,1120,"Include"
"KL2012_e1","KL2012_e1_10","Block1",75,0,1,1118,"Include"
"KL2012_e1","KL2012_e1_10","Block1",76,1,6,684,"Include"
"KL2012_e1","KL2012_e1_10","Block1",77,1,6,884,"Include"
"KL2012_e1","KL2012_e1_10","Block1",78,1,6,765,"Include"
"KL2012_e1","KL2012_e1_10","Block1",79,0,2,1475,"Include"
"KL2012_e1","KL2012_e1_10","Block1",80,1,5,1203,"Include"
"KL2012_e1","KL2012_e1_10","Block1",81,1,4,1903,"Include"
"KL2012_e1","KL2012_e1_10","Block1",82,1,5,1191,"Include"
"KL2012_e1","KL2012_e1_10","Block1",83,1,6,1068,"Include"
"KL2012_e1","KL2012_e1_10","Block1",84,0,3,1429,"Include"
"KL2012_e1","KL2012_e1_10","Block1",85,0,3,1116,"Include"
"KL2012_e1","KL2012_e1_10","Block1",86,1,6,675,"Include"
"KL2012_e1","KL2012_e1_10","Block1",87,0,6,1061,"Include"
