"exp","id","isold","rating","RT","excluding","trial","condition1"
"KL2012_e2","KL2012_e2_43",1,6,3162,"Include",1,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,1976,"Include",2,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,2284,"Include",3,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,1633,"Include",4,"Block1"
"KL2012_e2","KL2012_e2_43",1,2,3148,"Include",5,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,2622,"Include",6,"Block1"
"KL2012_e2","KL2012_e2_43",1,1,1563,"Include",7,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,1148,"Include",8,"Block1"
"KL2012_e2","KL2012_e2_43",0,5,2815,"Include",9,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,1509,"Include",10,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,2714,"Include",11,"Block1"
"KL2012_e2","KL2012_e2_43",0,1,1251,"Include",12,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,1235,"Include",13,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,1481,"Include",14,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,3194,"Include",15,"Block1"
"KL2012_e2","KL2012_e2_43",1,4,2679,"Include",16,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,1507,"Include",17,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,1139,"Include",18,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,1688,"Include",19,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,1199,"Include",20,"Block1"
"KL2012_e2","KL2012_e2_43",1,2,1847,"Include",21,"Block1"
"KL2012_e2","KL2012_e2_43",0,5,1250,"Include",22,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,1389,"Include",23,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,909,"Include",24,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,962,"Include",25,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,920,"Include",26,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,995,"Include",27,"Block1"
"KL2012_e2","KL2012_e2_43",0,4,1836,"Include",28,"Block1"
"KL2012_e2","KL2012_e2_43",0,3,1385,"Include",29,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,1799,"Include",30,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,1188,"Include",31,"Block1"
"KL2012_e2","KL2012_e2_43",0,1,1267,"Include",32,"Block1"
"KL2012_e2","KL2012_e2_43",0,3,2260,"Include",33,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,1524,"Include",34,"Block1"
"KL2012_e2","KL2012_e2_43",0,4,1629,"Include",35,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,1099,"Include",36,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,1159,"Include",37,"Block1"
"KL2012_e2","KL2012_e2_43",0,1,990,"Include",38,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,1562,"Include",39,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,913,"Include",40,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,1665,"Include",41,"Block1"
"KL2012_e2","KL2012_e2_43",0,4,1555,"Include",42,"Block1"
"KL2012_e2","KL2012_e2_43",1,5,1783,"Include",43,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,1347,"Include",44,"Block1"
"KL2012_e2","KL2012_e2_43",1,3,2365,"Include",45,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,1866,"Include",46,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,962,"Include",47,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,1105,"Include",48,"Block1"
"KL2012_e2","KL2012_e2_43",0,1,1113,"Include",49,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,1015,"Include",50,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,2354,"Include",51,"Block1"
"KL2012_e2","KL2012_e2_43",1,3,1637,"Include",52,"Block1"
"KL2012_e2","KL2012_e2_43",1,4,2386,"Include",53,"Block1"
"KL2012_e2","KL2012_e2_43",1,4,1266,"Include",54,"Block1"
"KL2012_e2","KL2012_e2_43",0,3,1375,"Include",55,"Block1"
"KL2012_e2","KL2012_e2_43",1,5,1422,"Include",56,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,1228,"Include",57,"Block1"
"KL2012_e2","KL2012_e2_43",1,2,1870,"Include",58,"Block1"
"KL2012_e2","KL2012_e2_43",1,5,1176,"Include",59,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,996,"Include",60,"Block1"
"KL2012_e2","KL2012_e2_43",1,4,2184,"Include",61,"Block1"
"KL2012_e2","KL2012_e2_43",0,4,1622,"Include",62,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,2300,"Include",63,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,2172,"Include",64,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,1050,"Include",65,"Block1"
"KL2012_e2","KL2012_e2_43",1,5,991,"Include",66,"Block1"
"KL2012_e2","KL2012_e2_43",1,5,6466,"Include",67,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,2530,"Include",68,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,980,"Include",69,"Block1"
"KL2012_e2","KL2012_e2_43",1,2,1351,"Include",70,"Block1"
"KL2012_e2","KL2012_e2_43",1,2,2131,"Include",71,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,2182,"Include",72,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,955,"Include",73,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,944,"Include",74,"Block1"
"KL2012_e2","KL2012_e2_43",0,1,1183,"Include",75,"Block1"
"KL2012_e2","KL2012_e2_43",1,5,1442,"Include",76,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,1007,"Include",77,"Block1"
"KL2012_e2","KL2012_e2_43",1,3,2998,"Include",78,"Block1"
"KL2012_e2","KL2012_e2_43",1,2,1433,"Include",79,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,1127,"Include",80,"Block1"
"KL2012_e2","KL2012_e2_43",0,2,2147,"Include",81,"Block1"
"KL2012_e2","KL2012_e2_43",1,6,1365,"Include",82,"Block1"
"KL2012_e2","KL2012_e2_43",1,5,9728,"Include",83,"Block1"
