"exp","id","block","trial","isold","condition1","condition2","rating","RT","excluding"
"KL2012_e3","KL2012_e3_10",1,1,0,"Paintings-Paintings","Block1",2,6373,"Include"
"KL2012_e3","KL2012_e3_10",1,2,1,"Paintings-Paintings","Block1",6,2874,"Include"
"KL2012_e3","KL2012_e3_10",1,3,0,"Paintings-Paintings","Block1",1,2430,"Include"
"KL2012_e3","KL2012_e3_10",1,4,0,"Paintings-Paintings","Block1",1,2820,"Include"
"KL2012_e3","KL2012_e3_10",1,5,1,"Paintings-Paintings","Block1",6,2955,"Include"
"KL2012_e3","KL2012_e3_10",1,6,0,"Paintings-Paintings","Block1",2,5624,"Include"
"KL2012_e3","KL2012_e3_10",1,7,0,"Paintings-Paintings","Block1",1,4679,"Include"
"KL2012_e3","KL2012_e3_10",1,8,0,"Paintings-Paintings","Block1",1,7918,"Include"
"KL2012_e3","KL2012_e3_10",1,9,1,"Paintings-Paintings","Block1",4,6389,"Include"
"KL2012_e3","KL2012_e3_10",1,10,1,"Paintings-Paintings","Block1",3,6586,"Include"
"KL2012_e3","KL2012_e3_10",1,11,1,"Paintings-Paintings","Block1",3,6119,"Include"
"KL2012_e3","KL2012_e3_10",1,12,0,"Paintings-Paintings","Block1",1,4946,"Include"
"KL2012_e3","KL2012_e3_10",1,13,0,"Paintings-Paintings","Block1",1,3503,"Include"
"KL2012_e3","KL2012_e3_10",1,14,1,"Paintings-Paintings","Block1",3,11082,"Include"
"KL2012_e3","KL2012_e3_10",1,15,0,"Paintings-Paintings","Block1",1,4329,"Include"
"KL2012_e3","KL2012_e3_10",1,16,0,"Paintings-Paintings","Block1",1,2688,"Include"
"KL2012_e3","KL2012_e3_10",1,17,0,"Paintings-Paintings","Block1",1,2183,"Include"
"KL2012_e3","KL2012_e3_10",1,18,0,"Paintings-Paintings","Block1",1,3175,"Include"
"KL2012_e3","KL2012_e3_10",1,19,1,"Paintings-Paintings","Block1",3,10367,"Include"
"KL2012_e3","KL2012_e3_10",1,20,0,"Paintings-Paintings","Block1",1,8017,"Include"
"KL2012_e3","KL2012_e3_10",1,21,1,"Paintings-Paintings","Block1",1,3348,"Include"
"KL2012_e3","KL2012_e3_10",1,22,0,"Paintings-Paintings","Block1",1,3988,"Include"
"KL2012_e3","KL2012_e3_10",1,23,1,"Paintings-Paintings","Block1",6,2667,"Include"
"KL2012_e3","KL2012_e3_10",1,24,1,"Paintings-Paintings","Block1",5,4313,"Include"
"KL2012_e3","KL2012_e3_10",1,25,1,"Paintings-Paintings","Block1",6,4435,"Include"
"KL2012_e3","KL2012_e3_10",1,26,1,"Paintings-Paintings","Block1",6,2120,"Include"
"KL2012_e3","KL2012_e3_10",1,27,1,"Paintings-Paintings","Block1",4,6828,"Include"
"KL2012_e3","KL2012_e3_10",1,28,0,"Paintings-Paintings","Block1",1,5966,"Include"
"KL2012_e3","KL2012_e3_10",1,29,0,"Paintings-Paintings","Block1",2,5637,"Include"
"KL2012_e3","KL2012_e3_10",1,30,1,"Paintings-Paintings","Block1",1,3353,"Include"
"KL2012_e3","KL2012_e3_10",1,31,1,"Paintings-Paintings","Block1",6,4555,"Include"
"KL2012_e3","KL2012_e3_10",1,32,0,"Paintings-Paintings","Block1",1,3786,"Include"
"KL2012_e3","KL2012_e3_10",1,33,0,"Paintings-Paintings","Block1",1,4938,"Include"
"KL2012_e3","KL2012_e3_10",1,34,1,"Paintings-Paintings","Block1",6,5003,"Include"
"KL2012_e3","KL2012_e3_10",1,35,1,"Paintings-Paintings","Block1",4,8104,"Include"
"KL2012_e3","KL2012_e3_10",1,36,0,"Paintings-Paintings","Block1",6,3575,"Include"
"KL2012_e3","KL2012_e3_10",1,37,1,"Paintings-Paintings","Block1",6,2431,"Include"
"KL2012_e3","KL2012_e3_10",1,38,0,"Paintings-Paintings","Block1",4,12982,"Include"
"KL2012_e3","KL2012_e3_10",1,39,0,"Paintings-Paintings","Block1",6,4733,"Include"
"KL2012_e3","KL2012_e3_10",1,40,1,"Paintings-Paintings","Block1",6,1606,"Include"
"KL2012_e3","KL2012_e3_10",1,41,1,"Paintings-Paintings","Block1",2,5791,"Include"
"KL2012_e3","KL2012_e3_10",1,42,1,"Paintings-Paintings","Block1",3,8636,"Include"
"KL2012_e3","KL2012_e3_10",1,43,0,"Paintings-Paintings","Block1",1,4405,"Include"
"KL2012_e3","KL2012_e3_10",1,44,0,"Paintings-Paintings","Block1",1,8490,"Include"
"KL2012_e3","KL2012_e3_10",1,45,0,"Paintings-Paintings","Block1",1,3578,"Include"
"KL2012_e3","KL2012_e3_10",1,46,0,"Paintings-Paintings","Block1",1,3521,"Include"
"KL2012_e3","KL2012_e3_10",1,47,1,"Paintings-Paintings","Block1",1,3626,"Include"
"KL2012_e3","KL2012_e3_10",1,48,0,"Paintings-Paintings","Block1",6,1840,"Include"
"KL2012_e3","KL2012_e3_10",1,49,1,"Paintings-Paintings","Block1",4,6287,"Include"
"KL2012_e3","KL2012_e3_10",1,50,1,"Paintings-Paintings","Block1",6,2185,"Include"
"KL2012_e3","KL2012_e3_10",1,51,1,"Paintings-Paintings","Block1",6,1082,"Include"
"KL2012_e3","KL2012_e3_10",1,52,0,"Paintings-Paintings","Block1",2,4585,"Include"
"KL2012_e3","KL2012_e3_10",1,53,0,"Paintings-Paintings","Block1",1,3368,"Include"
"KL2012_e3","KL2012_e3_10",1,54,1,"Paintings-Paintings","Block1",2,5849,"Include"
"KL2012_e3","KL2012_e3_10",1,55,0,"Paintings-Paintings","Block1",1,6451,"Include"
"KL2012_e3","KL2012_e3_10",1,56,0,"Paintings-Paintings","Block1",2,4902,"Include"
"KL2012_e3","KL2012_e3_10",1,57,0,"Paintings-Paintings","Block1",1,3960,"Include"
"KL2012_e3","KL2012_e3_10",1,58,1,"Paintings-Paintings","Block1",4,4689,"Include"
"KL2012_e3","KL2012_e3_10",1,59,0,"Paintings-Paintings","Block1",1,1754,"Include"
"KL2012_e3","KL2012_e3_10",1,60,1,"Paintings-Paintings","Block1",6,6013,"Include"
"KL2012_e3","KL2012_e3_10",1,61,1,"Paintings-Paintings","Block1",4,4337,"Include"
"KL2012_e3","KL2012_e3_10",1,62,1,"Paintings-Paintings","Block1",6,4490,"Include"
"KL2012_e3","KL2012_e3_10",1,63,1,"Paintings-Paintings","Block1",6,1516,"Include"
"KL2012_e3","KL2012_e3_10",1,64,0,"Paintings-Paintings","Block1",5,4441,"Include"
"KL2012_e3","KL2012_e3_10",1,65,0,"Paintings-Paintings","Block1",5,8893,"Include"
"KL2012_e3","KL2012_e3_10",1,66,0,"Paintings-Paintings","Block1",1,2891,"Include"
"KL2012_e3","KL2012_e3_10",1,67,1,"Paintings-Paintings","Block1",4,13567,"Include"
"KL2012_e3","KL2012_e3_10",1,68,0,"Paintings-Paintings","Block1",4,9278,"Include"
"KL2012_e3","KL2012_e3_10",1,69,1,"Paintings-Paintings","Block1",1,2237,"Include"
"KL2012_e3","KL2012_e3_10",1,70,0,"Paintings-Paintings","Block1",1,1866,"Include"
"KL2012_e3","KL2012_e3_10",1,71,1,"Paintings-Paintings","Block1",6,4522,"Include"
"KL2012_e3","KL2012_e3_10",1,72,1,"Paintings-Paintings","Block1",2,5483,"Include"
"KL2012_e3","KL2012_e3_10",1,73,1,"Paintings-Paintings","Block1",2,9396,"Include"
"KL2012_e3","KL2012_e3_10",1,74,1,"Paintings-Paintings","Block1",2,12622,"Include"
"KL2012_e3","KL2012_e3_10",1,75,0,"Paintings-Paintings","Block1",2,10404,"Include"
"KL2012_e3","KL2012_e3_10",1,76,0,"Paintings-Paintings","Block1",1,5572,"Include"
"KL2012_e3","KL2012_e3_10",1,77,0,"Paintings-Paintings","Block1",1,6634,"Include"
"KL2012_e3","KL2012_e3_10",1,78,1,"Paintings-Paintings","Block1",2,9013,"Include"
"KL2012_e3","KL2012_e3_10",1,79,1,"Paintings-Paintings","Block1",1,3342,"Include"
"KL2012_e3","KL2012_e3_10",1,80,0,"Paintings-Paintings","Block1",3,7215,"Include"
"KL2012_e3","KL2012_e3_10",1,81,0,"Paintings-Paintings","Block1",1,7298,"Include"
"KL2012_e3","KL2012_e3_10",1,82,1,"Paintings-Paintings","Block1",1,4609,"Include"
"KL2012_e3","KL2012_e3_10",1,83,0,"Paintings-Paintings","Block1",1,2606,"Include"
"KL2012_e3","KL2012_e3_10",1,84,0,"Paintings-Paintings","Block1",2,4861,"Include"
"KL2012_e3","KL2012_e3_10",1,85,0,"Paintings-Paintings","Block1",2,10369,"Include"
"KL2012_e3","KL2012_e3_10",1,86,1,"Paintings-Paintings","Block1",4,6643,"Include"
"KL2012_e3","KL2012_e3_10",1,87,1,"Paintings-Paintings","Block1",4,3870,"Include"
"KL2012_e3","KL2012_e3_10",1,88,0,"Paintings-Paintings","Block1",1,1786,"Include"
"KL2012_e3","KL2012_e3_10",1,89,0,"Paintings-Paintings","Block1",1,5834,"Include"
"KL2012_e3","KL2012_e3_10",1,90,1,"Paintings-Paintings","Block1",2,4054,"Include"
"KL2012_e3","KL2012_e3_10",1,91,1,"Paintings-Paintings","Block1",6,1547,"Include"
"KL2012_e3","KL2012_e3_10",1,92,1,"Paintings-Paintings","Block1",4,6486,"Include"
"KL2012_e3","KL2012_e3_10",1,93,1,"Paintings-Paintings","Block1",4,4343,"Include"
"KL2012_e3","KL2012_e3_10",1,94,1,"Paintings-Paintings","Block1",6,1872,"Include"
"KL2012_e3","KL2012_e3_10",1,95,0,"Paintings-Paintings","Block1",5,6973,"Include"
"KL2012_e3","KL2012_e3_10",1,96,1,"Paintings-Paintings","Block1",4,6330,"Include"
"KL2012_e3","KL2012_e3_10",2,97,0,"Paintings-Paintings","Block2",6,3226,"Include"
"KL2012_e3","KL2012_e3_10",2,98,1,"Paintings-Paintings","Block2",6,2865,"Include"
"KL2012_e3","KL2012_e3_10",2,99,0,"Paintings-Paintings","Block2",1,2597,"Include"
"KL2012_e3","KL2012_e3_10",2,100,1,"Paintings-Paintings","Block2",6,1446,"Include"
"KL2012_e3","KL2012_e3_10",2,101,0,"Paintings-Paintings","Block2",1,1829,"Include"
"KL2012_e3","KL2012_e3_10",2,102,1,"Paintings-Paintings","Block2",6,2293,"Include"
"KL2012_e3","KL2012_e3_10",2,103,1,"Paintings-Paintings","Block2",6,1074,"Include"
"KL2012_e3","KL2012_e3_10",2,104,0,"Paintings-Paintings","Block2",1,1632,"Include"
"KL2012_e3","KL2012_e3_10",2,105,0,"Paintings-Paintings","Block2",1,1591,"Include"
"KL2012_e3","KL2012_e3_10",2,106,0,"Paintings-Paintings","Block2",1,1472,"Include"
"KL2012_e3","KL2012_e3_10",2,107,0,"Paintings-Paintings","Block2",2,1949,"Include"
"KL2012_e3","KL2012_e3_10",2,108,1,"Paintings-Paintings","Block2",6,1304,"Include"
"KL2012_e3","KL2012_e3_10",2,109,1,"Paintings-Paintings","Block2",6,1437,"Include"
"KL2012_e3","KL2012_e3_10",2,110,1,"Paintings-Paintings","Block2",2,2557,"Include"
"KL2012_e3","KL2012_e3_10",2,111,0,"Paintings-Paintings","Block2",1,1917,"Include"
"KL2012_e3","KL2012_e3_10",2,112,0,"Paintings-Paintings","Block2",1,1385,"Include"
"KL2012_e3","KL2012_e3_10",2,113,1,"Paintings-Paintings","Block2",6,1690,"Include"
"KL2012_e3","KL2012_e3_10",2,114,0,"Paintings-Paintings","Block2",1,1823,"Include"
"KL2012_e3","KL2012_e3_10",2,115,0,"Paintings-Paintings","Block2",1,1534,"Include"
"KL2012_e3","KL2012_e3_10",2,116,1,"Paintings-Paintings","Block2",6,1194,"Include"
"KL2012_e3","KL2012_e3_10",2,117,1,"Paintings-Paintings","Block2",6,1379,"Include"
"KL2012_e3","KL2012_e3_10",2,118,0,"Paintings-Paintings","Block2",1,2357,"Include"
"KL2012_e3","KL2012_e3_10",2,119,0,"Paintings-Paintings","Block2",1,3566,"Include"
"KL2012_e3","KL2012_e3_10",2,120,1,"Paintings-Paintings","Block2",1,3623,"Include"
"KL2012_e3","KL2012_e3_10",2,121,1,"Paintings-Paintings","Block2",6,1597,"Include"
"KL2012_e3","KL2012_e3_10",2,122,1,"Paintings-Paintings","Block2",6,2582,"Include"
"KL2012_e3","KL2012_e3_10",2,123,0,"Paintings-Paintings","Block2",2,4423,"Include"
"KL2012_e3","KL2012_e3_10",2,124,0,"Paintings-Paintings","Block2",1,1307,"Include"
"KL2012_e3","KL2012_e3_10",2,125,1,"Paintings-Paintings","Block2",6,1248,"Include"
"KL2012_e3","KL2012_e3_10",2,126,1,"Paintings-Paintings","Block2",1,1640,"Include"
"KL2012_e3","KL2012_e3_10",2,127,0,"Paintings-Paintings","Block2",1,782,"Include"
"KL2012_e3","KL2012_e3_10",2,128,1,"Paintings-Paintings","Block2",6,2778,"Include"
"KL2012_e3","KL2012_e3_10",2,129,0,"Paintings-Paintings","Block2",1,1331,"Include"
"KL2012_e3","KL2012_e3_10",2,130,1,"Paintings-Paintings","Block2",2,1383,"Include"
"KL2012_e3","KL2012_e3_10",2,131,1,"Paintings-Paintings","Block2",4,3385,"Include"
"KL2012_e3","KL2012_e3_10",2,132,0,"Paintings-Paintings","Block2",5,13529,"Include"
"KL2012_e3","KL2012_e3_10",2,133,1,"Paintings-Paintings","Block2",1,1226,"Include"
"KL2012_e3","KL2012_e3_10",2,134,1,"Paintings-Paintings","Block2",6,1555,"Include"
"KL2012_e3","KL2012_e3_10",2,135,1,"Paintings-Paintings","Block2",1,1292,"Include"
