"exp","id","isold","rating","RT","excluding","trial"
"KL2012_e4","KL2012_e4_1",0,4,10559,"Include",1
"KL2012_e4","KL2012_e4_1",0,2,3297,"Include",2
"KL2012_e4","KL2012_e4_1",0,3,1898,"Include",3
"KL2012_e4","KL2012_e4_1",0,4,1704,"Include",4
"KL2012_e4","KL2012_e4_1",0,1,1576,"Include",5
"KL2012_e4","KL2012_e4_1",1,1,1309,"Include",6
"KL2012_e4","KL2012_e4_1",1,2,925,"Include",7
"KL2012_e4","KL2012_e4_1",1,5,4399,"Include",8
"KL2012_e4","KL2012_e4_1",0,2,1255,"Include",9
"KL2012_e4","KL2012_e4_1",0,2,1100,"Include",10
"KL2012_e4","KL2012_e4_1",0,4,1337,"Include",11
"KL2012_e4","KL2012_e4_1",0,2,1301,"Include",12
"KL2012_e4","KL2012_e4_1",1,3,1365,"Include",13
"KL2012_e4","KL2012_e4_1",1,3,1341,"Include",14
"KL2012_e4","KL2012_e4_1",0,3,981,"Include",15
"KL2012_e4","KL2012_e4_1",1,1,1722,"Include",16
"KL2012_e4","KL2012_e4_1",0,1,940,"Include",17
"KL2012_e4","KL2012_e4_1",0,2,1118,"Include",18
"KL2012_e4","KL2012_e4_1",1,5,2017,"Include",19
"KL2012_e4","KL2012_e4_1",1,2,1046,"Include",20
"KL2012_e4","KL2012_e4_1",1,3,1105,"Include",21
"KL2012_e4","KL2012_e4_1",0,2,1009,"Include",22
"KL2012_e4","KL2012_e4_1",1,3,1310,"Include",23
"KL2012_e4","KL2012_e4_1",1,5,2494,"Include",24
"KL2012_e4","KL2012_e4_1",0,2,1179,"Include",25
"KL2012_e4","KL2012_e4_1",1,6,1072,"Include",26
"KL2012_e4","KL2012_e4_1",0,2,1104,"Include",27
"KL2012_e4","KL2012_e4_1",1,2,1045,"Include",28
"KL2012_e4","KL2012_e4_1",0,2,949,"Include",29
"KL2012_e4","KL2012_e4_1",0,1,1077,"Include",30
"KL2012_e4","KL2012_e4_1",1,4,1279,"Include",31
"KL2012_e4","KL2012_e4_1",0,1,878,"Include",32
"KL2012_e4","KL2012_e4_1",1,1,977,"Include",33
"KL2012_e4","KL2012_e4_1",0,1,854,"Include",34
"KL2012_e4","KL2012_e4_1",0,1,1203,"Include",35
"KL2012_e4","KL2012_e4_1",0,3,1149,"Include",36
"KL2012_e4","KL2012_e4_1",1,3,1261,"Include",37
"KL2012_e4","KL2012_e4_1",0,4,2141,"Include",38
"KL2012_e4","KL2012_e4_1",1,5,1037,"Include",39
"KL2012_e4","KL2012_e4_1",0,2,1215,"Include",40
"KL2012_e4","KL2012_e4_1",0,2,836,"Include",41
"KL2012_e4","KL2012_e4_1",1,2,919,"Include",42
"KL2012_e4","KL2012_e4_1",0,1,1097,"Include",43
"KL2012_e4","KL2012_e4_1",0,3,1100,"Include",44
"KL2012_e4","KL2012_e4_1",1,1,1209,"Include",45
"KL2012_e4","KL2012_e4_1",0,2,1134,"Include",46
"KL2012_e4","KL2012_e4_1",1,2,2072,"Include",47
"KL2012_e4","KL2012_e4_1",0,3,1549,"Include",48
"KL2012_e4","KL2012_e4_1",1,2,1038,"Include",49
"KL2012_e4","KL2012_e4_1",1,3,1408,"Include",50
"KL2012_e4","KL2012_e4_1",1,4,1411,"Include",51
"KL2012_e4","KL2012_e4_1",0,4,1440,"Include",52
"KL2012_e4","KL2012_e4_1",0,4,1090,"Include",53
"KL2012_e4","KL2012_e4_1",1,2,1014,"Include",54
"KL2012_e4","KL2012_e4_1",1,2,896,"Include",55
"KL2012_e4","KL2012_e4_1",1,1,1078,"Include",56
"KL2012_e4","KL2012_e4_1",1,5,1286,"Include",57
"KL2012_e4","KL2012_e4_1",0,1,957,"Include",58
"KL2012_e4","KL2012_e4_1",0,1,1112,"Include",59
"KL2012_e4","KL2012_e4_1",0,2,3512,"Include",60
"KL2012_e4","KL2012_e4_1",0,2,984,"Include",61
"KL2012_e4","KL2012_e4_1",1,4,1060,"Include",62
"KL2012_e4","KL2012_e4_1",1,6,1090,"Include",63
"KL2012_e4","KL2012_e4_1",1,2,1599,"Include",64
"KL2012_e4","KL2012_e4_1",1,6,1186,"Include",65
"KL2012_e4","KL2012_e4_1",1,5,1506,"Include",66
"KL2012_e4","KL2012_e4_1",1,2,1025,"Include",67
"KL2012_e4","KL2012_e4_1",1,2,945,"Include",68
"KL2012_e4","KL2012_e4_1",1,2,897,"Include",69
"KL2012_e4","KL2012_e4_1",0,3,1206,"Include",70
"KL2012_e4","KL2012_e4_1",0,4,2145,"Include",71
"KL2012_e4","KL2012_e4_1",0,1,917,"Include",72
"KL2012_e4","KL2012_e4_1",0,3,1112,"Include",73
"KL2012_e4","KL2012_e4_1",1,2,1072,"Include",74
"KL2012_e4","KL2012_e4_1",1,1,2879,"Include",75
"KL2012_e4","KL2012_e4_1",0,2,1113,"Include",76
"KL2012_e4","KL2012_e4_1",0,2,905,"Include",77
"KL2012_e4","KL2012_e4_1",1,6,1129,"Include",78
"KL2012_e4","KL2012_e4_1",1,2,1606,"Include",79
"KL2012_e4","KL2012_e4_1",1,1,949,"Include",80
"KL2012_e4","KL2012_e4_1",1,3,1126,"Include",81
"KL2012_e4","KL2012_e4_1",0,2,896,"Include",82
"KL2012_e4","KL2012_e4_1",0,2,1030,"Include",83
"KL2012_e4","KL2012_e4_1",1,2,1157,"Include",84
"KL2012_e4","KL2012_e4_1",0,2,904,"Include",85
"KL2012_e4","KL2012_e4_1",1,2,856,"Include",86
"KL2012_e4","KL2012_e4_1",1,3,1669,"Include",87
