"exp","id","item","isold","rating","RT","excluding","trial"
"KUO2017_e2","KUO2017_e2_1","shipment",0,1,3306,"Include",1
"KUO2017_e2","KUO2017_e2_1","universe",1,6,986,"Include",2
"KUO2017_e2","KUO2017_e2_1","depth",0,4,1291,"Include",3
"KUO2017_e2","KUO2017_e2_1","laurel",1,6,1187,"Include",4
"KUO2017_e2","KUO2017_e2_1","philosophy",0,5,1219,"Include",5
"KUO2017_e2","KUO2017_e2_1","funeral",1,5,1131,"Include",6
"KUO2017_e2","KUO2017_e2_1","background",1,4,1515,"Include",7
"KUO2017_e2","KUO2017_e2_1","capacity",1,5,1067,"Include",8
"KUO2017_e2","KUO2017_e2_1","timber",1,6,834,"Include",9
"KUO2017_e2","KUO2017_e2_1","fibre",0,4,1587,"Include",10
"KUO2017_e2","KUO2017_e2_1","minority",0,5,1027,"Include",11
"KUO2017_e2","KUO2017_e2_1","transportation",1,6,1930,"Include",12
"KUO2017_e2","KUO2017_e2_1","instinct",0,4,995,"Include",13
"KUO2017_e2","KUO2017_e2_1","construction",0,5,794,"Include",14
"KUO2017_e2","KUO2017_e2_1","flight",1,4,962,"Include",15
"KUO2017_e2","KUO2017_e2_1","clergy",0,3,1122,"Include",16
"KUO2017_e2","KUO2017_e2_1","overlap",0,2,1074,"Include",17
"KUO2017_e2","KUO2017_e2_1","crypt",0,2,986,"Include",18
"KUO2017_e2","KUO2017_e2_1","inclusion",0,3,1922,"Include",19
"KUO2017_e2","KUO2017_e2_1","genie",1,5,1083,"Include",20
"KUO2017_e2","KUO2017_e2_1","tolerance",1,2,1131,"Include",21
"KUO2017_e2","KUO2017_e2_1","chaos",0,3,1954,"Include",22
"KUO2017_e2","KUO2017_e2_1","dinosaur",1,3,1603,"Include",23
"KUO2017_e2","KUO2017_e2_1","episode",1,3,811,"Include",24
"KUO2017_e2","KUO2017_e2_1","disability",0,2,1555,"Include",25
"KUO2017_e2","KUO2017_e2_1","cricket",1,3,883,"Include",26
"KUO2017_e2","KUO2017_e2_1","observation",1,6,987,"Include",27
"KUO2017_e2","KUO2017_e2_1","virus",0,1,1763,"Include",28
"KUO2017_e2","KUO2017_e2_1","turkey",1,6,1388,"Include",29
"KUO2017_e2","KUO2017_e2_1","phantom",0,3,1043,"Include",30
"KUO2017_e2","KUO2017_e2_1","sea",0,1,1187,"Include",31
"KUO2017_e2","KUO2017_e2_1","watt",1,6,1107,"Include",32
