"exp","id","item","isold","rating","RT","excluding","trial"
"KY2011_e1","KY2011_e1_2","RESPONSE",0,6,1619,"Include",1
"KY2011_e1","KY2011_e1_2","OUTCOME",1,6,2804,"Include",2
"KY2011_e1","KY2011_e1_2","BEAUTY",0,1,1312,"Include",3
"KY2011_e1","KY2011_e1_2","BUREAU",1,6,1166,"Include",4
"KY2011_e1","KY2011_e1_2","PRESENTS",0,1,2787,"Include",5
"KY2011_e1","KY2011_e1_2","RHYTHM",0,2,4537,"Include",6
"KY2011_e1","KY2011_e1_2","LISTENERS",0,6,1764,"Include",7
"KY2011_e1","KY2011_e1_2","MOVEMENTS",1,6,1439,"Include",8
"KY2011_e1","KY2011_e1_2","NOISE",0,1,1306,"Include",9
"KY2011_e1","KY2011_e1_2","POVERTY",1,3,1431,"Include",10
"KY2011_e1","KY2011_e1_2","TONS",1,6,1050,"Include",11
"KY2011_e1","KY2011_e1_2","SHIRT",0,6,3067,"Include",12
"KY2011_e1","KY2011_e1_2","TUBE",0,1,1080,"Include",13
"KY2011_e1","KY2011_e1_2","COMPOSER",0,1,2039,"Include",14
"KY2011_e1","KY2011_e1_2","VOTERS",1,6,1321,"Include",15
"KY2011_e1","KY2011_e1_2","AXIS",1,6,917,"Include",16
"KY2011_e1","KY2011_e1_2","TRACTOR",0,1,1103,"Include",17
"KY2011_e1","KY2011_e1_2","SALARY",1,6,968,"Include",18
"KY2011_e1","KY2011_e1_2","RELATION",0,1,1014,"Include",19
"KY2011_e1","KY2011_e1_2","HOSPITALS",0,1,1448,"Include",20
"KY2011_e1","KY2011_e1_2","PRESTIGE",1,6,941,"Include",21
"KY2011_e1","KY2011_e1_2","OBSERVERS",1,6,1231,"Include",22
"KY2011_e1","KY2011_e1_2","BEHALF",0,6,791,"Include",23
"KY2011_e1","KY2011_e1_2","TALENT",1,1,2340,"Include",24
"KY2011_e1","KY2011_e1_2","TREATY",1,6,1019,"Include",25
"KY2011_e1","KY2011_e1_2","MILLIONS",1,6,850,"Include",26
"KY2011_e1","KY2011_e1_2","RANCH",0,1,960,"Include",27
"KY2011_e1","KY2011_e1_2","REALITY",0,3,1681,"Include",28
"KY2011_e1","KY2011_e1_2","TRIBUTE",1,6,1015,"Include",29
"KY2011_e1","KY2011_e1_2","MANTLE",1,6,989,"Include",30
"KY2011_e1","KY2011_e1_2","DIRT",1,1,1182,"Include",31
"KY2011_e1","KY2011_e1_2","FACTS",0,2,2031,"Include",32
"KY2011_e1","KY2011_e1_2","WIVES",0,2,2379,"Include",33
"KY2011_e1","KY2011_e1_2","GOODS",1,6,1586,"Include",34
"KY2011_e1","KY2011_e1_2","WEALTH",0,1,2976,"Include",35
"KY2011_e1","KY2011_e1_2","COMMERCE",1,6,908,"Include",36
"KY2011_e1","KY2011_e1_2","DILEMMA",0,1,2419,"Include",37
"KY2011_e1","KY2011_e1_2","PRODUCT",1,6,803,"Include",38
"KY2011_e1","KY2011_e1_2","VEIN",1,6,683,"Include",39
"KY2011_e1","KY2011_e1_2","NEIGHBORS",1,6,662,"Include",40
"KY2011_e1","KY2011_e1_2","MEAT",0,1,1117,"Include",41
"KY2011_e1","KY2011_e1_2","VICE",0,1,1173,"Include",42
"KY2011_e1","KY2011_e1_2","BEHAVIOR",1,6,686,"Include",43
"KY2011_e1","KY2011_e1_2","WARMTH",0,1,960,"Include",44
"KY2011_e1","KY2011_e1_2","VISITORS",1,6,1027,"Include",45
"KY2011_e1","KY2011_e1_2","PUPIL",1,6,711,"Include",46
"KY2011_e1","KY2011_e1_2","PROTEIN",1,1,1540,"Include",47
"KY2011_e1","KY2011_e1_2","LOTS",0,6,1228,"Include",48
"KY2011_e1","KY2011_e1_2","INNOCENCE",0,3,3159,"Include",49
"KY2011_e1","KY2011_e1_2","MATURITY",1,4,1524,"Include",50
"KY2011_e1","KY2011_e1_2","PROJECT",1,6,1451,"Include",51
"KY2011_e1","KY2011_e1_2","DIFFUSION",1,6,1540,"Include",52
"KY2011_e1","KY2011_e1_2","ACTIONS",0,5,1712,"Include",53
"KY2011_e1","KY2011_e1_2","CAPE",0,1,1467,"Include",54
"KY2011_e1","KY2011_e1_2","WRITER",0,6,795,"Include",55
"KY2011_e1","KY2011_e1_2","EMERGENCY",0,2,1260,"Include",56
"KY2011_e1","KY2011_e1_2","HORIZON",1,2,1288,"Include",57
"KY2011_e1","KY2011_e1_2","BEACH",1,6,826,"Include",58
"KY2011_e1","KY2011_e1_2","PASSION",0,6,1177,"Include",59
"KY2011_e1","KY2011_e1_2","CRYSTAL",1,6,801,"Include",60
"KY2011_e1","KY2011_e1_2","FLIGHT",1,6,987,"Include",61
"KY2011_e1","KY2011_e1_2","BULLET",1,6,777,"Include",62
"KY2011_e1","KY2011_e1_2","PROVISION",0,2,1919,"Include",63
"KY2011_e1","KY2011_e1_2","ARRIVAL",0,2,1386,"Include",64
"KY2011_e1","KY2011_e1_2","CONCERT",1,6,988,"Include",65
"KY2011_e1","KY2011_e1_2","HARMONY",1,1,1254,"Include",66
"KY2011_e1","KY2011_e1_2","TREND",0,6,746,"Include",67
"KY2011_e1","KY2011_e1_2","LEAGUE",1,6,1118,"Include",68
"KY2011_e1","KY2011_e1_2","VILLAGE",1,6,699,"Include",69
"KY2011_e1","KY2011_e1_2","ARCHITECT",0,1,1768,"Include",70
"KY2011_e1","KY2011_e1_2","CERTAINTY",0,6,2598,"Include",71
"KY2011_e1","KY2011_e1_2","ABILITY",1,6,708,"Include",72
"KY2011_e1","KY2011_e1_2","ENTRANCE",0,6,1008,"Include",73
"KY2011_e1","KY2011_e1_2","CRIME",1,6,1269,"Include",74
"KY2011_e1","KY2011_e1_2","PHYSICS",0,1,1320,"Include",75
"KY2011_e1","KY2011_e1_2","HAPPINESS",0,1,831,"Include",76
"KY2011_e1","KY2011_e1_2","STYLE",0,1,1164,"Include",77
"KY2011_e1","KY2011_e1_2","SUPREME",0,1,952,"Include",78
"KY2011_e1","KY2011_e1_2","OPERATOR",0,6,853,"Include",79
"KY2011_e1","KY2011_e1_2","INSTANCE",1,1,1717,"Include",80
"KY2011_e1","KY2011_e1_2","SOLUTION",0,6,798,"Include",81
"KY2011_e1","KY2011_e1_2","CREATION",0,6,945,"Include",82
"KY2011_e1","KY2011_e1_2","SEWAGE",0,1,1115,"Include",83
"KY2011_e1","KY2011_e1_2","GLORY",1,6,772,"Include",84
"KY2011_e1","KY2011_e1_2","VERSE",0,1,1694,"Include",85
"KY2011_e1","KY2011_e1_2","COLONEL",1,1,1307,"Include",86
"KY2011_e1","KY2011_e1_2","STAIRS",1,6,758,"Include",87
"KY2011_e1","KY2011_e1_2","PATIENCE",0,6,1089,"Include",88
"KY2011_e1","KY2011_e1_2","FOOTBALL",1,6,671,"Include",89
"KY2011_e1","KY2011_e1_2","CITIZEN",1,6,653,"Include",90
"KY2011_e1","KY2011_e1_2","PRAYER",1,6,944,"Include",91
"KY2011_e1","KY2011_e1_2","EDITION",1,6,795,"Include",92
"KY2011_e1","KY2011_e1_2","HONEY",0,1,762,"Include",93
"KY2011_e1","KY2011_e1_2","PHENOMENA",0,1,1037,"Include",94
"KY2011_e1","KY2011_e1_2","APPARATUS",1,1,956,"Include",95
"KY2011_e1","KY2011_e1_2","FOREST",0,1,1455,"Include",96
"KY2011_e1","KY2011_e1_2","BREAD",1,1,1097,"Include",97
"KY2011_e1","KY2011_e1_2","DRIVER",1,1,1628,"Include",98
"KY2011_e1","KY2011_e1_2","BENCH",1,6,1666,"Include",99
"KY2011_e1","KY2011_e1_2","ROOF",1,6,806,"Include",100
"KY2011_e1","KY2011_e1_2","DISEASE",1,6,912,"Include",101
"KY2011_e1","KY2011_e1_2","ABSENCE",0,6,1365,"Include",102
"KY2011_e1","KY2011_e1_2","CHAPEL",0,6,989,"Include",103
"KY2011_e1","KY2011_e1_2","FRACTION",0,6,1294,"Include",104
"KY2011_e1","KY2011_e1_2","JUDGMENT",1,1,1003,"Include",105
"KY2011_e1","KY2011_e1_2","MASON",1,6,682,"Include",106
"KY2011_e1","KY2011_e1_2","EXCEPTION",0,1,2951,"Include",107
"KY2011_e1","KY2011_e1_2","EXCUSE",1,6,1263,"Include",108
"KY2011_e1","KY2011_e1_2","MISSILE",1,6,1364,"Include",109
"KY2011_e1","KY2011_e1_2","ATTORNEY",0,6,1065,"Include",110
"KY2011_e1","KY2011_e1_2","SECRETS",0,6,1548,"Include",111
"KY2011_e1","KY2011_e1_2","PROMOTION",0,5,2469,"Include",112
"KY2011_e1","KY2011_e1_2","MAYOR",1,4,3849,"Include",113
"KY2011_e1","KY2011_e1_2","DISK",1,6,1047,"Include",114
"KY2011_e1","KY2011_e1_2","NOTION",1,6,1206,"Include",115
"KY2011_e1","KY2011_e1_2","CLERK",0,6,1699,"Include",116
"KY2011_e1","KY2011_e1_2","DEPTH",0,2,2334,"Include",117
"KY2011_e1","KY2011_e1_2","NOVEL",0,6,1425,"Include",118
"KY2011_e1","KY2011_e1_2","INSIGHT",0,2,2185,"Include",119
"KY2011_e1","KY2011_e1_2","CONTRAST",0,6,5122,"Include",120
"KY2011_e1","KY2011_e1_2","TREASURY",0,6,1222,"Include",121
"KY2011_e1","KY2011_e1_2","ARTIST",0,6,1052,"Include",122
"KY2011_e1","KY2011_e1_2","TEACHER",1,6,696,"Include",123
"KY2011_e1","KY2011_e1_2","TRUSTEES",1,6,1245,"Include",124
"KY2011_e1","KY2011_e1_2","DENSITY",0,1,952,"Include",125
"KY2011_e1","KY2011_e1_2","JAZZ",1,6,786,"Include",126
"KY2011_e1","KY2011_e1_2","ANGELS",1,6,1460,"Include",127
"KY2011_e1","KY2011_e1_2","STRATEGY",0,1,797,"Include",128
"KY2011_e1","KY2011_e1_2","OXIDATION",1,6,898,"Include",129
"KY2011_e1","KY2011_e1_2","BIRTH",0,1,1017,"Include",130
"KY2011_e1","KY2011_e1_2","NERVES",0,1,991,"Include",131
"KY2011_e1","KY2011_e1_2","IMPULSE",1,6,891,"Include",132
"KY2011_e1","KY2011_e1_2","TISSUE",1,1,961,"Include",133
"KY2011_e1","KY2011_e1_2","PERMIT",1,1,1164,"Include",134
"KY2011_e1","KY2011_e1_2","VALLEY",0,1,738,"Include",135
"KY2011_e1","KY2011_e1_2","VIOLENCE",1,6,861,"Include",136
"KY2011_e1","KY2011_e1_2","YARD",0,6,1064,"Include",137
"KY2011_e1","KY2011_e1_2","MOVIE",1,6,1119,"Include",138
"KY2011_e1","KY2011_e1_2","WEEKEND",0,1,847,"Include",139
"KY2011_e1","KY2011_e1_2","CORN",1,6,754,"Include",140
"KY2011_e1","KY2011_e1_2","DECADE",0,1,1044,"Include",141
"KY2011_e1","KY2011_e1_2","GOVERNOR",0,1,1956,"Include",142
"KY2011_e1","KY2011_e1_2","BEDROOM",1,6,749,"Include",143
"KY2011_e1","KY2011_e1_2","ADDRESS",0,6,643,"Include",144
"KY2011_e1","KY2011_e1_2","BASEMENT",1,6,730,"Include",145
"KY2011_e1","KY2011_e1_2","TACTICS",1,6,826,"Include",146
"KY2011_e1","KY2011_e1_2","DEMOCRACY",0,1,898,"Include",147
"KY2011_e1","KY2011_e1_2","EQUATION",1,6,1233,"Include",148
"KY2011_e1","KY2011_e1_2","TREE",0,6,1653,"Include",149
"KY2011_e1","KY2011_e1_2","QUEEN",0,6,1042,"Include",150
"KY2011_e1","KY2011_e1_2","PAINTER",0,1,1064,"Include",151
"KY2011_e1","KY2011_e1_2","RADIATION",0,6,1033,"Include",152
"KY2011_e1","KY2011_e1_2","BREATH",1,1,879,"Include",153
"KY2011_e1","KY2011_e1_2","THEME",1,6,911,"Include",154
"KY2011_e1","KY2011_e1_2","MESSAGE",0,1,1412,"Include",155
"KY2011_e1","KY2011_e1_2","RECORDS",0,1,2302,"Include",156
"KY2011_e1","KY2011_e1_2","MONUMENT",0,1,1566,"Include",157
"KY2011_e1","KY2011_e1_2","SUBMARINE",0,1,1644,"Include",158
"KY2011_e1","KY2011_e1_2","SCHOLARS",0,1,1369,"Include",159
"KY2011_e1","KY2011_e1_2","INCREASES",0,1,1374,"Include",160
"KY2011_e1","KY2011_e1_2","VEHICLE",1,6,945,"Include",161
"KY2011_e1","KY2011_e1_2","SALE",0,6,2809,"Include",162
"KY2011_e1","KY2011_e1_2","MARSHALL",0,6,982,"Include",163
"KY2011_e1","KY2011_e1_2","ENVELOPE",1,1,4559,"Include",164
"KY2011_e1","KY2011_e1_2","LIBRARY",1,6,802,"Include",165
"KY2011_e1","KY2011_e1_2","FINDINGS",1,6,1691,"Include",166
"KY2011_e1","KY2011_e1_2","SPECIMEN",0,1,1184,"Include",167
"KY2011_e1","KY2011_e1_2","SESSION",1,6,974,"Include",168
"KY2011_e1","KY2011_e1_2","STILE",0,6,837,"Include",169
"KY2011_e1","KY2011_e1_2","FORMULA",1,6,700,"Include",170
"KY2011_e1","KY2011_e1_2","GUEST",1,6,764,"Include",171
"KY2011_e1","KY2011_e1_2","WEAPON",1,6,910,"Include",172
"KY2011_e1","KY2011_e1_2","GIANTS",0,1,1093,"Include",173
"KY2011_e1","KY2011_e1_2","BUILDER",1,1,1103,"Include",174
"KY2011_e1","KY2011_e1_2","JUNIORS",0,1,1247,"Include",175
"KY2011_e1","KY2011_e1_2","SOCIETIES",1,1,1065,"Include",176
"KY2011_e1","KY2011_e1_2","ANODE",1,6,1423,"Include",177
"KY2011_e1","KY2011_e1_2","DUTY",0,1,1999,"Include",178
"KY2011_e1","KY2011_e1_2","GENTLEMAN",1,6,1244,"Include",179
"KY2011_e1","KY2011_e1_2","TECHNIQUE",1,6,933,"Include",180
