"exp","id","item","trial","isold","condition1","rating","RT","excluding"
"LM2020_e1","LM2020_e1_101","MS077.png",1,1,"StimDots",7,1816,"Include"
"LM2020_e1","LM2020_e1_101","MS083.png",2,1,"StimDots",7,1109,"Include"
"LM2020_e1","LM2020_e1_101","MS107.png",3,1,"StimDots",6,1332,"Include"
"LM2020_e1","LM2020_e1_101","MS160.png",4,0,"StimDots",3,1578,"Include"
"LM2020_e1","LM2020_e1_101","MS015.png",5,1,"StimDots",7,1457,"Include"
"LM2020_e1","LM2020_e1_101","MS047.png",6,0,"StimDots",4,2632,"Include"
"LM2020_e1","LM2020_e1_101","MS059.png",7,0,"StimDots",6,1507,"Include"
"LM2020_e1","LM2020_e1_101","MS048.png",8,0,"StimDots",6,2589,"Include"
"LM2020_e1","LM2020_e1_101","MS175.png",9,0,"StimDots",1,1613,"Include"
"LM2020_e1","LM2020_e1_101","MS124.png",10,1,"StimDots",6,1246,"Include"
"LM2020_e1","LM2020_e1_101","MS156.png",11,0,"StimDots",4,2242,"Include"
"LM2020_e1","LM2020_e1_101","MS177.png",12,0,"StimDots",6,1886,"Include"
"LM2020_e1","LM2020_e1_101","MS046.png",13,0,"StimDots",1,1316,"Include"
"LM2020_e1","LM2020_e1_101","MS017.png",14,1,"StimDots",6,1984,"Include"
"LM2020_e1","LM2020_e1_101","MS135.png",15,0,"StimDots",7,1222,"Include"
"LM2020_e1","LM2020_e1_101","MS146.png",16,1,"StimDots",7,1175,"Include"
"LM2020_e1","LM2020_e1_101","MS053.png",17,0,"StimDots",1,1351,"Include"
"LM2020_e1","LM2020_e1_101","MS180.png",18,0,"StimDots",4,1511,"Include"
"LM2020_e1","LM2020_e1_101","MS018.png",19,0,"StimDots",2,2550,"Include"
"LM2020_e1","LM2020_e1_101","MS030.png",20,0,"StimDots",4,2320,"Include"
"LM2020_e1","LM2020_e1_101","MS104.png",21,0,"StimDots",6,2101,"Include"
"LM2020_e1","LM2020_e1_101","MS101.png",22,1,"StimDots",7,2726,"Include"
"LM2020_e1","LM2020_e1_101","MS040.png",23,0,"StimDots",4,1019,"Include"
"LM2020_e1","LM2020_e1_101","MS147.png",24,1,"StimDots",7,2140,"Include"
"LM2020_e1","LM2020_e1_101","MS140.png",25,1,"StimDots",1,1351,"Include"
"LM2020_e1","LM2020_e1_101","MS084.png",26,0,"StimDots",1,1335,"Include"
"LM2020_e1","LM2020_e1_101","MS144.png",27,1,"StimDots",5,1175,"Include"
"LM2020_e1","LM2020_e1_101","MS082.png",28,1,"StimDots",1,2734,"Include"
"LM2020_e1","LM2020_e1_101","MS088.png",29,1,"StimDots",2,4093,"Include"
"LM2020_e1","LM2020_e1_101","MS132.png",30,0,"StimDots",1,2871,"Include"
"LM2020_e1","LM2020_e1_101","MS054.png",31,0,"StimDots",5,2417,"Include"
"LM2020_e1","LM2020_e1_101","MS118.png",32,0,"StimDots",7,2062,"Include"
