"exp","id","isold","condition1","rating","excluding"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",1,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",3,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",3,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",3,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",3,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",3,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",3,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",3,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",3,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",4,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",4,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",4,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",4,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",4,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",4,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",4,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",5,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",5,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",5,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",5,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",5,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",5,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",5,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",5,"Include"
"LP2006_e2","LP2006_e2_1",0,"StudyIntactTestAnagram",6,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",1,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",1,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",1,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",3,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",3,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",3,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",3,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",3,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",3,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",3,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",3,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",3,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",3,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",3,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",3,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",4,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",4,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",4,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",4,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",4,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",4,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",4,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",4,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",4,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",4,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",5,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",5,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",5,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",5,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",6,"Include"
"LP2006_e2","LP2006_e2_2",0,"StudyIntactTestAnagram",6,"Include"
"LP2006_e2","LP2006_e2_3",0,"StudyIntactTestAnagram",1,"Include"
"LP2006_e2","LP2006_e2_3",0,"StudyIntactTestAnagram",1,"Include"
"LP2006_e2","LP2006_e2_3",0,"StudyIntactTestAnagram",1,"Include"
"LP2006_e2","LP2006_e2_3",0,"StudyIntactTestAnagram",1,"Include"
"LP2006_e2","LP2006_e2_3",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_3",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_3",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_3",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_3",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_3",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_3",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_3",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_3",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_3",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_3",0,"StudyIntactTestAnagram",2,"Include"
"LP2006_e2","LP2006_e2_3",0,"StudyIntactTestAnagram",2,"Include"
