"exp","id","item","trial","isold","condition1","rating","RT","excluding"
"LP2013_e1","LP2013_e1_1","much",1,1,"Normal",4,613,"Include"
"LP2013_e1","LP2013_e1_1","hoop",2,1,"Normal",3,1644,"Include"
"LP2013_e1","LP2013_e1_1","lead",3,1,"Normal",3,1366,"Include"
"LP2013_e1","LP2013_e1_1","tread",4,0,"Normal",2,1172,"Include"
"LP2013_e1","LP2013_e1_1","skinny",5,0,"Normal",2,1085,"Include"
"LP2013_e1","LP2013_e1_1","belt",6,1,"Normal",2,1024,"Include"
"LP2013_e1","LP2013_e1_1","advert",7,1,"Normal",4,1945,"Include"
"LP2013_e1","LP2013_e1_1","nook",8,1,"Normal",4,1769,"Include"
"LP2013_e1","LP2013_e1_1","tale",9,0,"Normal",4,735,"Include"
"LP2013_e1","LP2013_e1_1","drag",10,0,"Normal",4,2243,"Include"
"LP2013_e1","LP2013_e1_1","bade",11,1,"Normal",3,1300,"Include"
"LP2013_e1","LP2013_e1_1","sick",12,0,"Normal",2,1454,"Include"
"LP2013_e1","LP2013_e1_1","pious",13,0,"Normal",2,1030,"Include"
"LP2013_e1","LP2013_e1_1","kip",14,1,"Normal",4,1064,"Include"
"LP2013_e1","LP2013_e1_1","hook",15,0,"Normal",4,754,"Include"
"LP2013_e1","LP2013_e1_1","latex",16,1,"Normal",2,918,"Include"
"LP2013_e1","LP2013_e1_1","reveal",17,0,"Normal",2,1445,"Include"
"LP2013_e1","LP2013_e1_1","jab",18,0,"Normal",4,1179,"Include"
"LP2013_e1","LP2013_e1_1","hock",19,0,"Normal",3,817,"Include"
"LP2013_e1","LP2013_e1_1","oomph",20,0,"Normal",1,1014,"Include"
"LP2013_e1","LP2013_e1_1","con",21,0,"Normal",4,1006,"Include"
"LP2013_e1","LP2013_e1_1","noisy",22,1,"Normal",2,927,"Include"
"LP2013_e1","LP2013_e1_1","finch",23,0,"Normal",1,1436,"Include"
"LP2013_e1","LP2013_e1_1","beat",24,1,"Normal",4,1338,"Include"
"LP2013_e1","LP2013_e1_1","pinon",25,1,"Normal",3,1574,"Include"
"LP2013_e1","LP2013_e1_1","agree",26,1,"Normal",3,1511,"Include"
"LP2013_e1","LP2013_e1_1","mission",27,1,"Normal",1,1588,"Include"
"LP2013_e1","LP2013_e1_1","cup",28,0,"Normal",2,1725,"Include"
"LP2013_e1","LP2013_e1_1","barge",29,0,"Normal",2,979,"Include"
"LP2013_e1","LP2013_e1_1","wage",30,1,"Normal",4,850,"Include"
"LP2013_e1","LP2013_e1_1","mopy",31,0,"Normal",4,1519,"Include"
"LP2013_e1","LP2013_e1_1","choosy",32,1,"Normal",2,1061,"Include"
"LP2013_e1","LP2013_e1_1","spiky",33,0,"Normal",1,965,"Include"
"LP2013_e1","LP2013_e1_1","bled",34,0,"Normal",2,519,"Include"
"LP2013_e1","LP2013_e1_1","sun",35,1,"Normal",4,1275,"Include"
"LP2013_e1","LP2013_e1_1","ravage",36,1,"Normal",4,2066,"Include"
"LP2013_e1","LP2013_e1_1","weave",37,1,"Normal",2,2453,"Include"
"LP2013_e1","LP2013_e1_1","avert",38,0,"Normal",2,1559,"Include"
"LP2013_e1","LP2013_e1_1","blazer",39,0,"Normal",1,1812,"Include"
"LP2013_e1","LP2013_e1_1","huck",40,1,"Normal",4,1484,"Include"
"LP2013_e1","LP2013_e1_1","nun",41,0,"Normal",4,1042,"Include"
"LP2013_e1","LP2013_e1_1","cumin",42,1,"Normal",2,895,"Include"
"LP2013_e1","LP2013_e1_1","wale",43,1,"Normal",4,812,"Include"
"LP2013_e1","LP2013_e1_1","spicy",44,0,"Normal",1,2112,"Include"
"LP2013_e1","LP2013_e1_1","smock",45,0,"Normal",2,1562,"Include"
"LP2013_e1","LP2013_e1_1","area",46,0,"Normal",4,863,"Include"
"LP2013_e1","LP2013_e1_1","glad",47,1,"Normal",3,2091,"Include"
"LP2013_e1","LP2013_e1_1","quin",48,1,"Normal",2,1460,"Include"
"LP2013_e1","LP2013_e1_1","daze",49,1,"Normal",3,551,"Include"
"LP2013_e1","LP2013_e1_1","mooch",50,1,"Normal",2,1322,"Include"
"LP2013_e1","LP2013_e1_1","waltz",51,0,"Normal",4,809,"Include"
"LP2013_e1","LP2013_e1_1","exert",52,1,"Normal",2,1365,"Include"
"LP2013_e1","LP2013_e1_1","dwelt",53,0,"Normal",1,1802,"Include"
"LP2013_e1","LP2013_e1_1","sup",54,1,"Normal",4,854,"Include"
"LP2013_e1","LP2013_e1_1","suck",55,1,"Normal",4,713,"Include"
"LP2013_e1","LP2013_e1_1","beg",56,1,"Normal",2,878,"Include"
"LP2013_e1","LP2013_e1_1","rat",57,1,"Normal",4,1118,"Include"
"LP2013_e1","LP2013_e1_1","zeal",58,1,"Normal",3,854,"Include"
"LP2013_e1","LP2013_e1_1","skim",59,1,"Normal",2,1313,"Include"
"LP2013_e1","LP2013_e1_1","ware",60,0,"Normal",4,582,"Include"
"LP2013_e1","LP2013_e1_1","beret",61,1,"Normal",1,1658,"Include"
"LP2013_e1","LP2013_e1_1","impish",62,1,"Normal",4,1058,"Include"
"LP2013_e1","LP2013_e1_1","ale",63,1,"Normal",2,928,"Include"
"LP2013_e1","LP2013_e1_1","ledger",64,0,"Normal",1,1238,"Include"
"LP2013_e1","LP2013_e1_1","hymn",65,1,"Normal",4,937,"Include"
"LP2013_e1","LP2013_e1_1","war",66,1,"Normal",4,1097,"Include"
"LP2013_e1","LP2013_e1_1","piss",67,1,"Normal",2,2062,"Include"
"LP2013_e1","LP2013_e1_1","onus",68,1,"Normal",3,1671,"Include"
"LP2013_e1","LP2013_e1_1","elder",69,1,"Normal",2,1274,"Include"
"LP2013_e1","LP2013_e1_1","bale",70,0,"Normal",4,616,"Include"
"LP2013_e1","LP2013_e1_1","you",71,1,"Normal",3,355,"Include"
"LP2013_e1","LP2013_e1_1","art",72,0,"Normal",4,622,"Include"
"LP2013_e1","LP2013_e1_1","jade",73,1,"Normal",4,1448,"Include"
"LP2013_e1","LP2013_e1_1","posy",74,1,"Normal",2,1017,"Include"
"LP2013_e1","LP2013_e1_1","chin",75,0,"Normal",4,620,"Include"
"LP2013_e1","LP2013_e1_1","sic",76,0,"Normal",3,945,"Include"
"LP2013_e1","LP2013_e1_1","jar",77,0,"Normal",3,902,"Include"
"LP2013_e1","LP2013_e1_1","mum",78,0,"Normal",2,669,"Include"
"LP2013_e1","LP2013_e1_1","cony",79,1,"Normal",2,573,"Include"
"LP2013_e1","LP2013_e1_1","brave",80,1,"Normal",3,893,"Include"
"LP2013_e1","LP2013_e1_1","lab",81,0,"Normal",4,569,"Include"
"LP2013_e1","LP2013_e1_1","piny",82,1,"Normal",3,526,"Include"
"LP2013_e1","LP2013_e1_1","mom",83,1,"Normal",3,646,"Include"
"LP2013_e1","LP2013_e1_1","reel",84,0,"Normal",2,534,"Include"
"LP2013_e1","LP2013_e1_1","nymph",85,1,"Normal",2,716,"Include"
"LP2013_e1","LP2013_e1_1","chip",86,0,"Normal",4,695,"Include"
"LP2013_e1","LP2013_e1_1","ravel",87,1,"Normal",2,1462,"Include"
"LP2013_e1","LP2013_e1_1","leave",88,0,"Normal",3,841,"Include"
"LP2013_e1","LP2013_e1_1","beet",89,0,"Normal",2,1211,"Include"
"LP2013_e1","LP2013_e1_1","poppy",90,0,"Normal",3,493,"Include"
"LP2013_e1","LP2013_e1_1","eel",91,0,"Normal",2,762,"Include"
"LP2013_e1","LP2013_e1_1","rave",92,0,"Normal",4,567,"Include"
"LP2013_e1","LP2013_e1_1","evade",93,1,"Normal",3,354,"Include"
"LP2013_e1","LP2013_e1_1","spy",94,1,"Normal",2,2931,"Include"
"LP2013_e1","LP2013_e1_1","rate",95,0,"Normal",4,535,"Include"
"LP2013_e1","LP2013_e1_1","brew",96,1,"Normal",4,592,"Include"
"LP2013_e1","LP2013_e1_1","bet",97,0,"Normal",4,567,"Include"
"LP2013_e1","LP2013_e1_1","era",98,1,"Normal",3,768,"Include"
"LP2013_e1","LP2013_e1_1","ossify",99,0,"Normal",1,1492,"Include"
"LP2013_e1","LP2013_e1_1","focus",100,1,"Normal",2,563,"Include"
"LP2013_e1","LP2013_e1_1","earl",101,1,"Normal",3,489,"Include"
"LP2013_e1","LP2013_e1_1","led",102,1,"Normal",4,660,"Include"
"LP2013_e1","LP2013_e1_1","icon",103,1,"Normal",3,544,"Include"
"LP2013_e1","LP2013_e1_1","ship",104,0,"Normal",2,663,"Include"
"LP2013_e1","LP2013_e1_1","poncho",105,0,"Normal",4,539,"Include"
"LP2013_e1","LP2013_e1_1","tag",106,0,"Normal",4,727,"Include"
"LP2013_e1","LP2013_e1_1","cusp",107,1,"Normal",2,914,"Include"
"LP2013_e1","LP2013_e1_1","water",108,1,"Normal",1,1271,"Include"
"LP2013_e1","LP2013_e1_1","pony",109,0,"Normal",2,679,"Include"
"LP2013_e1","LP2013_e1_1","union",110,0,"Normal",3,648,"Include"
"LP2013_e1","LP2013_e1_1","funk",111,0,"Normal",4,665,"Include"
"LP2013_e1","LP2013_e1_1","grade",112,0,"Normal",2,713,"Include"
"LP2013_e1","LP2013_e1_1","greed",113,0,"Normal",3,777,"Include"
