"exp","id","item","trial","isold","condition1","rating","excluding"
"MKG2018_e2","MKG2018_e2_1","TOAD",1,1,"Rep3",1,"Include"
"MKG2018_e2","MKG2018_e2_1","PONY",2,1,"Rep1",1,"Include"
"MKG2018_e2","MKG2018_e2_1","BACON",3,0,"New",2,"Include"
"MKG2018_e2","MKG2018_e2_1","MAZE",4,0,"New",2,"Include"
"MKG2018_e2","MKG2018_e2_1","GAS",5,0,"New",1,"Include"
"MKG2018_e2","MKG2018_e2_1","SUGAR",6,0,"New",2,"Include"
"MKG2018_e2","MKG2018_e2_1","PANE",7,1,"Rep3",1,"Include"
"MKG2018_e2","MKG2018_e2_1","WEB",8,1,"Rep1",6,"Include"
"MKG2018_e2","MKG2018_e2_1","BEANS",9,0,"New",6,"Include"
"MKG2018_e2","MKG2018_e2_1","BLOOD",10,0,"New",6,"Include"
"MKG2018_e2","MKG2018_e2_1","CALF",11,1,"Rep1",1,"Include"
"MKG2018_e2","MKG2018_e2_1","MIST",12,1,"Rep3",1,"Include"
"MKG2018_e2","MKG2018_e2_1","PECAN",13,0,"New",1,"Include"
"MKG2018_e2","MKG2018_e2_1","PORTRAIT",14,1,"Rep1",6,"Include"
"MKG2018_e2","MKG2018_e2_1","STEP",15,1,"Rep1",1,"Include"
"MKG2018_e2","MKG2018_e2_1","COMEDIAN",16,0,"New",1,"Include"
"MKG2018_e2","MKG2018_e2_1","HYENA",17,0,"New",1,"Include"
"MKG2018_e2","MKG2018_e2_1","BOOK",18,0,"New",6,"Include"
"MKG2018_e2","MKG2018_e2_1","LOCK",19,1,"Rep3",6,"Include"
"MKG2018_e2","MKG2018_e2_1","PEA",20,0,"New",6,"Include"
"MKG2018_e2","MKG2018_e2_1","DIP",21,0,"New",1,"Include"
"MKG2018_e2","MKG2018_e2_1","TOE",22,1,"Rep1",6,"Include"
"MKG2018_e2","MKG2018_e2_1","BAT",23,1,"Rep1",6,"Include"
"MKG2018_e2","MKG2018_e2_1","CAP",24,1,"Rep1",6,"Include"
"MKG2018_e2","MKG2018_e2_1","LEG",25,0,"New",6,"Include"
