"exp","id","block","trial","isold","condition1","condition2","rating","RT","excluding"
"PCM2006_e1","PCM2006_e1_1",1,76,1,"young","L1",5,20437,"Include"
"PCM2006_e1","PCM2006_e1_1",1,77,1,"young","L2",6,3983,"Include"
"PCM2006_e1","PCM2006_e1_1",1,78,1,"young","L2",6,3045,"Include"
"PCM2006_e1","PCM2006_e1_1",1,79,0,"young","new",1,4803,"Include"
"PCM2006_e1","PCM2006_e1_1",1,80,0,"young","new",2,4516,"Include"
"PCM2006_e1","PCM2006_e1_1",1,81,0,"young","new",2,3179,"Include"
"PCM2006_e1","PCM2006_e1_1",1,82,1,"young","L1",6,2656,"Include"
"PCM2006_e1","PCM2006_e1_1",1,83,1,"young","L2",2,5748,"Include"
"PCM2006_e1","PCM2006_e1_1",1,84,0,"young","new",1,3339,"Include"
"PCM2006_e1","PCM2006_e1_1",1,85,1,"young","L2",6,1771,"Include"
"PCM2006_e1","PCM2006_e1_1",1,86,1,"young","L1",6,1867,"Include"
"PCM2006_e1","PCM2006_e1_1",1,87,1,"young","L2",6,980,"Include"
"PCM2006_e1","PCM2006_e1_1",1,88,0,"young","new",3,6600,"Include"
"PCM2006_e1","PCM2006_e1_1",1,89,1,"young","L2",6,2115,"Include"
"PCM2006_e1","PCM2006_e1_1",1,90,1,"young","L2",6,776,"Include"
"PCM2006_e1","PCM2006_e1_1",1,91,0,"young","new",1,2095,"Include"
"PCM2006_e1","PCM2006_e1_1",1,92,0,"young","new",1,2496,"Include"
"PCM2006_e1","PCM2006_e1_1",1,93,1,"young","L1",4,6978,"Include"
"PCM2006_e1","PCM2006_e1_1",1,94,0,"young","new",2,2674,"Include"
"PCM2006_e1","PCM2006_e1_1",1,95,1,"young","L2",1,5296,"Include"
"PCM2006_e1","PCM2006_e1_1",1,96,1,"young","L1",3,4747,"Include"
"PCM2006_e1","PCM2006_e1_1",1,97,0,"young","new",1,5729,"Include"
"PCM2006_e1","PCM2006_e1_1",1,98,1,"young","L2",2,4541,"Include"
"PCM2006_e1","PCM2006_e1_1",1,99,1,"young","L2",6,1677,"Include"
"PCM2006_e1","PCM2006_e1_1",1,100,1,"young","L2",6,1228,"Include"
"PCM2006_e1","PCM2006_e1_1",1,101,1,"young","L1",6,2080,"Include"
"PCM2006_e1","PCM2006_e1_1",1,102,0,"young","new",1,1686,"Include"
"PCM2006_e1","PCM2006_e1_1",1,103,1,"young","L2",6,1170,"Include"
"PCM2006_e1","PCM2006_e1_1",1,104,1,"young","L2",6,1681,"Include"
"PCM2006_e1","PCM2006_e1_1",1,105,1,"young","L1",3,4559,"Include"
