"exp","id","isold","condition1","rating","RT","excluding","trial"
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1567,"Include",1
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,1550,"Include",2
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",2,1250,"Include",3
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,800,"Include",4
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",5,1200,"Include",5
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1450,"Include",6
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,1000,"Include",7
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,650,"Include",8
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,1600,"Include",9
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,1100,"Include",10
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",2,750,"Include",11
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,850,"Include",12
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",2,600,"Include",13
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,867,"Include",14
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1700,"Include",15
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,2450,"Include",16
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1450,"Include",17
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,1900,"Include",18
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,1150,"Include",19
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,750,"Include",20
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1750,"Include",21
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",2,1100,"Include",22
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1900,"Include",23
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,2467,"Include",24
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",5,1250,"Include",25
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",2,900,"Include",26
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,1100,"Include",27
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,1450,"Include",28
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,1050,"Include",29
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",5,1350,"Include",30
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,2900,"Include",31
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,1334,"Include",32
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,500,"Include",33
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,600,"Include",34
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,1800,"Include",35
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,700,"Include",36
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,2000,"Include",37
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,1150,"Include",38
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,600,"Include",39
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,2150,"Include",40
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1250,"Include",41
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,967,"Include",42
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",2,550,"Include",43
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,1067,"Include",44
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,1550,"Include",45
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,700,"Include",46
