"exp","id","block","trial","isold","condition1","rating","RT","excluding"
"RS2009_e1","RS2009_e1_1",1,1,1,"LowF",6,731,"Include"
"RS2009_e1","RS2009_e1_1",1,2,0,"LowF",1,1008,"Include"
"RS2009_e1","RS2009_e1_1",1,3,1,"HighF",6,617,"Include"
"RS2009_e1","RS2009_e1_1",1,4,1,"LowF",6,556,"Include"
"RS2009_e1","RS2009_e1_1",1,5,1,"LowF",6,564,"Include"
"RS2009_e1","RS2009_e1_1",1,6,0,"LowF",6,660,"Include"
"RS2009_e1","RS2009_e1_1",1,7,1,"HighF",6,703,"Include"
"RS2009_e1","RS2009_e1_1",1,8,1,"HighF",6,590,"Include"
"RS2009_e1","RS2009_e1_1",1,9,0,"LowF",1,625,"Include"
"RS2009_e1","RS2009_e1_1",1,10,1,"HighF",5,1374,"Include"
"RS2009_e1","RS2009_e1_1",1,11,0,"LowF",6,1070,"Include"
"RS2009_e1","RS2009_e1_1",1,12,0,"LowF",1,1626,"Include"
"RS2009_e1","RS2009_e1_1",1,13,0,"HighF",2,975,"Include"
"RS2009_e1","RS2009_e1_1",1,14,1,"HighF",2,748,"Include"
"RS2009_e1","RS2009_e1_1",1,15,0,"HighF",2,800,"Include"
"RS2009_e1","RS2009_e1_1",1,16,1,"LowF",6,895,"Include"
"RS2009_e1","RS2009_e1_1",1,17,0,"HighF",1,1921,"Include"
"RS2009_e1","RS2009_e1_1",1,18,0,"HighF",2,1635,"Include"
"RS2009_e1","RS2009_e1_1",1,19,0,"HighF",2,948,"Include"
"RS2009_e1","RS2009_e1_1",1,20,1,"HighF",6,887,"Include"
"RS2009_e1","RS2009_e1_1",1,21,0,"HighF",2,947,"Include"
"RS2009_e1","RS2009_e1_1",1,22,1,"LowF",2,835,"Include"
"RS2009_e1","RS2009_e1_1",1,23,1,"HighF",6,1009,"Include"
"RS2009_e1","RS2009_e1_1",1,24,1,"LowF",2,1712,"Include"
"RS2009_e1","RS2009_e1_1",1,25,1,"HighF",6,791,"Include"
"RS2009_e1","RS2009_e1_1",1,26,0,"LowF",1,887,"Include"
"RS2009_e1","RS2009_e1_1",1,27,0,"HighF",1,765,"Include"
"RS2009_e1","RS2009_e1_1",1,28,1,"HighF",6,817,"Include"
"RS2009_e1","RS2009_e1_1",1,29,0,"LowF",1,825,"Include"
"RS2009_e1","RS2009_e1_1",1,30,1,"LowF",6,774,"Include"
"RS2009_e1","RS2009_e1_1",1,31,0,"HighF",6,660,"Include"
"RS2009_e1","RS2009_e1_1",1,32,1,"HighF",6,703,"Include"
"RS2009_e1","RS2009_e1_1",1,33,1,"HighF",6,773,"Include"
"RS2009_e1","RS2009_e1_1",1,34,1,"LowF",6,556,"Include"
"RS2009_e1","RS2009_e1_1",1,35,1,"LowF",6,1069,"Include"
"RS2009_e1","RS2009_e1_1",1,36,0,"HighF",6,903,"Include"
"RS2009_e1","RS2009_e1_1",1,37,0,"HighF",1,755,"Include"
"RS2009_e1","RS2009_e1_1",1,38,1,"LowF",5,1312,"Include"
"RS2009_e1","RS2009_e1_1",1,39,0,"LowF",3,1504,"Include"
"RS2009_e1","RS2009_e1_1",1,40,0,"LowF",1,1705,"Include"
"RS2009_e1","RS2009_e1_1",1,41,0,"LowF",1,669,"Include"
"RS2009_e1","RS2009_e1_1",1,42,0,"LowF",5,1478,"Include"
