"exp","id","block","trial","isold","condition1","condition2","rating","excluding"
"RS2009_e2","RS2009_e2_1","2_1",1,0,"Speed","LowF",2,"Include"
"RS2009_e2","RS2009_e2_1","2_1",2,1,"Speed","HighF",1,"Include"
"RS2009_e2","RS2009_e2_1","2_1",3,0,"Speed","HighF",5,"Include"
"RS2009_e2","RS2009_e2_1","2_1",4,0,"Speed","HighF",4,"Include"
"RS2009_e2","RS2009_e2_1","2_1",5,1,"Speed","LowF",3,"Include"
"RS2009_e2","RS2009_e2_1","2_1",6,1,"Speed","LowF",6,"Include"
"RS2009_e2","RS2009_e2_1","2_1",7,0,"Speed","HighF",2,"Include"
"RS2009_e2","RS2009_e2_1","2_1",8,1,"Speed","LowF",5,"Include"
"RS2009_e2","RS2009_e2_1","2_1",9,1,"Speed","LowF",4,"Include"
"RS2009_e2","RS2009_e2_1","2_1",10,0,"Speed","LowF",3,"Include"
"RS2009_e2","RS2009_e2_1","2_1",11,1,"Speed","HighF",5,"Include"
"RS2009_e2","RS2009_e2_1","2_1",12,1,"Speed","LowF",6,"Include"
"RS2009_e2","RS2009_e2_1","2_1",13,1,"Speed","LowF",2,"Include"
"RS2009_e2","RS2009_e2_1","2_1",14,0,"Speed","LowF",3,"Include"
"RS2009_e2","RS2009_e2_1","2_1",15,0,"Speed","LowF",1,"Include"
"RS2009_e2","RS2009_e2_1","2_1",16,1,"Speed","HighF",5,"Include"
"RS2009_e2","RS2009_e2_1","2_1",17,1,"Speed","HighF",4,"Include"
"RS2009_e2","RS2009_e2_1","2_1",18,0,"Speed","HighF",3,"Include"
"RS2009_e2","RS2009_e2_1","2_1",19,1,"Speed","HighF",2,"Include"
"RS2009_e2","RS2009_e2_1","2_1",20,0,"Speed","LowF",5,"Include"
"RS2009_e2","RS2009_e2_1","2_1",21,0,"Speed","HighF",3,"Include"
"RS2009_e2","RS2009_e2_1","2_1",22,1,"Speed","HighF",6,"Include"
"RS2009_e2","RS2009_e2_1","2_1",23,1,"Speed","HighF",5,"Include"
"RS2009_e2","RS2009_e2_1","2_1",24,0,"Speed","HighF",2,"Include"
"RS2009_e2","RS2009_e2_1","2_1",25,0,"Speed","LowF",3,"Include"
"RS2009_e2","RS2009_e2_1","2_1",26,1,"Speed","LowF",5,"Include"
"RS2009_e2","RS2009_e2_1","2_1",27,1,"Speed","HighF",4,"Include"
"RS2009_e2","RS2009_e2_1","2_1",28,1,"Speed","HighF",3,"Include"
"RS2009_e2","RS2009_e2_1","2_1",29,0,"Speed","HighF",2,"Include"
"RS2009_e2","RS2009_e2_1","2_1",30,0,"Speed","HighF",6,"Include"
"RS2009_e2","RS2009_e2_1","2_1",31,1,"Speed","LowF",5,"Include"
"RS2009_e2","RS2009_e2_1","2_1",32,0,"Speed","LowF",3,"Include"
"RS2009_e2","RS2009_e2_1","2_1",33,0,"Speed","LowF",2,"Include"
"RS2009_e2","RS2009_e2_1","2_1",34,0,"Speed","LowF",5,"Include"
"RS2009_e2","RS2009_e2_1","2_1",35,1,"Speed","LowF",3,"Include"
"RS2009_e2","RS2009_e2_1","2_1",36,0,"Speed","HighF",2,"Include"
"RS2009_e2","RS2009_e2_1","2_1",37,1,"Speed","LowF",5,"Include"
"RS2009_e2","RS2009_e2_1","2_1",38,0,"Speed","LowF",3,"Include"
"RS2009_e2","RS2009_e2_1","2_1",39,1,"Speed","HighF",2,"Include"
"RS2009_e2","RS2009_e2_1","2_1",40,0,"Speed","LowF",5,"Include"
"RS2009_e2","RS2009_e2_1","2_1",41,0,"Speed","HighF",3,"Include"
"RS2009_e2","RS2009_e2_1","2_1",42,1,"Speed","HighF",2,"Include"
"RS2009_e2","RS2009_e2_1","2_1",43,1,"Speed","LowF",5,"Include"
"RS2009_e2","RS2009_e2_1","2_1",44,1,"Speed","HighF",3,"Include"
"RS2009_e2","RS2009_e2_1","2_1",45,0,"Speed","HighF",2,"Include"
"RS2009_e2","RS2009_e2_1","2_1",46,0,"Speed","HighF",2,"Include"
"RS2009_e2","RS2009_e2_1","2_1",47,0,"Speed","LowF",3,"Include"
"RS2009_e2","RS2009_e2_1","2_1",48,1,"Speed","LowF",2,"Include"
"RS2009_e2","RS2009_e2_1","2_2",49,1,"Accuracy","LowF",5,"Include"
"RS2009_e2","RS2009_e2_1","2_2",50,1,"Accuracy","LowF",5,"Include"
"RS2009_e2","RS2009_e2_1","2_2",51,0,"Accuracy","HighF",3,"Include"
"RS2009_e2","RS2009_e2_1","2_2",52,1,"Accuracy","LowF",5,"Include"
"RS2009_e2","RS2009_e2_1","2_2",53,1,"Accuracy","LowF",2,"Include"
"RS2009_e2","RS2009_e2_1","2_2",54,1,"Accuracy","HighF",5,"Include"
"RS2009_e2","RS2009_e2_1","2_2",55,0,"Accuracy","HighF",3,"Include"
"RS2009_e2","RS2009_e2_1","2_2",56,1,"Accuracy","LowF",5,"Include"
"RS2009_e2","RS2009_e2_1","2_2",57,0,"Accuracy","LowF",2,"Include"
"RS2009_e2","RS2009_e2_1","2_2",58,0,"Accuracy","LowF",3,"Include"
"RS2009_e2","RS2009_e2_1","2_2",59,0,"Accuracy","HighF",4,"Include"
"RS2009_e2","RS2009_e2_1","2_2",60,1,"Accuracy","LowF",2,"Include"
"RS2009_e2","RS2009_e2_1","2_2",61,0,"Accuracy","LowF",4,"Include"
"RS2009_e2","RS2009_e2_1","2_2",62,1,"Accuracy","HighF",6,"Include"
"RS2009_e2","RS2009_e2_1","2_2",63,0,"Accuracy","LowF",2,"Include"
"RS2009_e2","RS2009_e2_1","2_2",64,0,"Accuracy","HighF",3,"Include"
"RS2009_e2","RS2009_e2_1","2_2",65,1,"Accuracy","HighF",5,"Include"
"RS2009_e2","RS2009_e2_1","2_2",66,0,"Accuracy","HighF",2,"Include"
"RS2009_e2","RS2009_e2_1","2_2",67,0,"Accuracy","HighF",3,"Include"
"RS2009_e2","RS2009_e2_1","2_2",68,0,"Accuracy","LowF",2,"Include"
"RS2009_e2","RS2009_e2_1","2_2",69,1,"Accuracy","LowF",5,"Include"
