"exp","id","block","trial","isold","condition1","condition2","rating","excluding"
"RSP2012_e1","RSP2012_e1_48",1,1,1,"Scenes","Dur64ms",8,"Include"
"RSP2012_e1","RSP2012_e1_48",1,2,0,"Scenes","New",8,"Include"
"RSP2012_e1","RSP2012_e1_48",1,3,0,"Scenes","New",6,"Include"
"RSP2012_e1","RSP2012_e1_48",1,4,1,"Scenes","Dur256ms",6,"Include"
"RSP2012_e1","RSP2012_e1_48",1,5,1,"Scenes","Dur64ms",6,"Include"
"RSP2012_e1","RSP2012_e1_48",1,6,0,"Scenes","New",2,"Include"
"RSP2012_e1","RSP2012_e1_48",1,7,0,"Scenes","New",2,"Include"
"RSP2012_e1","RSP2012_e1_48",1,8,0,"Scenes","New",3,"Include"
"RSP2012_e1","RSP2012_e1_48",1,9,1,"Scenes","Dur512ms",2,"Include"
"RSP2012_e1","RSP2012_e1_48",1,10,1,"Scenes","Dur16ms",6,"Include"
"RSP2012_e1","RSP2012_e1_48",1,11,1,"Scenes","Dur128ms",8,"Include"
"RSP2012_e1","RSP2012_e1_48",1,12,0,"Scenes","New",1,"Include"
"RSP2012_e1","RSP2012_e1_48",1,13,0,"Scenes","New",2,"Include"
"RSP2012_e1","RSP2012_e1_48",1,14,1,"Scenes","Dur128ms",8,"Include"
"RSP2012_e1","RSP2012_e1_48",1,15,1,"Scenes","Dur16ms",8,"Include"
"RSP2012_e1","RSP2012_e1_48",1,16,1,"Scenes","Dur32ms",2,"Include"
"RSP2012_e1","RSP2012_e1_48",1,17,0,"Scenes","New",1,"Include"
"RSP2012_e1","RSP2012_e1_48",1,18,1,"Scenes","Dur512ms",8,"Include"
"RSP2012_e1","RSP2012_e1_48",1,19,0,"Scenes","New",2,"Include"
"RSP2012_e1","RSP2012_e1_48",1,20,1,"Scenes","Dur32ms",2,"Include"
"RSP2012_e1","RSP2012_e1_48",1,21,0,"Scenes","New",2,"Include"
"RSP2012_e1","RSP2012_e1_48",1,22,0,"Scenes","New",2,"Include"
"RSP2012_e1","RSP2012_e1_48",1,23,0,"Scenes","New",2,"Include"
"RSP2012_e1","RSP2012_e1_48",1,24,1,"Scenes","Dur256ms",3,"Include"
"RSP2012_e1","RSP2012_e1_48",2,1,0,"Faces","New",3,"Include"
"RSP2012_e1","RSP2012_e1_48",2,2,1,"Faces","Dur256ms",8,"Include"
"RSP2012_e1","RSP2012_e1_48",2,3,1,"Faces","Dur32ms",8,"Include"
"RSP2012_e1","RSP2012_e1_48",2,4,1,"Faces","Dur16ms",6,"Include"
"RSP2012_e1","RSP2012_e1_48",2,5,0,"Faces","New",2,"Include"
"RSP2012_e1","RSP2012_e1_48",2,6,0,"Faces","New",2,"Include"
"RSP2012_e1","RSP2012_e1_48",2,7,0,"Faces","New",2,"Include"
"RSP2012_e1","RSP2012_e1_48",2,8,1,"Faces","Dur256ms",8,"Include"
"RSP2012_e1","RSP2012_e1_48",2,9,0,"Faces","New",3,"Include"
"RSP2012_e1","RSP2012_e1_48",2,10,0,"Faces","New",3,"Include"
"RSP2012_e1","RSP2012_e1_48",2,11,1,"Faces","Dur128ms",6,"Include"
"RSP2012_e1","RSP2012_e1_48",2,12,0,"Faces","New",2,"Include"
"RSP2012_e1","RSP2012_e1_48",2,13,0,"Faces","New",2,"Include"
"RSP2012_e1","RSP2012_e1_48",2,14,1,"Faces","Dur512ms",8,"Include"
"RSP2012_e1","RSP2012_e1_48",2,15,1,"Faces","Dur32ms",2,"Include"
"RSP2012_e1","RSP2012_e1_48",2,16,0,"Faces","New",6,"Include"
"RSP2012_e1","RSP2012_e1_48",2,17,0,"Faces","New",3,"Include"
"RSP2012_e1","RSP2012_e1_48",2,18,0,"Faces","New",2,"Include"
"RSP2012_e1","RSP2012_e1_48",2,19,1,"Faces","Dur512ms",8,"Include"
"RSP2012_e1","RSP2012_e1_48",2,20,1,"Faces","Dur64ms",7,"Include"
"RSP2012_e1","RSP2012_e1_48",2,21,1,"Faces","Dur128ms",8,"Include"
"RSP2012_e1","RSP2012_e1_48",2,22,0,"Faces","New",2,"Include"
