"exp","id","block","item","trial","isold","condition1","rating","RT_ON","RT_CONF","excluding"
"SCR2019_e1","SCR2019_e1_1",1,"CENT",1,0,"Rep3_BiasLiberal",1,1157,839,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"HEAD",2,1,"Rep3_BiasLiberal",6,573,567,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"MOTHER",3,0,"Rep3_BiasLiberal",6,773,255,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"LINE",4,0,"Rep3_BiasLiberal",2,2174,335,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"PEOPLE",5,0,"Rep3_BiasLiberal",6,2220,591,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"DAY",6,0,"Rep3_BiasLiberal",3,1038,423,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"CHAIN",7,0,"Rep3_BiasLiberal",1,1228,320,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"FELLOW",8,0,"Rep3_BiasLiberal",1,1172,183,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"NECK",9,1,"Rep3_BiasLiberal",6,939,287,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"ARM",10,0,"Rep3_BiasLiberal",1,1149,239,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"HEART",11,0,"Rep3_BiasLiberal",1,812,166,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"LEADER",12,0,"Rep3_BiasLiberal",1,693,214,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"KEY",13,0,"Rep3_BiasLiberal",1,780,151,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"WATER",14,0,"Rep3_BiasLiberal",2,3244,199,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"DESK",15,1,"Rep3_BiasLiberal",6,669,750,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"EDGE",16,1,"Rep3_BiasLiberal",6,795,200,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"BOTTLE",17,1,"Rep3_BiasLiberal",5,1019,367,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"BODY",18,1,"Rep3_BiasLiberal",6,660,207,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"CHILD",19,0,"Rep3_BiasLiberal",4,1196,271,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"WELL",20,1,"Rep3_BiasLiberal",2,2206,614,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"FOOT",21,1,"Rep3_BiasLiberal",6,1231,1895,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"GUY",22,0,"Rep3_BiasLiberal",1,1973,727,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"CHIEF",23,1,"Rep3_BiasLiberal",6,772,280,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"HOUSE",24,0,"Rep3_BiasLiberal",1,1052,319,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"COVER",25,1,"Rep3_BiasLiberal",1,1093,199,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"STUDENT",26,1,"Rep3_BiasLiberal",6,903,382,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"TEAM",27,0,"Rep3_BiasLiberal",1,900,407,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"ANGLE",28,1,"Rep3_BiasLiberal",6,1460,351,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"BOAT",29,0,"Rep3_BiasLiberal",6,1093,311,"Include"
"SCR2019_e1","SCR2019_e1_1",1,"GUN",30,1,"Rep3_BiasLiberal",5,1270,486,"Include"
