"exp","id","block","item","trial","isold","rating","excluding"
"SHJ2005_e1","SHJ2005_e1_103",1,"VA084",1,1,6,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"GBEN253",2,1,6,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"ONTO011",3,1,6,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"ISBO1",4,0,4,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"PAGETT11",5,1,5,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"CMMKT",6,0,1,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"BCV032",7,1,6,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"THA279",8,1,6,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"VNPSMCT",9,0,5,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"IL621",10,1,6,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"IRLKYL2",11,0,2,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"TZA086",12,0,1,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"GR508",13,1,6,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"WI057",14,1,6,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"NVLV026",15,1,6,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"KEN271",16,0,1,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"MAL485",17,1,6,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"IRNBUSH1",18,0,2,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"MIGF6",19,0,2,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"IRNDML3",20,1,6,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"ONTO003",21,1,5,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"DKARHM1",22,0,6,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"OXHIGHST",23,0,5,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"AZTSBH2",24,0,4,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"NLGTH8",25,0,2,"Include"
"SHJ2005_e1","SHJ2005_e1_103",1,"SCCH10",26,1,6,"Include"
