"exp","id","isold","condition1","condition2","rating","RT","excluding","trial"
"SSW2015_e3","SSW2015_e3_21",0,"Younger","UnrelatedLures",1,"98.2","Include",1
"SSW2015_e3","SSW2015_e3_21",0,"Younger","RelatedLures",4,"1493.2","Include",2
"SSW2015_e3","SSW2015_e3_21",1,"Younger","Studied",4,"1223.3","Include",3
"SSW2015_e3","SSW2015_e3_21",1,"Younger","Studied",4,"850.6","Include",4
"SSW2015_e3","SSW2015_e3_21",1,"Younger","Studied",4,"867.1","Include",5
"SSW2015_e3","SSW2015_e3_21",0,"Younger","RelatedLures",3,"1518.1","Include",6
"SSW2015_e3","SSW2015_e3_21",0,"Younger","UnrelatedLures",1,"1377","Include",7
"SSW2015_e3","SSW2015_e3_21",0,"Younger","UnrelatedLures",1,"713.7","Include",8
"SSW2015_e3","SSW2015_e3_21",0,"Younger","UnrelatedLures",1,"818.7","Include",9
"SSW2015_e3","SSW2015_e3_21",0,"Younger","UnrelatedLures",1,"1466.4","Include",10
"SSW2015_e3","SSW2015_e3_21",1,"Younger","Studied",4,"1143.4000000000001","Include",11
"SSW2015_e3","SSW2015_e3_21",0,"Younger","UnrelatedLures",1,"973.5","Include",12
"SSW2015_e3","SSW2015_e3_21",0,"Younger","RelatedLures",2,"1956.3","Include",13
"SSW2015_e3","SSW2015_e3_21",0,"Younger","UnrelatedLures",1,"1061.7","Include",14
"SSW2015_e3","SSW2015_e3_21",0,"Younger","RelatedLures",1,"1594","Include",15
"SSW2015_e3","SSW2015_e3_21",1,"Younger","Studied",4,"1152.0999999999999","Include",16
"SSW2015_e3","SSW2015_e3_21",1,"Younger","Studied",4,"847.1","Include",17
"SSW2015_e3","SSW2015_e3_21",1,"Younger","Studied",1,"1191.5999999999999","Include",18
"SSW2015_e3","SSW2015_e3_21",0,"Younger","RelatedLures",1,"762.6","Include",19
"SSW2015_e3","SSW2015_e3_21",0,"Younger","UnrelatedLures",1,"712.6","Include",20
"SSW2015_e3","SSW2015_e3_21",0,"Younger","RelatedLures",1,"1793.5","Include",21
"SSW2015_e3","SSW2015_e3_21",0,"Younger","UnrelatedLures",1,"855.9","Include",22
"SSW2015_e3","SSW2015_e3_21",0,"Younger","RelatedLures",2,"3132","Include",23
"SSW2015_e3","SSW2015_e3_21",1,"Younger","Studied",4,"1387.3","Include",24
"SSW2015_e3","SSW2015_e3_21",0,"Younger","RelatedLures",1,"1735.8","Include",25
"SSW2015_e3","SSW2015_e3_21",1,"Younger","Studied",4,"1074","Include",26
"SSW2015_e3","SSW2015_e3_21",0,"Younger","RelatedLures",4,"911.3","Include",27
"SSW2015_e3","SSW2015_e3_21",0,"Younger","UnrelatedLures",1,"1607.7","Include",28
"SSW2015_e3","SSW2015_e3_21",1,"Younger","Studied",4,"1262.9000000000001","Include",29
"SSW2015_e3","SSW2015_e3_21",0,"Younger","UnrelatedLures",1,"1166.4000000000001","Include",30
"SSW2015_e3","SSW2015_e3_21",0,"Younger","UnrelatedLures",1,"1443.2","Include",31
"SSW2015_e3","SSW2015_e3_21",0,"Younger","UnrelatedLures",1,"1197.9000000000001","Include",32
