"exp","id","block","isold","condition1","condition2","rating","RT","excluding","trial"
"SWR2012_e1","SWR2012_e1_1",1,1,"pure","Strong",20,4875,"Exclude",1
"SWR2012_e1","SWR2012_e1_1",1,0,"pure","Strong",1,1092,"Exclude",2
"SWR2012_e1","SWR2012_e1_1",1,0,"pure","Strong",1,734,"Exclude",3
"SWR2012_e1","SWR2012_e1_1",1,1,"pure","Strong",20,1201,"Exclude",4
"SWR2012_e1","SWR2012_e1_1",1,1,"pure","Strong",20,642,"Exclude",5
"SWR2012_e1","SWR2012_e1_1",1,1,"pure","Strong",20,932,"Exclude",6
"SWR2012_e1","SWR2012_e1_1",1,1,"pure","Strong",20,767,"Exclude",7
"SWR2012_e1","SWR2012_e1_1",1,1,"pure","Strong",20,573,"Exclude",8
"SWR2012_e1","SWR2012_e1_1",1,0,"pure","Strong",1,700,"Exclude",9
"SWR2012_e1","SWR2012_e1_1",1,1,"pure","Strong",20,861,"Exclude",10
"SWR2012_e1","SWR2012_e1_1",1,1,"pure","Strong",17,2897,"Exclude",11
"SWR2012_e1","SWR2012_e1_1",1,0,"pure","Strong",1,1126,"Exclude",12
"SWR2012_e1","SWR2012_e1_1",1,0,"pure","Strong",1,1882,"Exclude",13
"SWR2012_e1","SWR2012_e1_1",1,1,"pure","Strong",20,1135,"Exclude",14
"SWR2012_e1","SWR2012_e1_1",1,0,"pure","Strong",6,2583,"Exclude",15
"SWR2012_e1","SWR2012_e1_1",1,1,"pure","Strong",17,2972,"Exclude",16
"SWR2012_e1","SWR2012_e1_1",1,0,"pure","Strong",3,2916,"Exclude",17
"SWR2012_e1","SWR2012_e1_1",1,1,"pure","Strong",20,772,"Exclude",18
"SWR2012_e1","SWR2012_e1_1",1,0,"pure","Strong",1,1223,"Exclude",19
"SWR2012_e1","SWR2012_e1_1",1,0,"pure","Strong",1,1940,"Exclude",20
"SWR2012_e1","SWR2012_e1_1",1,0,"pure","Strong",1,946,"Exclude",21
"SWR2012_e1","SWR2012_e1_1",1,0,"pure","Strong",1,699,"Exclude",22
"SWR2012_e1","SWR2012_e1_1",1,1,"pure","Strong",8,1531,"Exclude",23
"SWR2012_e1","SWR2012_e1_1",1,0,"pure","Strong",1,1105,"Exclude",24
"SWR2012_e1","SWR2012_e1_1",2,0,"pure","Weak",1,3587,"Exclude",1
"SWR2012_e1","SWR2012_e1_1",2,1,"pure","Weak",15,1653,"Exclude",2
"SWR2012_e1","SWR2012_e1_1",2,0,"pure","Weak",14,1576,"Exclude",3
"SWR2012_e1","SWR2012_e1_1",2,0,"pure","Weak",1,1193,"Exclude",4
"SWR2012_e1","SWR2012_e1_1",2,0,"pure","Weak",1,885,"Exclude",5
"SWR2012_e1","SWR2012_e1_1",2,0,"pure","Weak",1,601,"Exclude",6
"SWR2012_e1","SWR2012_e1_1",2,1,"pure","Weak",1,672,"Exclude",7
"SWR2012_e1","SWR2012_e1_1",2,1,"pure","Weak",13,1962,"Exclude",8
"SWR2012_e1","SWR2012_e1_1",2,0,"pure","Weak",1,661,"Exclude",9
"SWR2012_e1","SWR2012_e1_1",2,1,"pure","Weak",14,1262,"Exclude",10
"SWR2012_e1","SWR2012_e1_1",2,0,"pure","Weak",1,1100,"Exclude",11
"SWR2012_e1","SWR2012_e1_1",2,0,"pure","Weak",1,1175,"Exclude",12
"SWR2012_e1","SWR2012_e1_1",2,1,"pure","Weak",7,1231,"Exclude",13
"SWR2012_e1","SWR2012_e1_1",2,0,"pure","Weak",1,1207,"Exclude",14
"SWR2012_e1","SWR2012_e1_1",2,1,"pure","Weak",3,2507,"Exclude",15
"SWR2012_e1","SWR2012_e1_1",2,0,"pure","Weak",1,898,"Exclude",16
"SWR2012_e1","SWR2012_e1_1",2,1,"pure","Weak",13,1355,"Exclude",17
"SWR2012_e1","SWR2012_e1_1",2,1,"pure","Weak",1,1121,"Exclude",18
"SWR2012_e1","SWR2012_e1_1",2,1,"pure","Weak",17,991,"Exclude",19
"SWR2012_e1","SWR2012_e1_1",2,1,"pure","Weak",19,1073,"Exclude",20
"SWR2012_e1","SWR2012_e1_1",2,1,"pure","Weak",20,1315,"Exclude",21
"SWR2012_e1","SWR2012_e1_1",2,0,"pure","Weak",1,741,"Exclude",22
"SWR2012_e1","SWR2012_e1_1",2,0,"pure","Weak",13,1190,"Exclude",23
"SWR2012_e1","SWR2012_e1_1",2,1,"pure","Weak",1,1698,"Exclude",24
"SWR2012_e1","SWR2012_e1_1",3,0,"pure","Strong",1,1247,"Include",1
"SWR2012_e1","SWR2012_e1_1",3,0,"pure","Strong",14,2520,"Include",2
"SWR2012_e1","SWR2012_e1_1",3,1,"pure","Strong",18,953,"Include",3
"SWR2012_e1","SWR2012_e1_1",3,1,"pure","Strong",18,1249,"Include",4
"SWR2012_e1","SWR2012_e1_1",3,1,"pure","Strong",20,929,"Include",5
"SWR2012_e1","SWR2012_e1_1",3,0,"pure","Strong",3,2571,"Include",6
"SWR2012_e1","SWR2012_e1_1",3,0,"pure","Strong",20,703,"Include",7
"SWR2012_e1","SWR2012_e1_1",3,1,"pure","Strong",20,573,"Include",8
"SWR2012_e1","SWR2012_e1_1",3,1,"pure","Strong",20,478,"Include",9
"SWR2012_e1","SWR2012_e1_1",3,0,"pure","Strong",5,1823,"Include",10
"SWR2012_e1","SWR2012_e1_1",3,1,"pure","Strong",NA,2392,"Exclude",11
"SWR2012_e1","SWR2012_e1_1",3,1,"pure","Strong",20,1384,"Include",12
"SWR2012_e1","SWR2012_e1_1",3,0,"pure","Strong",3,2919,"Include",13
"SWR2012_e1","SWR2012_e1_1",3,1,"pure","Strong",17,1246,"Include",14
"SWR2012_e1","SWR2012_e1_1",3,0,"pure","Strong",4,1557,"Include",15
"SWR2012_e1","SWR2012_e1_1",3,0,"pure","Strong",18,1543,"Include",16
"SWR2012_e1","SWR2012_e1_1",3,0,"pure","Strong",1,1281,"Include",17
"SWR2012_e1","SWR2012_e1_1",3,0,"pure","Strong",1,858,"Include",18
"SWR2012_e1","SWR2012_e1_1",3,0,"pure","Strong",1,795,"Include",19
"SWR2012_e1","SWR2012_e1_1",3,1,"pure","Strong",20,715,"Include",20
"SWR2012_e1","SWR2012_e1_1",3,1,"pure","Strong",20,882,"Include",21
"SWR2012_e1","SWR2012_e1_1",3,0,"pure","Strong",3,1957,"Include",22
"SWR2012_e1","SWR2012_e1_1",3,1,"pure","Strong",4,1299,"Include",23
"SWR2012_e1","SWR2012_e1_1",3,1,"pure","Strong",17,1703,"Include",24
"SWR2012_e1","SWR2012_e1_1",4,0,"pure","Weak",1,1502,"Include",1
