"exp","id","item","isold","rating","excluding"
"SWS2011_e1","SWS2011_e1_1","UNDERGRADUATE",1,3,"Include"
"SWS2011_e1","SWS2011_e1_1","STOCKING",1,13,"Include"
"SWS2011_e1","SWS2011_e1_1","ATHLETE",1,15,"Include"
"SWS2011_e1","SWS2011_e1_1","PRISON",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","INCOME",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","SIREN",1,13,"Include"
"SWS2011_e1","SWS2011_e1_1","SUITE",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","ANIMAL",1,19,"Include"
"SWS2011_e1","SWS2011_e1_1","PASTOR",1,18,"Include"
"SWS2011_e1","SWS2011_e1_1","SLOPE",1,10,"Include"
"SWS2011_e1","SWS2011_e1_1","TROOP",1,17,"Include"
"SWS2011_e1","SWS2011_e1_1","SPADE",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","LUTE",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","TOMATO",1,18,"Include"
"SWS2011_e1","SWS2011_e1_1","CONE",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","BROOM",1,18,"Include"
"SWS2011_e1","SWS2011_e1_1","BENZENE",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","BEAM",1,14,"Include"
"SWS2011_e1","SWS2011_e1_1","BUTCHER",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","HARPSICHORD",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","CERTIFICATE",1,6,"Include"
"SWS2011_e1","SWS2011_e1_1","CUBE",1,12,"Include"
"SWS2011_e1","SWS2011_e1_1","MEDICINE",1,12,"Include"
"SWS2011_e1","SWS2011_e1_1","VESSEL",1,15,"Include"
"SWS2011_e1","SWS2011_e1_1","BLONDE",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","FOWL",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","THICKET",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","BATON",1,12,"Include"
"SWS2011_e1","SWS2011_e1_1","ROSE",1,11,"Include"
"SWS2011_e1","SWS2011_e1_1","GAUNTLET",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","MOSQUITO",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","MONSOON",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","SLEET",1,14,"Include"
"SWS2011_e1","SWS2011_e1_1","TOAD",1,18,"Include"
"SWS2011_e1","SWS2011_e1_1","BROOK",1,17,"Include"
"SWS2011_e1","SWS2011_e1_1","DESTROYER",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","LABYRINTH",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","AUDITORIUM",1,19,"Include"
"SWS2011_e1","SWS2011_e1_1","WHISTLE",1,18,"Include"
"SWS2011_e1","SWS2011_e1_1","CHAPEL",1,12,"Include"
"SWS2011_e1","SWS2011_e1_1","WHIP",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","RUDDER",1,10,"Include"
"SWS2011_e1","SWS2011_e1_1","WRITING",1,17,"Include"
"SWS2011_e1","SWS2011_e1_1","DENTIST",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","STONE",1,17,"Include"
"SWS2011_e1","SWS2011_e1_1","KEROSENE",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","SPIKE",1,12,"Include"
"SWS2011_e1","SWS2011_e1_1","PUPPY",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","PICTURE",1,9,"Include"
"SWS2011_e1","SWS2011_e1_1","NIGHTINGALE",1,7,"Include"
"SWS2011_e1","SWS2011_e1_1","WICKET",1,18,"Include"
"SWS2011_e1","SWS2011_e1_1","GROVE",1,18,"Include"
"SWS2011_e1","SWS2011_e1_1","CATFISH",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","CLOVE",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","PROPELLER",1,11,"Include"
"SWS2011_e1","SWS2011_e1_1","CROCODILE",1,17,"Include"
"SWS2011_e1","SWS2011_e1_1","TANK",1,9,"Include"
"SWS2011_e1","SWS2011_e1_1","RATTLESNAKE",1,19,"Include"
"SWS2011_e1","SWS2011_e1_1","APPLE",1,19,"Include"
"SWS2011_e1","SWS2011_e1_1","SCHOOLHOUSE",1,15,"Include"
"SWS2011_e1","SWS2011_e1_1","BLISTER",1,18,"Include"
"SWS2011_e1","SWS2011_e1_1","UMPIRE",1,16,"Include"
"SWS2011_e1","SWS2011_e1_1","MANOR",1,15,"Include"
"SWS2011_e1","SWS2011_e1_1","MIDSHIPMAN",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","TORTOISE",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","RAKE",1,18,"Include"
"SWS2011_e1","SWS2011_e1_1","TIMBER",1,16,"Include"
"SWS2011_e1","SWS2011_e1_1","OFFAL",1,12,"Include"
"SWS2011_e1","SWS2011_e1_1","SURF",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","DERELICT",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","PROSECUTOR",1,16,"Include"
"SWS2011_e1","SWS2011_e1_1","HATCHET",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","GRAPHITE",1,16,"Include"
"SWS2011_e1","SWS2011_e1_1","WHISKEY",1,19,"Include"
"SWS2011_e1","SWS2011_e1_1","FENCE",1,17,"Include"
"SWS2011_e1","SWS2011_e1_1","DOORWAY",1,15,"Include"
"SWS2011_e1","SWS2011_e1_1","BISHOP",1,15,"Include"
"SWS2011_e1","SWS2011_e1_1","VIOLIN",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","VINE",1,12,"Include"
"SWS2011_e1","SWS2011_e1_1","STREAMER",1,11,"Include"
"SWS2011_e1","SWS2011_e1_1","CATHEDRAL",1,16,"Include"
"SWS2011_e1","SWS2011_e1_1","SONG",1,19,"Include"
"SWS2011_e1","SWS2011_e1_1","LAWN",1,13,"Include"
"SWS2011_e1","SWS2011_e1_1","TRUCK",1,18,"Include"
"SWS2011_e1","SWS2011_e1_1","KITCHEN",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","VEAL",1,20,"Include"
"SWS2011_e1","SWS2011_e1_1","RABBIT",1,19,"Include"
"SWS2011_e1","SWS2011_e1_1","CINDER",1,11,"Include"
"SWS2011_e1","SWS2011_e1_1","DUKE",1,19,"Include"
"SWS2011_e1","SWS2011_e1_1","RESIDUE",1,15,"Include"
