"exp","id","item","isold","condition1","rating","excluding"
"TMP2014_e1","TMP2014_e1_2","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_4","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_6","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_10","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_12","Neg_01",1,"Neg",2,"Include"
"TMP2014_e1","TMP2014_e1_14","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_16","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_18","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_20","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_22","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_26","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_28","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_31","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_33","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_35","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_37","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_39","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_42","Neg_01",1,"Neg",4,"Include"
"TMP2014_e1","TMP2014_e1_43","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_44","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_46","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_48","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_50","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_52","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_54","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_56","Neg_01",1,"Neg",3,"Include"
"TMP2014_e1","TMP2014_e1_58","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_60","Neg_01",1,"Neg",4,"Include"
"TMP2014_e1","TMP2014_e1_64","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_66","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_71","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_73","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_80","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_84","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_85","Neg_01",1,"Neg",3,"Include"
"TMP2014_e1","TMP2014_e1_86","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_90","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_92","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_96","Neg_01",1,"Neg",99,"Exclude"
"TMP2014_e1","TMP2014_e1_98","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_100","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_102","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_104","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_106","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_108","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_110","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_112","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_116","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_120","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_122","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_124","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_126","Neg_01",1,"Neg",4,"Include"
"TMP2014_e1","TMP2014_e1_128","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_129","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_131","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_133","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_139","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_141","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_147","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_149","Neg_01",1,"Neg",4,"Include"
"TMP2014_e1","TMP2014_e1_152","Neg_01",1,"Neg",3,"Include"
"TMP2014_e1","TMP2014_e1_153","Neg_01",1,"Neg",3,"Include"
"TMP2014_e1","TMP2014_e1_155","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_157","Neg_01",1,"Neg",4,"Include"
"TMP2014_e1","TMP2014_e1_159","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_161","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_163","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_165","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_167","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_169","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_170","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_172","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_176","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_180","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_182","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_184","Neg_01",1,"Neg",2,"Include"
"TMP2014_e1","TMP2014_e1_186","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_188","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_190","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_192","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_194","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_198","Neg_01",1,"Neg",3,"Include"
"TMP2014_e1","TMP2014_e1_200","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_202","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_204","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_206","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_208","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_209","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_212","Neg_01",1,"Neg",4,"Include"
"TMP2014_e1","TMP2014_e1_217","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_221","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_222","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_223","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_224","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_225","Neg_01",1,"Neg",4,"Include"
"TMP2014_e1","TMP2014_e1_229","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_230","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_232","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_234","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_235","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_236","Neg_01",1,"Neg",6,"Include"
