"exp","id","trial","isold","condition1","rating","excluding"
"TR2017_e1","TR2017_e1_1",1,1,"ScaleLength20",35,"Include"
"TR2017_e1","TR2017_e1_1",2,1,"ScaleLength20",37,"Include"
"TR2017_e1","TR2017_e1_1",3,0,"ScaleLength20",8,"Include"
"TR2017_e1","TR2017_e1_1",4,0,"ScaleLength20",4,"Include"
"TR2017_e1","TR2017_e1_1",5,1,"ScaleLength20",32,"Include"
"TR2017_e1","TR2017_e1_1",6,0,"ScaleLength20",7,"Include"
"TR2017_e1","TR2017_e1_1",7,0,"ScaleLength20",16,"Include"
"TR2017_e1","TR2017_e1_1",8,0,"ScaleLength20",14,"Include"
"TR2017_e1","TR2017_e1_1",9,1,"ScaleLength20",26,"Include"
"TR2017_e1","TR2017_e1_1",10,0,"ScaleLength20",13,"Include"
"TR2017_e1","TR2017_e1_1",11,0,"ScaleLength20",17,"Include"
"TR2017_e1","TR2017_e1_1",12,0,"ScaleLength20",19,"Include"
"TR2017_e1","TR2017_e1_1",13,1,"ScaleLength20",22,"Include"
"TR2017_e1","TR2017_e1_1",14,0,"ScaleLength20",14,"Include"
"TR2017_e1","TR2017_e1_1",15,1,"ScaleLength20",30,"Include"
"TR2017_e1","TR2017_e1_1",16,0,"ScaleLength20",13,"Include"
"TR2017_e1","TR2017_e1_1",17,0,"ScaleLength20",6,"Include"
"TR2017_e1","TR2017_e1_1",18,0,"ScaleLength20",9,"Include"
"TR2017_e1","TR2017_e1_1",19,1,"ScaleLength20",34,"Include"
"TR2017_e1","TR2017_e1_1",20,1,"ScaleLength20",25,"Include"
"TR2017_e1","TR2017_e1_1",21,1,"ScaleLength20",37,"Include"
"TR2017_e1","TR2017_e1_1",22,0,"ScaleLength20",16,"Include"
"TR2017_e1","TR2017_e1_1",23,1,"ScaleLength20",24,"Include"
"TR2017_e1","TR2017_e1_1",24,0,"ScaleLength20",14,"Include"
"TR2017_e1","TR2017_e1_1",25,0,"ScaleLength20",12,"Include"
"TR2017_e1","TR2017_e1_1",26,1,"ScaleLength20",30,"Include"
"TR2017_e1","TR2017_e1_1",27,1,"ScaleLength20",31,"Include"
"TR2017_e1","TR2017_e1_1",28,0,"ScaleLength20",13,"Include"
"TR2017_e1","TR2017_e1_1",29,1,"ScaleLength20",32,"Include"
"TR2017_e1","TR2017_e1_1",30,1,"ScaleLength20",26,"Include"
"TR2017_e1","TR2017_e1_1",31,1,"ScaleLength20",33,"Include"
"TR2017_e1","TR2017_e1_1",32,0,"ScaleLength20",9,"Include"
"TR2017_e1","TR2017_e1_1",33,0,"ScaleLength20",16,"Include"
"TR2017_e1","TR2017_e1_1",34,0,"ScaleLength20",6,"Include"
"TR2017_e1","TR2017_e1_1",35,1,"ScaleLength20",40,"Include"
"TR2017_e1","TR2017_e1_1",36,1,"ScaleLength20",24,"Include"
"TR2017_e1","TR2017_e1_1",37,1,"ScaleLength20",39,"Include"
"TR2017_e1","TR2017_e1_1",38,0,"ScaleLength20",14,"Include"
"TR2017_e1","TR2017_e1_1",39,0,"ScaleLength20",9,"Include"
"TR2017_e1","TR2017_e1_1",40,0,"ScaleLength20",19,"Include"
"TR2017_e1","TR2017_e1_1",41,1,"ScaleLength20",27,"Include"
"TR2017_e1","TR2017_e1_1",42,0,"ScaleLength20",11,"Include"
"TR2017_e1","TR2017_e1_1",43,0,"ScaleLength20",16,"Include"
"TR2017_e1","TR2017_e1_1",44,1,"ScaleLength20",33,"Include"
"TR2017_e1","TR2017_e1_1",45,1,"ScaleLength20",29,"Include"
"TR2017_e1","TR2017_e1_1",46,1,"ScaleLength20",32,"Include"
"TR2017_e1","TR2017_e1_1",47,0,"ScaleLength20",16,"Include"
"TR2017_e1","TR2017_e1_1",48,0,"ScaleLength20",6,"Include"
"TR2017_e1","TR2017_e1_1",49,1,"ScaleLength20",27,"Include"
"TR2017_e1","TR2017_e1_1",50,0,"ScaleLength20",13,"Include"
"TR2017_e1","TR2017_e1_1",51,0,"ScaleLength20",16,"Include"
"TR2017_e1","TR2017_e1_1",52,1,"ScaleLength20",36,"Include"
"TR2017_e1","TR2017_e1_1",53,1,"ScaleLength20",32,"Include"
"TR2017_e1","TR2017_e1_1",54,1,"ScaleLength20",39,"Include"
"TR2017_e1","TR2017_e1_1",55,0,"ScaleLength20",14,"Include"
"TR2017_e1","TR2017_e1_1",56,1,"ScaleLength20",27,"Include"
"TR2017_e1","TR2017_e1_1",57,1,"ScaleLength20",39,"Include"
"TR2017_e1","TR2017_e1_1",58,0,"ScaleLength20",5,"Include"
"TR2017_e1","TR2017_e1_1",59,0,"ScaleLength20",6,"Include"
"TR2017_e1","TR2017_e1_1",60,0,"ScaleLength20",9,"Include"
"TR2017_e1","TR2017_e1_1",61,0,"ScaleLength20",9,"Include"
"TR2017_e1","TR2017_e1_1",62,1,"ScaleLength20",32,"Include"
"TR2017_e1","TR2017_e1_1",63,0,"ScaleLength20",13,"Include"
"TR2017_e1","TR2017_e1_1",64,0,"ScaleLength20",11,"Include"
"TR2017_e1","TR2017_e1_1",65,0,"ScaleLength20",14,"Include"
"TR2017_e1","TR2017_e1_1",66,1,"ScaleLength20",34,"Include"
"TR2017_e1","TR2017_e1_1",67,1,"ScaleLength20",29,"Include"
"TR2017_e1","TR2017_e1_1",68,0,"ScaleLength20",16,"Include"
"TR2017_e1","TR2017_e1_1",69,1,"ScaleLength20",36,"Include"
"TR2017_e1","TR2017_e1_1",70,1,"ScaleLength20",38,"Include"
"TR2017_e1","TR2017_e1_1",71,0,"ScaleLength20",16,"Include"
"TR2017_e1","TR2017_e1_1",72,1,"ScaleLength20",32,"Include"
"TR2017_e1","TR2017_e1_1",73,1,"ScaleLength20",34,"Include"
"TR2017_e1","TR2017_e1_1",74,0,"ScaleLength20",5,"Include"
"TR2017_e1","TR2017_e1_1",75,0,"ScaleLength20",14,"Include"
"TR2017_e1","TR2017_e1_1",76,1,"ScaleLength20",30,"Include"
"TR2017_e1","TR2017_e1_1",77,0,"ScaleLength20",11,"Include"
"TR2017_e1","TR2017_e1_1",78,1,"ScaleLength20",37,"Include"
"TR2017_e1","TR2017_e1_1",79,1,"ScaleLength20",32,"Include"
"TR2017_e1","TR2017_e1_1",80,1,"ScaleLength20",28,"Include"
"TR2017_e1","TR2017_e1_1",81,0,"ScaleLength20",14,"Include"
"TR2017_e1","TR2017_e1_1",82,0,"ScaleLength20",5,"Include"
"TR2017_e1","TR2017_e1_1",83,0,"ScaleLength20",16,"Include"
"TR2017_e1","TR2017_e1_1",84,1,"ScaleLength20",27,"Include"
"TR2017_e1","TR2017_e1_1",85,0,"ScaleLength20",14,"Include"
"TR2017_e1","TR2017_e1_1",86,0,"ScaleLength20",16,"Include"
"TR2017_e1","TR2017_e1_1",87,0,"ScaleLength20",7,"Include"
"TR2017_e1","TR2017_e1_1",88,1,"ScaleLength20",32,"Include"
"TR2017_e1","TR2017_e1_1",89,1,"ScaleLength20",28,"Include"
"TR2017_e1","TR2017_e1_1",90,1,"ScaleLength20",24,"Include"
"TR2017_e1","TR2017_e1_1",91,0,"ScaleLength20",9,"Include"
"TR2017_e1","TR2017_e1_1",92,0,"ScaleLength20",19,"Include"
"TR2017_e1","TR2017_e1_1",93,0,"ScaleLength20",9,"Include"
"TR2017_e1","TR2017_e1_1",94,0,"ScaleLength20",13,"Include"
"TR2017_e1","TR2017_e1_1",95,1,"ScaleLength20",36,"Include"
"TR2017_e1","TR2017_e1_1",96,1,"ScaleLength20",37,"Include"
"TR2017_e1","TR2017_e1_1",97,1,"ScaleLength20",34,"Include"
"TR2017_e1","TR2017_e1_1",98,1,"ScaleLength20",24,"Include"
"TR2017_e1","TR2017_e1_1",99,1,"ScaleLength20",38,"Include"
"TR2017_e1","TR2017_e1_1",100,0,"ScaleLength20",16,"Include"
"TR2017_e1","TR2017_e1_1",101,0,"ScaleLength20",9,"Include"
"TR2017_e1","TR2017_e1_1",102,0,"ScaleLength20",7,"Include"
"TR2017_e1","TR2017_e1_1",103,0,"ScaleLength20",4,"Include"
"TR2017_e1","TR2017_e1_1",104,1,"ScaleLength20",35,"Include"
"TR2017_e1","TR2017_e1_1",105,0,"ScaleLength20",11,"Include"
"TR2017_e1","TR2017_e1_1",106,1,"ScaleLength20",25,"Include"
"TR2017_e1","TR2017_e1_1",107,1,"ScaleLength20",32,"Include"
"TR2017_e1","TR2017_e1_1",108,0,"ScaleLength20",8,"Include"
"TR2017_e1","TR2017_e1_1",109,0,"ScaleLength20",6,"Include"
"TR2017_e1","TR2017_e1_1",110,1,"ScaleLength20",35,"Include"
"TR2017_e1","TR2017_e1_1",111,0,"ScaleLength20",9,"Include"
"TR2017_e1","TR2017_e1_1",112,0,"ScaleLength20",5,"Include"
"TR2017_e1","TR2017_e1_1",113,0,"ScaleLength20",7,"Include"
"TR2017_e1","TR2017_e1_1",114,1,"ScaleLength20",27,"Include"
"TR2017_e1","TR2017_e1_1",115,0,"ScaleLength20",11,"Include"
"TR2017_e1","TR2017_e1_1",116,1,"ScaleLength20",40,"Include"
"TR2017_e1","TR2017_e1_1",117,0,"ScaleLength20",7,"Include"
"TR2017_e1","TR2017_e1_1",118,1,"ScaleLength20",32,"Include"
"TR2017_e1","TR2017_e1_1",119,1,"ScaleLength20",30,"Include"
"TR2017_e1","TR2017_e1_1",120,0,"ScaleLength20",11,"Include"
"TR2017_e1","TR2017_e1_1",121,1,"ScaleLength20",35,"Include"
"TR2017_e1","TR2017_e1_1",122,1,"ScaleLength20",32,"Include"
"TR2017_e1","TR2017_e1_1",123,0,"ScaleLength20",5,"Include"
"TR2017_e1","TR2017_e1_1",124,0,"ScaleLength20",7,"Include"
"TR2017_e1","TR2017_e1_1",125,0,"ScaleLength20",14,"Include"
"TR2017_e1","TR2017_e1_1",126,1,"ScaleLength20",32,"Include"
"TR2017_e1","TR2017_e1_1",127,1,"ScaleLength20",28,"Include"
"TR2017_e1","TR2017_e1_1",128,0,"ScaleLength20",5,"Include"
"TR2017_e1","TR2017_e1_1",129,1,"ScaleLength20",22,"Include"
"TR2017_e1","TR2017_e1_1",130,0,"ScaleLength20",19,"Include"
"TR2017_e1","TR2017_e1_1",131,1,"ScaleLength20",27,"Include"
"TR2017_e1","TR2017_e1_1",132,0,"ScaleLength20",13,"Include"
"TR2017_e1","TR2017_e1_1",133,0,"ScaleLength20",14,"Include"
"TR2017_e1","TR2017_e1_1",134,1,"ScaleLength20",32,"Include"
"TR2017_e1","TR2017_e1_1",135,1,"ScaleLength20",29,"Include"
"TR2017_e1","TR2017_e1_1",136,1,"ScaleLength20",39,"Include"
