"exp","id","item","trial","isold","condition1","rating","excluding"
"USS2015_e1","USS2015_e1_1","492.bmp",1,0,"Foil",3,"Include"
"USS2015_e1","USS2015_e1_1","514.bmp",2,0,"Foil",2,"Include"
"USS2015_e1","USS2015_e1_1","295.bmp",3,1,"Hour",6,"Include"
"USS2015_e1","USS2015_e1_1","210.bmp",4,1,"Day",6,"Include"
"USS2015_e1","USS2015_e1_1","108.bmp",5,1,"Week",4,"Include"
"USS2015_e1","USS2015_e1_1","527.bmp",6,0,"Foil",6,"Include"
"USS2015_e1","USS2015_e1_1","376.bmp",7,0,"Foil",3,"Include"
"USS2015_e1","USS2015_e1_1","092.bmp",8,1,"Week",2,"Include"
"USS2015_e1","USS2015_e1_1","523.bmp",9,0,"Foil",5,"Include"
"USS2015_e1","USS2015_e1_1","605.bmp",10,0,"Foil",2,"Include"
"USS2015_e1","USS2015_e1_1","513.bmp",11,0,"Foil",2,"Include"
"USS2015_e1","USS2015_e1_1","454.bmp",12,0,"Foil",5,"Include"
"USS2015_e1","USS2015_e1_1","082.bmp",13,1,"Week",6,"Include"
"USS2015_e1","USS2015_e1_1","584.bmp",14,0,"Foil",2,"Include"
"USS2015_e1","USS2015_e1_1","051.bmp",15,1,"Month",6,"Include"
"USS2015_e1","USS2015_e1_1","571.bmp",16,0,"Foil",1,"Include"
"USS2015_e1","USS2015_e1_1","004.bmp",17,1,"Month",4,"Include"
"USS2015_e1","USS2015_e1_1","038.bmp",18,1,"Month",5,"Include"
"USS2015_e1","USS2015_e1_1","010.bmp",19,1,"Month",4,"Include"
"USS2015_e1","USS2015_e1_1","405.bmp",20,0,"Foil",1,"Include"
"USS2015_e1","USS2015_e1_1","244.bmp",21,1,"Hour",6,"Include"
"USS2015_e1","USS2015_e1_1","570.bmp",22,0,"Foil",5,"Include"
"USS2015_e1","USS2015_e1_1","165.bmp",23,1,"Day",6,"Include"
"USS2015_e1","USS2015_e1_1","205.bmp",24,1,"Day",5,"Include"
"USS2015_e1","USS2015_e1_1","118.bmp",25,1,"Week",4,"Include"
"USS2015_e1","USS2015_e1_1","363.bmp",26,0,"Foil",5,"Include"
"USS2015_e1","USS2015_e1_1","375.bmp",27,0,"Foil",3,"Include"
"USS2015_e1","USS2015_e1_1","090.bmp",28,1,"Week",6,"Include"
"USS2015_e1","USS2015_e1_1","130.bmp",29,1,"Week",2,"Include"
"USS2015_e1","USS2015_e1_1","272.bmp",30,1,"Hour",6,"Include"
"USS2015_e1","USS2015_e1_1","185.bmp",31,1,"Day",2,"Include"
"USS2015_e1","USS2015_e1_1","598.bmp",32,0,"Foil",4,"Include"
"USS2015_e1","USS2015_e1_1","170.bmp",33,1,"Day",6,"Include"
"USS2015_e1","USS2015_e1_1","367.bmp",34,0,"Foil",4,"Include"
"USS2015_e1","USS2015_e1_1","343.bmp",35,0,"Foil",5,"Include"
"USS2015_e1","USS2015_e1_1","406.bmp",36,0,"Foil",3,"Include"
"USS2015_e1","USS2015_e1_1","378.bmp",37,0,"Foil",3,"Include"
"USS2015_e1","USS2015_e1_1","204.bmp",38,1,"Day",5,"Include"
"USS2015_e1","USS2015_e1_1","140.bmp",39,1,"Week",5,"Include"
"USS2015_e1","USS2015_e1_1","022.bmp",40,1,"Month",5,"Include"
"USS2015_e1","USS2015_e1_1","286.bmp",41,1,"Hour",6,"Include"
"USS2015_e1","USS2015_e1_1","458.bmp",42,0,"Foil",1,"Include"
"USS2015_e1","USS2015_e1_1","416.bmp",43,0,"Foil",1,"Include"
"USS2015_e1","USS2015_e1_1","430.bmp",44,0,"Foil",2,"Include"
"USS2015_e1","USS2015_e1_1","589.bmp",45,0,"Foil",2,"Include"
"USS2015_e1","USS2015_e1_1","282.bmp",46,1,"Hour",6,"Include"
"USS2015_e1","USS2015_e1_1","243.bmp",47,1,"Hour",6,"Include"
"USS2015_e1","USS2015_e1_1","519.bmp",48,0,"Foil",2,"Include"
"USS2015_e1","USS2015_e1_1","408.bmp",49,0,"Foil",5,"Include"
"USS2015_e1","USS2015_e1_1","215.bmp",50,1,"Day",6,"Include"
"USS2015_e1","USS2015_e1_1","135.bmp",51,1,"Week",6,"Include"
"USS2015_e1","USS2015_e1_1","576.bmp",52,0,"Foil",2,"Include"
"USS2015_e1","USS2015_e1_1","517.bmp",53,0,"Foil",3,"Include"
"USS2015_e1","USS2015_e1_1","181.bmp",54,1,"Day",6,"Include"
"USS2015_e1","USS2015_e1_1","504.bmp",55,0,"Foil",6,"Include"
"USS2015_e1","USS2015_e1_1","449.bmp",56,0,"Foil",4,"Include"
"USS2015_e1","USS2015_e1_1","109.bmp",57,1,"Week",5,"Include"
"USS2015_e1","USS2015_e1_1","002.bmp",58,1,"Month",2,"Include"
"USS2015_e1","USS2015_e1_1","484.bmp",59,0,"Foil",3,"Include"
"USS2015_e1","USS2015_e1_1","180.bmp",60,1,"Day",5,"Include"
"USS2015_e1","USS2015_e1_1","015.bmp",61,1,"Month",6,"Include"
