"exp","id","item","trial","isold","condition1","rating","excluding"
"WHD2018_e1","WHD2018_e1_101","zoon",1,1,"AngularGyrus",6,"Include"
"WHD2018_e1","WHD2018_e1_101","duisternis",2,1,"AngularGyrus",6,"Include"
"WHD2018_e1","WHD2018_e1_101","dierentuin",3,0,"AngularGyrus",2,"Include"
"WHD2018_e1","WHD2018_e1_101","pakket",4,0,"AngularGyrus",2,"Include"
"WHD2018_e1","WHD2018_e1_101","fijnproever",5,0,"AngularGyrus",3,"Include"
"WHD2018_e1","WHD2018_e1_101","tweed",6,1,"AngularGyrus",6,"Include"
"WHD2018_e1","WHD2018_e1_101","gevaar",7,0,"AngularGyrus",99,"Exclude"
"WHD2018_e1","WHD2018_e1_101","oogwenk",8,0,"AngularGyrus",1,"Include"
"WHD2018_e1","WHD2018_e1_101","grootvader",9,1,"AngularGyrus",6,"Include"
"WHD2018_e1","WHD2018_e1_101","madelief",10,1,"AngularGyrus",6,"Include"
"WHD2018_e1","WHD2018_e1_101","ziekenhuis",11,0,"AngularGyrus",5,"Include"
"WHD2018_e1","WHD2018_e1_101","huwelijksreis",12,1,"AngularGyrus",6,"Include"
"WHD2018_e1","WHD2018_e1_101","rekening",13,1,"AngularGyrus",6,"Include"
"WHD2018_e1","WHD2018_e1_101","inkoper",14,1,"AngularGyrus",6,"Include"
"WHD2018_e1","WHD2018_e1_101","edelsteen",15,0,"AngularGyrus",1,"Include"
"WHD2018_e1","WHD2018_e1_101","spuiten",16,1,"AngularGyrus",6,"Include"
"WHD2018_e1","WHD2018_e1_101","brok",17,1,"AngularGyrus",5,"Include"
"WHD2018_e1","WHD2018_e1_101","snelweg",18,1,"AngularGyrus",6,"Include"
"WHD2018_e1","WHD2018_e1_101","veeg",19,0,"AngularGyrus",4,"Include"
"WHD2018_e1","WHD2018_e1_101","acrobaat",20,1,"AngularGyrus",6,"Include"
"WHD2018_e1","WHD2018_e1_101","pastoor",21,1,"AngularGyrus",6,"Include"
"WHD2018_e1","WHD2018_e1_101","ziekenzaal",22,1,"AngularGyrus",6,"Include"
"WHD2018_e1","WHD2018_e1_101","materiaal",23,0,"AngularGyrus",2,"Include"
"WHD2018_e1","WHD2018_e1_101","onderarm",24,0,"AngularGyrus",1,"Include"
"WHD2018_e1","WHD2018_e1_101","wimpel",25,1,"AngularGyrus",2,"Include"
"WHD2018_e1","WHD2018_e1_101","oma",26,1,"AngularGyrus",6,"Include"
"WHD2018_e1","WHD2018_e1_101","ambassadeur",27,1,"AngularGyrus",6,"Include"
"WHD2018_e1","WHD2018_e1_101","versnelling",28,0,"AngularGyrus",2,"Include"
"WHD2018_e1","WHD2018_e1_101","boezem",29,0,"AngularGyrus",4,"Include"
"WHD2018_e1","WHD2018_e1_101","maan",30,1,"AngularGyrus",6,"Include"
"WHD2018_e1","WHD2018_e1_101","nerts",31,1,"AngularGyrus",6,"Include"
"WHD2018_e1","WHD2018_e1_101","tandarts",32,1,"AngularGyrus",6,"Include"
"WHD2018_e1","WHD2018_e1_101","viool",33,0,"AngularGyrus",2,"Include"
"WHD2018_e1","WHD2018_e1_101","volwassen",34,1,"AngularGyrus",6,"Include"
"WHD2018_e1","WHD2018_e1_101","bungalow",35,1,"AngularGyrus",6,"Include"
"WHD2018_e1","WHD2018_e1_101","aroma",36,0,"AngularGyrus",1,"Include"
"WHD2018_e1","WHD2018_e1_101","pint",37,0,"AngularGyrus",1,"Include"
"WHD2018_e1","WHD2018_e1_101","kudde",38,1,"AngularGyrus",6,"Include"
"WHD2018_e1","WHD2018_e1_101","oerwoud",39,1,"AngularGyrus",6,"Include"
"WHD2018_e1","WHD2018_e1_101","raadsel",40,1,"AngularGyrus",6,"Include"
"WHD2018_e1","WHD2018_e1_101","piano",41,0,"AngularGyrus",5,"Include"
