"exp","id","block","isold","rating","RT","excluding","trial"
"WKH2020_e1","WKH2020_e1_1",1,1,3,2052,"Include",1
"WKH2020_e1","WKH2020_e1_1",1,1,6,1995,"Include",2
"WKH2020_e1","WKH2020_e1_1",1,0,1,1395,"Include",3
"WKH2020_e1","WKH2020_e1_1",1,0,1,1303,"Include",4
"WKH2020_e1","WKH2020_e1_1",1,1,6,1362,"Include",5
"WKH2020_e1","WKH2020_e1_1",1,1,6,1601,"Include",6
"WKH2020_e1","WKH2020_e1_1",1,0,5,2422,"Include",7
"WKH2020_e1","WKH2020_e1_1",1,0,5,1972,"Include",8
"WKH2020_e1","WKH2020_e1_1",1,0,1,1400,"Include",9
"WKH2020_e1","WKH2020_e1_1",1,0,3,1406,"Include",10
"WKH2020_e1","WKH2020_e1_1",1,1,2,1178,"Include",11
"WKH2020_e1","WKH2020_e1_1",1,1,1,1852,"Include",12
"WKH2020_e1","WKH2020_e1_1",1,0,1,1534,"Include",13
"WKH2020_e1","WKH2020_e1_1",1,1,2,1226,"Include",14
"WKH2020_e1","WKH2020_e1_1",1,1,5,1884,"Include",15
"WKH2020_e1","WKH2020_e1_1",1,0,1,1274,"Include",16
"WKH2020_e1","WKH2020_e1_1",1,1,6,2508,"Include",17
"WKH2020_e1","WKH2020_e1_1",1,0,2,1505,"Include",18
"WKH2020_e1","WKH2020_e1_1",1,1,5,1777,"Include",19
"WKH2020_e1","WKH2020_e1_1",1,0,6,2113,"Include",20
"WKH2020_e1","WKH2020_e1_1",1,0,6,1617,"Include",21
"WKH2020_e1","WKH2020_e1_1",1,0,4,1843,"Include",22
"WKH2020_e1","WKH2020_e1_1",1,1,2,1163,"Include",23
"WKH2020_e1","WKH2020_e1_1",1,1,1,2439,"Include",24
"WKH2020_e1","WKH2020_e1_1",1,1,6,1267,"Include",25
"WKH2020_e1","WKH2020_e1_1",1,0,4,1776,"Include",26
"WKH2020_e1","WKH2020_e1_1",1,0,2,2526,"Include",27
"WKH2020_e1","WKH2020_e1_1",1,1,4,1493,"Include",28
"WKH2020_e1","WKH2020_e1_1",1,1,6,1567,"Include",29
"WKH2020_e1","WKH2020_e1_1",1,1,6,1444,"Include",30
"WKH2020_e1","WKH2020_e1_1",1,0,4,1436,"Include",31
"WKH2020_e1","WKH2020_e1_1",1,0,3,1424,"Include",32
"WKH2020_e1","WKH2020_e1_1",1,1,5,1564,"Include",33
"WKH2020_e1","WKH2020_e1_1",1,1,3,1450,"Include",34
"WKH2020_e1","WKH2020_e1_1",1,0,2,1394,"Include",35
"WKH2020_e1","WKH2020_e1_1",1,0,6,2448,"Include",36
"WKH2020_e1","WKH2020_e1_1",1,1,5,2377,"Include",37
"WKH2020_e1","WKH2020_e1_1",1,0,1,1543,"Include",38
"WKH2020_e1","WKH2020_e1_1",1,1,1,1116,"Include",39
"WKH2020_e1","WKH2020_e1_1",1,0,2,1564,"Include",40
"WKH2020_e1","WKH2020_e1_1",1,0,1,2687,"Include",41
"WKH2020_e1","WKH2020_e1_1",1,1,6,1648,"Include",42
"WKH2020_e1","WKH2020_e1_1",1,0,5,1823,"Include",43
"WKH2020_e1","WKH2020_e1_1",1,1,6,1771,"Include",44
"WKH2020_e1","WKH2020_e1_1",1,0,3,1931,"Include",45
"WKH2020_e1","WKH2020_e1_1",1,0,5,1262,"Include",46
"WKH2020_e1","WKH2020_e1_1",1,1,1,1664,"Include",47
"WKH2020_e1","WKH2020_e1_1",1,1,1,1656,"Include",48
"WKH2020_e1","WKH2020_e1_1",1,0,4,1629,"Include",49
"WKH2020_e1","WKH2020_e1_1",1,0,2,1943,"Include",50
"WKH2020_e1","WKH2020_e1_1",1,1,6,1899,"Include",51
"WKH2020_e1","WKH2020_e1_1",1,1,2,1260,"Include",52
"WKH2020_e1","WKH2020_e1_1",1,1,6,1295,"Include",53
"WKH2020_e1","WKH2020_e1_1",1,0,4,2068,"Include",54
"WKH2020_e1","WKH2020_e1_1",1,1,4,2062,"Include",55
"WKH2020_e1","WKH2020_e1_1",1,0,5,1836,"Include",56
"WKH2020_e1","WKH2020_e1_1",1,1,4,1223,"Include",57
"WKH2020_e1","WKH2020_e1_1",1,0,4,1632,"Include",58
"WKH2020_e1","WKH2020_e1_1",1,0,2,1421,"Include",59
"WKH2020_e1","WKH2020_e1_1",1,1,5,1564,"Include",60
"WKH2020_e1","WKH2020_e1_1",1,1,6,1874,"Include",61
"WKH2020_e1","WKH2020_e1_1",1,1,2,1621,"Include",62
"WKH2020_e1","WKH2020_e1_1",1,0,2,1356,"Include",63
"WKH2020_e1","WKH2020_e1_1",1,0,2,1024,"Include",64
"WKH2020_e1","WKH2020_e1_1",1,1,6,1358,"Include",65
"WKH2020_e1","WKH2020_e1_1",1,1,6,1103,"Include",66
"WKH2020_e1","WKH2020_e1_1",1,0,2,1179,"Include",67
"WKH2020_e1","WKH2020_e1_1",1,0,1,1530,"Include",68
"WKH2020_e1","WKH2020_e1_1",1,0,1,1550,"Include",69
"WKH2020_e1","WKH2020_e1_1",1,0,2,1220,"Include",70
"WKH2020_e1","WKH2020_e1_1",1,1,2,1111,"Include",71
"WKH2020_e1","WKH2020_e1_1",1,1,1,1398,"Include",72
"WKH2020_e1","WKH2020_e1_1",1,0,5,1962,"Include",73
"WKH2020_e1","WKH2020_e1_1",1,1,6,1440,"Include",74
"WKH2020_e1","WKH2020_e1_1",1,1,6,1045,"Include",75
"WKH2020_e1","WKH2020_e1_1",1,0,3,1898,"Include",76
"WKH2020_e1","WKH2020_e1_1",1,1,6,1384,"Include",77
"WKH2020_e1","WKH2020_e1_1",1,0,4,1786,"Include",78
"WKH2020_e1","WKH2020_e1_1",1,1,5,1648,"Include",79
"WKH2020_e1","WKH2020_e1_1",1,0,3,1258,"Include",80
"WKH2020_e1","WKH2020_e1_1",1,0,2,1158,"Include",81
"WKH2020_e1","WKH2020_e1_1",1,0,1,1520,"Include",82
"WKH2020_e1","WKH2020_e1_1",1,1,1,1701,"Include",83
"WKH2020_e1","WKH2020_e1_1",1,1,3,1381,"Include",84
"WKH2020_e1","WKH2020_e1_1",1,1,6,1523,"Include",85
"WKH2020_e1","WKH2020_e1_1",1,0,6,1619,"Include",86
"WKH2020_e1","WKH2020_e1_1",1,0,5,1801,"Include",87
"WKH2020_e1","WKH2020_e1_1",1,1,4,1352,"Include",88
"WKH2020_e1","WKH2020_e1_1",1,1,3,1960,"Include",89
"WKH2020_e1","WKH2020_e1_1",1,1,5,2103,"Include",90
"WKH2020_e1","WKH2020_e1_1",1,0,2,1474,"Include",91
"WKH2020_e1","WKH2020_e1_1",1,0,2,1308,"Include",92
"WKH2020_e1","WKH2020_e1_1",1,1,5,1204,"Include",93
"WKH2020_e1","WKH2020_e1_1",1,1,1,1715,"Include",94
"WKH2020_e1","WKH2020_e1_1",1,0,1,1430,"Include",95
"WKH2020_e1","WKH2020_e1_1",1,0,1,2218,"Include",96
"WKH2020_e1","WKH2020_e1_1",1,1,5,2140,"Include",97
"WKH2020_e1","WKH2020_e1_1",1,0,4,1511,"Include",98
"WKH2020_e1","WKH2020_e1_1",1,1,6,1383,"Include",99
"WKH2020_e1","WKH2020_e1_1",1,0,1,1501,"Include",100
"WKH2020_e1","WKH2020_e1_1",1,0,1,1062,"Include",101
"WKH2020_e1","WKH2020_e1_1",1,1,6,2039,"Include",102
"WKH2020_e1","WKH2020_e1_1",1,0,4,1941,"Include",103
"WKH2020_e1","WKH2020_e1_1",1,1,5,1247,"Include",104
"WKH2020_e1","WKH2020_e1_1",1,0,1,1950,"Include",105
"WKH2020_e1","WKH2020_e1_1",1,0,5,1678,"Include",106
"WKH2020_e1","WKH2020_e1_1",1,1,6,1235,"Include",107
"WKH2020_e1","WKH2020_e1_1",1,1,1,2138,"Include",108
"WKH2020_e1","WKH2020_e1_1",1,0,2,2753,"Include",109
"WKH2020_e1","WKH2020_e1_1",1,0,5,1400,"Include",110
"WKH2020_e1","WKH2020_e1_1",1,1,5,1969,"Include",111
"WKH2020_e1","WKH2020_e1_1",1,1,4,1324,"Include",112
"WKH2020_e1","WKH2020_e1_1",1,1,5,1333,"Include",113
"WKH2020_e1","WKH2020_e1_1",1,0,1,1674,"Include",114
"WKH2020_e1","WKH2020_e1_1",1,1,6,1374,"Include",115
"WKH2020_e1","WKH2020_e1_1",1,0,2,1807,"Include",116
"WKH2020_e1","WKH2020_e1_1",1,1,1,2160,"Include",117
"WKH2020_e1","WKH2020_e1_1",1,0,1,1221,"Include",118
"WKH2020_e1","WKH2020_e1_1",1,0,6,953,"Include",119
"WKH2020_e1","WKH2020_e1_1",1,1,6,1573,"Include",120
"WKH2020_e1","WKH2020_e1_1",1,1,6,1751,"Include",121
"WKH2020_e1","WKH2020_e1_1",1,1,1,1679,"Include",122
"WKH2020_e1","WKH2020_e1_1",1,0,1,1715,"Include",123
"WKH2020_e1","WKH2020_e1_1",1,0,2,1595,"Include",124
"WKH2020_e1","WKH2020_e1_1",1,1,6,1338,"Include",125
"WKH2020_e1","WKH2020_e1_1",1,1,2,1396,"Include",126
"WKH2020_e1","WKH2020_e1_1",1,0,2,1698,"Include",127
"WKH2020_e1","WKH2020_e1_1",1,0,5,1463,"Include",128
"WKH2020_e1","WKH2020_e1_1",1,0,1,1233,"Include",129
"WKH2020_e1","WKH2020_e1_1",1,0,2,1309,"Include",130
"WKH2020_e1","WKH2020_e1_1",1,1,6,1314,"Include",131
"WKH2020_e1","WKH2020_e1_1",1,1,6,793,"Include",132
"WKH2020_e1","WKH2020_e1_1",1,0,5,2066,"Include",133
"WKH2020_e1","WKH2020_e1_1",1,1,1,1489,"Include",134
"WKH2020_e1","WKH2020_e1_1",1,1,6,1242,"Include",135
"WKH2020_e1","WKH2020_e1_1",1,0,1,1435,"Include",136
"WKH2020_e1","WKH2020_e1_1",1,1,6,1100,"Include",137
"WKH2020_e1","WKH2020_e1_1",1,0,1,1197,"Include",138
"WKH2020_e1","WKH2020_e1_1",1,1,6,982,"Include",139
"WKH2020_e1","WKH2020_e1_1",1,0,1,2995,"Include",140
"WKH2020_e1","WKH2020_e1_1",1,0,2,1393,"Include",141
"WKH2020_e1","WKH2020_e1_1",1,0,1,1882,"Include",142
"WKH2020_e1","WKH2020_e1_1",1,1,5,2123,"Include",143
"WKH2020_e1","WKH2020_e1_1",1,1,5,1553,"Include",144
"WKH2020_e1","WKH2020_e1_1",1,1,6,1419,"Include",145
"WKH2020_e1","WKH2020_e1_1",1,0,1,1069,"Include",146
"WKH2020_e1","WKH2020_e1_1",1,0,5,1855,"Include",147
"WKH2020_e1","WKH2020_e1_1",1,1,3,2259,"Include",148
"WKH2020_e1","WKH2020_e1_1",1,1,2,1560,"Include",149
"WKH2020_e1","WKH2020_e1_1",1,1,4,1852,"Include",150
"WKH2020_e1","WKH2020_e1_1",1,0,5,1831,"Include",151
"WKH2020_e1","WKH2020_e1_1",1,0,2,1432,"Include",152
"WKH2020_e1","WKH2020_e1_1",1,1,4,2393,"Include",153
"WKH2020_e1","WKH2020_e1_1",1,1,6,1728,"Include",154
"WKH2020_e1","WKH2020_e1_1",1,0,2,1618,"Include",155
"WKH2020_e1","WKH2020_e1_1",1,0,1,2320,"Include",156
"WKH2020_e1","WKH2020_e1_1",1,1,2,1558,"Include",157
"WKH2020_e1","WKH2020_e1_1",1,0,1,1945,"Include",158
"WKH2020_e1","WKH2020_e1_1",1,1,6,1378,"Include",159
"WKH2020_e1","WKH2020_e1_1",1,0,1,4993,"Include",160
"WKH2020_e1","WKH2020_e1_1",1,0,1,1616,"Include",161
"WKH2020_e1","WKH2020_e1_1",1,1,5,3912,"Include",162
"WKH2020_e1","WKH2020_e1_1",1,0,2,2057,"Include",163
"WKH2020_e1","WKH2020_e1_1",1,1,4,2367,"Include",164
"WKH2020_e1","WKH2020_e1_1",1,0,4,1900,"Include",165
"WKH2020_e1","WKH2020_e1_1",1,0,2,2082,"Include",166
"WKH2020_e1","WKH2020_e1_1",1,1,6,1373,"Include",167
"WKH2020_e1","WKH2020_e1_1",1,1,5,1811,"Include",168
"WKH2020_e1","WKH2020_e1_1",1,0,2,1622,"Include",169
"WKH2020_e1","WKH2020_e1_1",1,0,6,1533,"Include",170
"WKH2020_e1","WKH2020_e1_1",1,1,1,1843,"Include",171
"WKH2020_e1","WKH2020_e1_1",1,1,5,1188,"Include",172
"WKH2020_e1","WKH2020_e1_1",1,1,6,1147,"Include",173
"WKH2020_e1","WKH2020_e1_1",1,0,2,1306,"Include",174
"WKH2020_e1","WKH2020_e1_1",1,1,2,1257,"Include",175
"WKH2020_e1","WKH2020_e1_1",1,0,5,1132,"Include",176
"WKH2020_e1","WKH2020_e1_1",1,1,1,2434,"Include",177
"WKH2020_e1","WKH2020_e1_1",1,0,2,1236,"Include",178
"WKH2020_e1","WKH2020_e1_1",1,0,4,1667,"Include",179
"WKH2020_e1","WKH2020_e1_1",1,1,5,1722,"Include",180
"WKH2020_e1","WKH2020_e1_2",1,1,4,2953,"Include",1
"WKH2020_e1","WKH2020_e1_2",1,1,6,1867,"Include",2
"WKH2020_e1","WKH2020_e1_2",1,0,1,1859,"Include",3
"WKH2020_e1","WKH2020_e1_2",1,0,3,2459,"Include",4
"WKH2020_e1","WKH2020_e1_2",1,1,5,1475,"Include",5
"WKH2020_e1","WKH2020_e1_2",1,1,6,1563,"Include",6
"WKH2020_e1","WKH2020_e1_2",1,0,2,1993,"Include",7
"WKH2020_e1","WKH2020_e1_2",1,0,2,2311,"Include",8
"WKH2020_e1","WKH2020_e1_2",1,0,2,2265,"Include",9
"WKH2020_e1","WKH2020_e1_2",1,0,2,1604,"Include",10
"WKH2020_e1","WKH2020_e1_2",1,1,6,1694,"Include",11
"WKH2020_e1","WKH2020_e1_2",1,1,6,1387,"Include",12
"WKH2020_e1","WKH2020_e1_2",1,0,2,1694,"Include",13
"WKH2020_e1","WKH2020_e1_2",1,1,5,1475,"Include",14
"WKH2020_e1","WKH2020_e1_2",1,1,4,2216,"Include",15
"WKH2020_e1","WKH2020_e1_2",1,0,2,1477,"Include",16
"WKH2020_e1","WKH2020_e1_2",1,1,6,1287,"Include",17
"WKH2020_e1","WKH2020_e1_2",1,0,2,1624,"Include",18
"WKH2020_e1","WKH2020_e1_2",1,1,6,1605,"Include",19
"WKH2020_e1","WKH2020_e1_2",1,0,2,2468,"Include",20
"WKH2020_e1","WKH2020_e1_2",1,0,2,1689,"Include",21
"WKH2020_e1","WKH2020_e1_2",1,0,3,2121,"Include",22
"WKH2020_e1","WKH2020_e1_2",1,1,3,2253,"Include",23
"WKH2020_e1","WKH2020_e1_2",1,1,5,1846,"Include",24
"WKH2020_e1","WKH2020_e1_2",1,1,6,1454,"Include",25
"WKH2020_e1","WKH2020_e1_2",1,0,2,1360,"Include",26
"WKH2020_e1","WKH2020_e1_2",1,0,2,1871,"Include",27
"WKH2020_e1","WKH2020_e1_2",1,1,6,1658,"Include",28
"WKH2020_e1","WKH2020_e1_2",1,1,6,1345,"Include",29
"WKH2020_e1","WKH2020_e1_2",1,1,5,2127,"Include",30
"WKH2020_e1","WKH2020_e1_2",1,0,2,1634,"Include",31
"WKH2020_e1","WKH2020_e1_2",1,0,2,1447,"Include",32
"WKH2020_e1","WKH2020_e1_2",1,1,5,1593,"Include",33
"WKH2020_e1","WKH2020_e1_2",1,1,4,2052,"Include",34
"WKH2020_e1","WKH2020_e1_2",1,0,2,1632,"Include",35
"WKH2020_e1","WKH2020_e1_2",1,0,2,2946,"Include",36
"WKH2020_e1","WKH2020_e1_2",1,1,4,2290,"Include",37
"WKH2020_e1","WKH2020_e1_2",1,0,2,1333,"Include",38
"WKH2020_e1","WKH2020_e1_2",1,1,5,1702,"Include",39
"WKH2020_e1","WKH2020_e1_2",1,0,5,2500,"Include",40
"WKH2020_e1","WKH2020_e1_2",1,0,2,1476,"Include",41
"WKH2020_e1","WKH2020_e1_2",1,1,4,1937,"Include",42
"WKH2020_e1","WKH2020_e1_2",1,0,3,2348,"Include",43
"WKH2020_e1","WKH2020_e1_2",1,1,3,4578,"Include",44
"WKH2020_e1","WKH2020_e1_2",1,0,2,2053,"Include",45
"WKH2020_e1","WKH2020_e1_2",1,0,2,1562,"Include",46
"WKH2020_e1","WKH2020_e1_2",1,1,2,1282,"Include",47
"WKH2020_e1","WKH2020_e1_2",1,1,6,2069,"Include",48
"WKH2020_e1","WKH2020_e1_2",1,0,4,3550,"Include",49
"WKH2020_e1","WKH2020_e1_2",1,0,2,1773,"Include",50
"WKH2020_e1","WKH2020_e1_2",1,1,5,1652,"Include",51
"WKH2020_e1","WKH2020_e1_2",1,1,6,1844,"Include",52
"WKH2020_e1","WKH2020_e1_2",1,1,6,1470,"Include",53
"WKH2020_e1","WKH2020_e1_2",1,0,1,1819,"Include",54
"WKH2020_e1","WKH2020_e1_2",1,1,5,2147,"Include",55
"WKH2020_e1","WKH2020_e1_2",1,0,1,2105,"Include",56
"WKH2020_e1","WKH2020_e1_2",1,1,6,1677,"Include",57
"WKH2020_e1","WKH2020_e1_2",1,0,4,2897,"Include",58
"WKH2020_e1","WKH2020_e1_2",1,0,2,1919,"Include",59
"WKH2020_e1","WKH2020_e1_2",1,1,5,2006,"Include",60
"WKH2020_e1","WKH2020_e1_2",1,1,6,2057,"Include",61
