"exp","id","item","trial","isold","rating","excluding"
"WKS2020_e1","WKS2020_e1_102","305.jpg",1,1,2,"Include"
"WKS2020_e1","WKS2020_e1_102","200.jpg",2,1,3,"Include"
"WKS2020_e1","WKS2020_e1_102","364.jpg",3,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","874.jpg",4,1,2,"Include"
"WKS2020_e1","WKS2020_e1_102","729.jpg",5,0,2,"Include"
"WKS2020_e1","WKS2020_e1_102","887.jpg",6,1,5,"Include"
"WKS2020_e1","WKS2020_e1_102","562.jpg",7,1,2,"Include"
"WKS2020_e1","WKS2020_e1_102","422.jpg",8,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","306.jpg",9,0,5,"Include"
"WKS2020_e1","WKS2020_e1_102","59.jpg",10,1,5,"Include"
"WKS2020_e1","WKS2020_e1_102","153.jpg",11,1,4,"Include"
"WKS2020_e1","WKS2020_e1_102","697.jpg",12,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","175.jpg",13,0,2,"Include"
"WKS2020_e1","WKS2020_e1_102","873.jpg",14,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","594.jpg",15,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","240.jpg",16,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","829.jpg",17,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","227.jpg",18,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","892.jpg",19,0,2,"Include"
"WKS2020_e1","WKS2020_e1_102","457.jpg",20,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","69.jpg",21,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","832.jpg",22,0,2,"Include"
"WKS2020_e1","WKS2020_e1_102","55.jpg",23,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","351.jpg",24,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","437.jpg",25,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","721.jpg",26,1,5,"Include"
"WKS2020_e1","WKS2020_e1_102","302.jpg",27,0,3,"Include"
"WKS2020_e1","WKS2020_e1_102","687.jpg",28,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","365.jpg",29,0,2,"Include"
"WKS2020_e1","WKS2020_e1_102","257.jpg",30,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","202.jpg",31,1,4,"Include"
"WKS2020_e1","WKS2020_e1_102","521.jpg",32,0,2,"Include"
"WKS2020_e1","WKS2020_e1_102","334.jpg",33,0,2,"Include"
"WKS2020_e1","WKS2020_e1_102","821.jpg",34,0,3,"Include"
"WKS2020_e1","WKS2020_e1_102","7.jpg",35,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","843.jpg",36,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","282.jpg",37,1,2,"Include"
"WKS2020_e1","WKS2020_e1_102","304.jpg",38,0,3,"Include"
"WKS2020_e1","WKS2020_e1_102","318.jpg",39,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","285.jpg",40,0,2,"Include"
"WKS2020_e1","WKS2020_e1_102","237.jpg",41,0,3,"Include"
"WKS2020_e1","WKS2020_e1_102","286.jpg",42,1,5,"Include"
"WKS2020_e1","WKS2020_e1_102","862.jpg",43,1,2,"Include"
"WKS2020_e1","WKS2020_e1_102","649.jpg",44,0,4,"Include"
"WKS2020_e1","WKS2020_e1_102","81.jpg",45,1,3,"Include"
"WKS2020_e1","WKS2020_e1_102","350.jpg",46,1,5,"Include"
"WKS2020_e1","WKS2020_e1_102","587.jpg",47,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","605.jpg",48,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","802.jpg",49,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","548.jpg",50,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","778.jpg",51,0,3,"Include"
"WKS2020_e1","WKS2020_e1_102","225.jpg",52,1,3,"Include"
"WKS2020_e1","WKS2020_e1_102","496.jpg",53,0,3,"Include"
"WKS2020_e1","WKS2020_e1_102","596.jpg",54,0,3,"Include"
"WKS2020_e1","WKS2020_e1_102","357.jpg",55,0,5,"Include"
"WKS2020_e1","WKS2020_e1_102","116.jpg",56,1,2,"Include"
"WKS2020_e1","WKS2020_e1_102","675.jpg",57,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","394.jpg",58,0,4,"Include"
"WKS2020_e1","WKS2020_e1_102","611.jpg",59,0,2,"Include"
"WKS2020_e1","WKS2020_e1_102","849.jpg",60,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","15.jpg",61,0,2,"Include"
"WKS2020_e1","WKS2020_e1_102","762.jpg",62,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","728.jpg",63,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","419.jpg",64,1,5,"Include"
"WKS2020_e1","WKS2020_e1_102","608.jpg",65,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","659.jpg",66,0,5,"Include"
"WKS2020_e1","WKS2020_e1_102","698.jpg",67,0,3,"Include"
"WKS2020_e1","WKS2020_e1_102","208.jpg",68,1,3,"Include"
"WKS2020_e1","WKS2020_e1_102","534.JPG",69,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","40.jpg",70,0,5,"Include"
"WKS2020_e1","WKS2020_e1_102","791.jpg",71,1,5,"Include"
"WKS2020_e1","WKS2020_e1_102","266.jpg",72,0,3,"Include"
"WKS2020_e1","WKS2020_e1_102","67.jpg",73,1,3,"Include"
"WKS2020_e1","WKS2020_e1_102","470.jpg",74,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","82.jpg",75,0,2,"Include"
"WKS2020_e1","WKS2020_e1_102","22.jpg",76,0,3,"Include"
"WKS2020_e1","WKS2020_e1_102","784.jpg",77,0,3,"Include"
"WKS2020_e1","WKS2020_e1_102","239.jpg",78,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","593.jpg",79,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","293.jpg",80,0,2,"Include"
"WKS2020_e1","WKS2020_e1_102","272.jpg",81,0,3,"Include"
"WKS2020_e1","WKS2020_e1_102","290.jpg",82,1,5,"Include"
"WKS2020_e1","WKS2020_e1_102","684.jpg",83,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","281.jpg",84,0,2,"Include"
"WKS2020_e1","WKS2020_e1_102","410.jpg",85,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","716.jpg",86,0,5,"Include"
"WKS2020_e1","WKS2020_e1_102","373.jpg",87,0,3,"Include"
"WKS2020_e1","WKS2020_e1_102","749.jpg",88,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","442.jpg",89,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","780.jpg",90,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","120.jpg",91,1,5,"Include"
"WKS2020_e1","WKS2020_e1_102","504.jpg",92,0,2,"Include"
"WKS2020_e1","WKS2020_e1_102","5.jpg",93,1,1,"Include"
"WKS2020_e1","WKS2020_e1_102","898.jpg",94,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","18.jpg",95,0,2,"Include"
"WKS2020_e1","WKS2020_e1_102","201.jpg",96,0,2,"Include"
"WKS2020_e1","WKS2020_e1_102","278.jpg",97,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","370.jpg",98,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","280.jpg",99,1,4,"Include"
"WKS2020_e1","WKS2020_e1_102","199.jpg",100,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","347.jpg",101,0,3,"Include"
"WKS2020_e1","WKS2020_e1_102","660.jpg",102,1,3,"Include"
"WKS2020_e1","WKS2020_e1_102","812.jpg",103,0,4,"Include"
"WKS2020_e1","WKS2020_e1_102","174.jpg",104,0,2,"Include"
"WKS2020_e1","WKS2020_e1_102","691.jpg",105,0,5,"Include"
"WKS2020_e1","WKS2020_e1_102","707.jpg",106,1,3,"Include"
"WKS2020_e1","WKS2020_e1_102","764.jpg",107,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","779.jpg",108,0,3,"Include"
"WKS2020_e1","WKS2020_e1_102","2.jpg",109,0,3,"Include"
"WKS2020_e1","WKS2020_e1_102","49.jpg",110,1,3,"Include"
"WKS2020_e1","WKS2020_e1_102","807.jpg",111,0,99,"Exclude"
"WKS2020_e1","WKS2020_e1_102","446.jpg",112,0,3,"Include"
"WKS2020_e1","WKS2020_e1_102","453.jpg",113,1,4,"Include"
"WKS2020_e1","WKS2020_e1_102","36.jpg",114,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","836.jpg",115,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","867.jpg",116,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","468.jpg",117,1,5,"Include"
"WKS2020_e1","WKS2020_e1_102","479.jpg",118,1,3,"Include"
"WKS2020_e1","WKS2020_e1_102","506.jpg",119,0,2,"Include"
"WKS2020_e1","WKS2020_e1_102","440.jpg",120,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","413.jpg",121,0,4,"Include"
"WKS2020_e1","WKS2020_e1_102","177.jpg",122,1,5,"Include"
"WKS2020_e1","WKS2020_e1_102","681.jpg",123,0,3,"Include"
"WKS2020_e1","WKS2020_e1_102","327.jpg",124,0,4,"Include"
"WKS2020_e1","WKS2020_e1_102","144.jpg",125,0,2,"Include"
"WKS2020_e1","WKS2020_e1_102","766.jpg",126,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","561.jpg",127,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","543.jpg",128,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","402.jpg",129,0,2,"Include"
"WKS2020_e1","WKS2020_e1_102","834.jpg",130,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","405.jpg",131,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","569.jpg",132,1,3,"Include"
"WKS2020_e1","WKS2020_e1_102","29.jpg",133,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","852.jpg",134,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","449.jpg",135,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","48.jpg",136,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","788.jpg",137,0,2,"Include"
"WKS2020_e1","WKS2020_e1_102","119.jpg",138,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","508.jpg",139,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","738.jpg",140,1,99,"Exclude"
"WKS2020_e1","WKS2020_e1_102","734.jpg",141,0,4,"Include"
"WKS2020_e1","WKS2020_e1_102","63.jpg",142,1,3,"Include"
"WKS2020_e1","WKS2020_e1_102","188.jpg",143,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","751.jpg",144,0,2,"Include"
"WKS2020_e1","WKS2020_e1_102","182.jpg",145,0,1,"Include"
"WKS2020_e1","WKS2020_e1_102","545.jpg",146,0,5,"Include"
"WKS2020_e1","WKS2020_e1_102","432.jpg",147,1,6,"Include"
"WKS2020_e1","WKS2020_e1_102","797.jpg",148,0,2,"Include"
"WKS2020_e1","WKS2020_e1_102","232.jpg",149,1,6,"Include"
