"exp","id","item","isold","condition1","rating","excluding","trial"
"WLH2011_e1","WLH2011_e1_1","r1neu16",0,"ValenceNeutral",4,"Include",1
"WLH2011_e1","WLH2011_e1_1","pos23",1,"ValencePositive",2,"Include",2
"WLH2011_e1","WLH2011_e1_1","r1neg28",0,"ValenceNegative",17,"Include",3
"WLH2011_e1","WLH2011_e1_1","r1neu15",0,"ValenceNeutral",3,"Include",4
"WLH2011_e1","WLH2011_e1_1","neu10",1,"ValenceNeutral",20,"Include",5
"WLH2011_e1","WLH2011_e1_1","neg23",1,"ValenceNegative",20,"Include",6
"WLH2011_e1","WLH2011_e1_1","r1pos17",0,"ValencePositive",1,"Include",7
"WLH2011_e1","WLH2011_e1_1","neg2",1,"ValenceNegative",20,"Include",8
"WLH2011_e1","WLH2011_e1_1","neg8",1,"ValenceNegative",20,"Include",9
"WLH2011_e1","WLH2011_e1_1","r1neu13",0,"ValenceNeutral",20,"Include",10
"WLH2011_e1","WLH2011_e1_1","r1pos14",0,"ValencePositive",2,"Include",11
"WLH2011_e1","WLH2011_e1_1","neu18",1,"ValenceNeutral",20,"Include",12
"WLH2011_e1","WLH2011_e1_1","pos10",1,"ValencePositive",5,"Include",13
"WLH2011_e1","WLH2011_e1_1","r1neg15",0,"ValenceNegative",2,"Include",14
"WLH2011_e1","WLH2011_e1_1","neu22",1,"ValenceNeutral",20,"Include",15
"WLH2011_e1","WLH2011_e1_1","r1neg4",0,"ValenceNegative",1,"Include",16
"WLH2011_e1","WLH2011_e1_1","r1neg23",0,"ValenceNegative",2,"Include",17
"WLH2011_e1","WLH2011_e1_1","neu29",1,"ValenceNeutral",20,"Include",18
"WLH2011_e1","WLH2011_e1_1","pos7",1,"ValencePositive",20,"Include",19
"WLH2011_e1","WLH2011_e1_1","r1pos30",0,"ValencePositive",3,"Include",20
"WLH2011_e1","WLH2011_e1_1","neu15",1,"ValenceNeutral",20,"Include",21
"WLH2011_e1","WLH2011_e1_1","r1neu14",0,"ValenceNeutral",5,"Include",22
"WLH2011_e1","WLH2011_e1_1","r1neg1",0,"ValenceNegative",20,"Include",23
"WLH2011_e1","WLH2011_e1_1","pos15",1,"ValencePositive",20,"Include",24
"WLH2011_e1","WLH2011_e1_1","pos18",1,"ValencePositive",20,"Include",25
"WLH2011_e1","WLH2011_e1_1","r1neg2",0,"ValenceNegative",1,"Include",26
"WLH2011_e1","WLH2011_e1_1","neg15",1,"ValenceNegative",20,"Include",27
"WLH2011_e1","WLH2011_e1_1","r1pos22",0,"ValencePositive",15,"Include",28
"WLH2011_e1","WLH2011_e1_1","r1neu12",0,"ValenceNeutral",4,"Include",29
"WLH2011_e1","WLH2011_e1_1","neg17",1,"ValenceNegative",20,"Include",30
"WLH2011_e1","WLH2011_e1_1","neu14",1,"ValenceNeutral",20,"Include",31
"WLH2011_e1","WLH2011_e1_1","r1pos6",0,"ValencePositive",3,"Include",32
"WLH2011_e1","WLH2011_e1_1","pos30",1,"ValencePositive",20,"Include",33
"WLH2011_e1","WLH2011_e1_1","neg3",1,"ValenceNegative",2,"Include",34
"WLH2011_e1","WLH2011_e1_1","r1pos3",0,"ValencePositive",4,"Include",35
"WLH2011_e1","WLH2011_e1_1","r1neg13",0,"ValenceNegative",2,"Include",36
"WLH2011_e1","WLH2011_e1_1","neu13",1,"ValenceNeutral",17,"Include",37
"WLH2011_e1","WLH2011_e1_1","r1pos28",0,"ValencePositive",3,"Include",38
"WLH2011_e1","WLH2011_e1_1","r1neu3",0,"ValenceNeutral",2,"Include",39
"WLH2011_e1","WLH2011_e1_1","neg27",1,"ValenceNegative",19,"Include",40
"WLH2011_e1","WLH2011_e1_1","r1neu10",0,"ValenceNeutral",2,"Include",41
"WLH2011_e1","WLH2011_e1_1","r1pos29",0,"ValencePositive",19,"Include",42
"WLH2011_e1","WLH2011_e1_1","neu4",1,"ValenceNeutral",20,"Include",43
"WLH2011_e1","WLH2011_e1_1","pos14",1,"ValencePositive",20,"Include",44
"WLH2011_e1","WLH2011_e1_1","r1neg10",0,"ValenceNegative",3,"Include",45
"WLH2011_e1","WLH2011_e1_1","neg10",1,"ValenceNegative",20,"Include",46
"WLH2011_e1","WLH2011_e1_1","pos26",1,"ValencePositive",20,"Include",47
"WLH2011_e1","WLH2011_e1_1","r1neu26",0,"ValenceNeutral",5,"Include",48
"WLH2011_e1","WLH2011_e1_1","neg29",1,"ValenceNegative",2,"Include",49
"WLH2011_e1","WLH2011_e1_1","pos24",1,"ValencePositive",17,"Include",50
"WLH2011_e1","WLH2011_e1_1","r1pos18",0,"ValencePositive",4,"Include",51
"WLH2011_e1","WLH2011_e1_1","neu28",1,"ValenceNeutral",20,"Include",52
"WLH2011_e1","WLH2011_e1_1","r1neg14",0,"ValenceNegative",1,"Include",53
"WLH2011_e1","WLH2011_e1_1","r1neu23",0,"ValenceNeutral",1,"Include",54
"WLH2011_e1","WLH2011_e1_1","neu2",1,"ValenceNeutral",20,"Include",55
"WLH2011_e1","WLH2011_e1_1","r1neg11",0,"ValenceNegative",20,"Include",56
"WLH2011_e1","WLH2011_e1_1","pos17",1,"ValencePositive",20,"Include",57
"WLH2011_e1","WLH2011_e1_1","r1neu5",0,"ValenceNeutral",3,"Include",58
"WLH2011_e1","WLH2011_e1_1","neg4",1,"ValenceNegative",20,"Include",59
"WLH2011_e1","WLH2011_e1_1","neg19",1,"ValenceNegative",20,"Include",60
"WLH2011_e1","WLH2011_e1_1","r1neu29",0,"ValenceNeutral",20,"Include",61
"WLH2011_e1","WLH2011_e1_1","pos27",1,"ValencePositive",20,"Include",62
"WLH2011_e1","WLH2011_e1_1","r1neu25",0,"ValenceNeutral",3,"Include",63
"WLH2011_e1","WLH2011_e1_1","pos13",1,"ValencePositive",20,"Include",64
"WLH2011_e1","WLH2011_e1_1","r1pos21",0,"ValencePositive",5,"Include",65
