"exp","id","item","isold","condition1","condition2","rating","excluding","trial"
"WLM2009_e1","WLM2009_e1_1","r1neg16",0,"GrayscaleImage","ValenceNegative",2,"Include",1
"WLM2009_e1","WLM2009_e1_1","r1neu15",0,"GrayscaleImage","ValenceNeutral",3,"Include",2
"WLM2009_e1","WLM2009_e1_1","pos5",1,"GrayscaleImage","ValencePositive",5,"Include",3
"WLM2009_e1","WLM2009_e1_1","r1pos29",0,"GrayscaleImage","ValencePositive",5,"Include",4
"WLM2009_e1","WLM2009_e1_1","r1neu25",0,"GrayscaleImage","ValenceNeutral",5,"Include",5
"WLM2009_e1","WLM2009_e1_1","pos26",1,"GrayscaleImage","ValencePositive",4,"Include",6
"WLM2009_e1","WLM2009_e1_1","neu1",1,"GrayscaleImage","ValenceNeutral",4,"Include",7
"WLM2009_e1","WLM2009_e1_1","r1neg12",0,"GrayscaleImage","ValenceNegative",17,"Include",8
"WLM2009_e1","WLM2009_e1_1","neg9",1,"GrayscaleImage","ValenceNegative",6,"Include",9
"WLM2009_e1","WLM2009_e1_1","r1pos20",0,"GrayscaleImage","ValencePositive",5,"Include",10
"WLM2009_e1","WLM2009_e1_1","r1neg9",0,"GrayscaleImage","ValenceNegative",4,"Include",11
"WLM2009_e1","WLM2009_e1_1","neg18",1,"GrayscaleImage","ValenceNegative",17,"Include",12
"WLM2009_e1","WLM2009_e1_1","r1pos9",0,"GrayscaleImage","ValencePositive",4,"Include",13
"WLM2009_e1","WLM2009_e1_1","neu8",1,"GrayscaleImage","ValenceNeutral",15,"Include",14
"WLM2009_e1","WLM2009_e1_1","r1neg14",0,"GrayscaleImage","ValenceNegative",4,"Include",15
"WLM2009_e1","WLM2009_e1_1","pos23",1,"GrayscaleImage","ValencePositive",3,"Include",16
"WLM2009_e1","WLM2009_e1_1","r1pos6",0,"GrayscaleImage","ValencePositive",3,"Include",17
"WLM2009_e1","WLM2009_e1_1","neu25",1,"GrayscaleImage","ValenceNeutral",4,"Include",18
"WLM2009_e1","WLM2009_e1_1","r1neu21",0,"GrayscaleImage","ValenceNeutral",4,"Include",19
"WLM2009_e1","WLM2009_e1_1","pos30",1,"GrayscaleImage","ValencePositive",17,"Include",20
"WLM2009_e1","WLM2009_e1_1","neg29",1,"GrayscaleImage","ValenceNegative",17,"Include",21
"WLM2009_e1","WLM2009_e1_1","r1neg27",0,"GrayscaleImage","ValenceNegative",3,"Include",22
"WLM2009_e1","WLM2009_e1_1","r1neu30",0,"GrayscaleImage","ValenceNeutral",2,"Include",23
"WLM2009_e1","WLM2009_e1_1","neg15",1,"GrayscaleImage","ValenceNegative",18,"Include",24
"WLM2009_e1","WLM2009_e1_1","r1pos3",0,"GrayscaleImage","ValencePositive",2,"Include",25
"WLM2009_e1","WLM2009_e1_1","pos14",1,"GrayscaleImage","ValencePositive",17,"Include",26
"WLM2009_e1","WLM2009_e1_1","neg19",1,"GrayscaleImage","ValenceNegative",16,"Include",27
"WLM2009_e1","WLM2009_e1_1","r1neu1",0,"GrayscaleImage","ValenceNeutral",2,"Include",28
"WLM2009_e1","WLM2009_e1_1","neu18",1,"GrayscaleImage","ValenceNeutral",4,"Include",29
"WLM2009_e1","WLM2009_e1_1","pos19",1,"GrayscaleImage","ValencePositive",19,"Include",30
"WLM2009_e1","WLM2009_e1_1","r1neu14",0,"GrayscaleImage","ValenceNeutral",3,"Include",31
"WLM2009_e1","WLM2009_e1_1","r1neg5",0,"GrayscaleImage","ValenceNegative",4,"Include",32
"WLM2009_e1","WLM2009_e1_1","neu26",1,"GrayscaleImage","ValenceNeutral",18,"Include",33
"WLM2009_e1","WLM2009_e1_1","r1pos30",0,"GrayscaleImage","ValencePositive",15,"Include",34
"WLM2009_e1","WLM2009_e1_1","neg13",1,"GrayscaleImage","ValenceNegative",17,"Include",35
"WLM2009_e1","WLM2009_e1_1","r1neg15",0,"GrayscaleImage","ValenceNegative",4,"Include",36
"WLM2009_e1","WLM2009_e1_1","pos10",1,"GrayscaleImage","ValencePositive",18,"Include",37
"WLM2009_e1","WLM2009_e1_1","r1pos2",0,"GrayscaleImage","ValencePositive",3,"Include",38
"WLM2009_e1","WLM2009_e1_1","r1neu16",0,"GrayscaleImage","ValenceNeutral",2,"Include",39
"WLM2009_e1","WLM2009_e1_1","neu24",1,"GrayscaleImage","ValenceNeutral",18,"Include",40
