"exp","id","block","trial","isold","condition1","rating","excluding"
"WMS2012_e1","WMS2012_e1_5",1,1,1,"Theta",2,"Include"
"WMS2012_e1","WMS2012_e1_5",1,2,1,"Theta",5,"Include"
"WMS2012_e1","WMS2012_e1_5",1,3,0,"New",3,"Include"
"WMS2012_e1","WMS2012_e1_5",1,4,1,"Theta",4,"Include"
"WMS2012_e1","WMS2012_e1_5",1,5,1,"Alpha",3,"Include"
"WMS2012_e1","WMS2012_e1_5",1,6,1,"Theta",5,"Include"
"WMS2012_e1","WMS2012_e1_5",1,7,1,"Alpha",3,"Include"
"WMS2012_e1","WMS2012_e1_5",1,8,0,"New",2,"Include"
"WMS2012_e1","WMS2012_e1_5",1,9,0,"New",1,"Include"
"WMS2012_e1","WMS2012_e1_5",1,10,1,"Alpha",5,"Include"
"WMS2012_e1","WMS2012_e1_5",1,11,1,"Theta",5,"Include"
"WMS2012_e1","WMS2012_e1_5",1,12,1,"Theta",5,"Include"
"WMS2012_e1","WMS2012_e1_5",1,13,1,"Alpha",6,"Include"
"WMS2012_e1","WMS2012_e1_5",1,14,0,"New",3,"Include"
"WMS2012_e1","WMS2012_e1_5",1,15,1,"Alpha",6,"Include"
"WMS2012_e1","WMS2012_e1_5",1,16,1,"Theta",4,"Include"
"WMS2012_e1","WMS2012_e1_5",1,17,1,"Theta",4,"Include"
"WMS2012_e1","WMS2012_e1_5",1,18,1,"Alpha",5,"Include"
"WMS2012_e1","WMS2012_e1_5",1,19,1,"Alpha",2,"Include"
"WMS2012_e1","WMS2012_e1_5",1,20,1,"Alpha",4,"Include"
"WMS2012_e1","WMS2012_e1_5",1,21,1,"Theta",4,"Include"
"WMS2012_e1","WMS2012_e1_5",1,22,0,"New",4,"Include"
"WMS2012_e1","WMS2012_e1_5",1,23,1,"Theta",3,"Include"
"WMS2012_e1","WMS2012_e1_5",1,24,1,"Theta",5,"Include"
"WMS2012_e1","WMS2012_e1_5",1,25,1,"Alpha",1,"Include"
"WMS2012_e1","WMS2012_e1_5",1,26,1,"Alpha",2,"Include"
"WMS2012_e1","WMS2012_e1_5",1,27,1,"Alpha",3,"Include"
"WMS2012_e1","WMS2012_e1_5",1,28,1,"Alpha",4,"Include"
"WMS2012_e1","WMS2012_e1_5",1,29,1,"Theta",4,"Include"
"WMS2012_e1","WMS2012_e1_5",1,30,1,"Alpha",2,"Include"
"WMS2012_e1","WMS2012_e1_5",1,31,1,"Theta",4,"Include"
"WMS2012_e1","WMS2012_e1_5",1,32,1,"Theta",4,"Include"
"WMS2012_e1","WMS2012_e1_5",1,33,1,"Alpha",6,"Include"
"WMS2012_e1","WMS2012_e1_5",1,34,0,"New",2,"Include"
"WMS2012_e1","WMS2012_e1_5",1,35,1,"Alpha",4,"Include"
"WMS2012_e1","WMS2012_e1_5",1,36,0,"New",4,"Include"
"WMS2012_e1","WMS2012_e1_5",1,37,1,"Alpha",1,"Include"
"WMS2012_e1","WMS2012_e1_5",1,38,1,"Alpha",4,"Include"
"WMS2012_e1","WMS2012_e1_5",1,39,1,"Alpha",2,"Include"
"WMS2012_e1","WMS2012_e1_5",1,40,0,"New",2,"Include"
"WMS2012_e1","WMS2012_e1_5",1,41,1,"Alpha",5,"Include"
"WMS2012_e1","WMS2012_e1_5",1,42,1,"Theta",4,"Include"
"WMS2012_e1","WMS2012_e1_5",1,43,0,"New",2,"Include"
"WMS2012_e1","WMS2012_e1_5",1,44,0,"New",1,"Include"
"WMS2012_e1","WMS2012_e1_5",1,45,0,"New",3,"Include"
"WMS2012_e1","WMS2012_e1_5",1,46,0,"New",2,"Include"
"WMS2012_e1","WMS2012_e1_5",1,47,0,"New",3,"Include"
"WMS2012_e1","WMS2012_e1_5",1,48,1,"Alpha",6,"Include"
"WMS2012_e1","WMS2012_e1_5",1,49,0,"New",1,"Include"
"WMS2012_e1","WMS2012_e1_5",1,50,1,"Alpha",6,"Include"
"WMS2012_e1","WMS2012_e1_5",1,51,0,"New",2,"Include"
"WMS2012_e1","WMS2012_e1_5",1,52,1,"Alpha",4,"Include"
"WMS2012_e1","WMS2012_e1_5",1,53,0,"New",4,"Include"
"WMS2012_e1","WMS2012_e1_5",1,54,1,"Theta",2,"Include"
"WMS2012_e1","WMS2012_e1_5",1,55,0,"New",4,"Include"
"WMS2012_e1","WMS2012_e1_5",1,56,1,"Alpha",5,"Include"
"WMS2012_e1","WMS2012_e1_5",1,57,1,"Alpha",2,"Include"
"WMS2012_e1","WMS2012_e1_5",1,58,0,"New",4,"Include"
"WMS2012_e1","WMS2012_e1_5",1,59,0,"New",3,"Include"
