"exp","id","block","trial","isold","condition1","condition2","rating","RT_CONF","RT_ON","excluding"
"ZSB2021_e1","ZSB2021_e1_19",2,35,1,"older","RecogFirst",12,1859,3609,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,36,0,"older","RecogFirst",11,1303,7996,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,37,1,"older","RecogFirst",12,1787,2150,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,38,0,"older","RecogFirst",3,1587,8142,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,39,1,"older","RecogFirst",12,1531,2175,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,40,1,"older","RecogFirst",12,1855,2513,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,41,0,"older","RecogFirst",1,6107,3184,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,42,0,"older","RecogFirst",10,1219,11450,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,43,1,"older","RecogFirst",12,1131,2109,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,44,1,"older","RecogFirst",12,1815,1737,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,45,1,"older","RecogFirst",9,1902,9145,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,46,0,"older","RecogFirst",4,1628,4093,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,47,0,"older","RecogFirst",1,2300,2518,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,48,1,"older","RecogFirst",12,1531,2051,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,49,1,"older","RecogFirst",11,683,2409,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,50,0,"older","RecogFirst",10,1030,8995,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,51,0,"older","RecogFirst",3,2583,3488,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,52,1,"older","RecogFirst",12,617,2723,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,53,0,"older","RecogFirst",3,923,13075,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,54,1,"older","RecogFirst",12,765,3977,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,55,0,"older","RecogFirst",3,461,11377,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,56,0,"older","RecogFirst",3,189,5694,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,57,1,"older","RecogFirst",3,636,5393,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,58,1,"older","RecogFirst",12,469,3077,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,59,0,"older","RecogFirst",4,1832,11805,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,60,1,"older","RecogFirst",12,617,3473,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,61,0,"older","RecogFirst",4,635,8075,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,62,0,"older","RecogFirst",4,1215,3405,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,63,1,"older","RecogFirst",12,655,1945,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,64,0,"older","RecogFirst",12,551,4479,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,65,1,"older","RecogFirst",11,243,11100,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,66,0,"older","RecogFirst",3,5619,4092,"Include"
