PublishStatus,Experiment,Citation,Iteminformation,MetaManipulation,TotParticipants,MetaParticipants,MetaModification,RatingScaleSize,MetaKeymanipulation,MetaStimuli,TotManipulation,TotDesign,TotStimuli,ContainsRT,Trialorderpreserved,Trialsperperson,Confidenceprocedure,Delaytotest
Publish,AP2007_e1,"Algarabel, S., & Pitarque, A. (2007). Context, remember–know recognition judgements, and ROC parameters. Memory, 15(5), 477–494. doi:10.1080/09658210701312226 (Exp 1)",No,None,96,32,Only Congruent condition (between subjects),6,,Images of scenes,Between-subjects,"3 Congruency of image following encoding stimulus (Congruent, Absent, Incongruent)",Images of scenes,No,No,60,confidence + RK for 'old' judgments,immediate
Publish,AP2007_e2,"Algarabel, S., & Pitarque, A. (2007). Context, remember–know recognition judgements, and ROC parameters. Memory, 15(5), 477–494. doi:10.1080/09658210701312226 (Exp 2)",No,None,64,32,Only Congruent condition (between subjects),6,,Images of scenes,Between-subjects ,"2 Congruency of image following encoding stimulus  (Congruent, Absent, Incongruent)",Images of scenes,No,No,60,confidence + RK for 'old' judgments,immediate
Publish,AP2007_e3,"Algarabel, S., & Pitarque, A. (2007). Context, remember–know recognition judgements, and ROC parameters. Memory, 15(5), 477–494. doi:10.1080/09658210701312226 (Exp 3)",No,None,27,27,Only Full condition (between subjects),6,,Images of scenes,Between-subjects,"2 Congruency encoding/test stimuli (Partial, Full)",Images of scenes,No,No,60,confidence + RK for 'old' judgments,immediate
Publish,APH2016_e1,"Averell, L., Prince, M., & Heathcote, A. (2016). Fundamental causes of systematic and random variability in recognition memory. Journal of Memory and Language, 88, 51–69. doi:10.1016/j.jml.2015.12.010",Yes,Between-subjects,63,63,,6,order of old items in test list,"Words (common, 4 - 8 letters)",Between-subjects,"3 Order of old items in test list (Backward, Forward, Random)","Words (common, 4 - 8 letters)",Yes,Yes,624,confidence,immediate
Publish,BKSR2013_e1,"Bröder, A., Kellen, D., Schütz, J., & Rohrmeier, C. (2013). Validating a two-high-threshold measurement model for confidence rating data in recognition. Memory, 21(8), 916–944. doi:10.1080/09658211.2013.767348 (Exp 1)",Yes,Between-subjects,68,68,,8,wording of confidence scale,Line drawings,Between-subjects,"2 wording of confidence scale (weak, strong)",Line drawings,No,Yes,240,confidence,immediate
Publish,BSG2014_e1,"Bayer, J., Schultz, H., Gamer, M., & Sommer, T. (2014). Menstrual-cycle dependent fluctuations in ovarian hormones affect emotional memory. Neurobiology of Learning and Memory, 110, 55–63. doi:10.1016/j.nlm.2014.01.017",Yes,Within-subjects (Within-block),20,20,"Recoded:, isold: ""time1_ValNegative_0"" = 0, remainder = 1",6,Valence of old and new words x menstruation cycle time,IAPS images,Within-subjects (Within-block),3 Valence of old and new words (x 2 isold) x 2 menstruation cycle time ,IAPS images,No,Yes,576,confidence,2 days
Publish,BTL2013_e1,"Benjamin, A. S., Tullis, J. G., & Lee, J. H. (2013). Criterion noise in ratings-based recognition: Evidence from the effects of response scale length on recognition accuracy. Journal of Experimental Psychology: Learning, Memory, and Cognition, 39(5), 1601–1608. doi:10.1037/a0031849",No,None,124,124,,8,,"Words (high, low frequency; 4 - 8 letters)",None,,"Words (high, low frequency; 4 - 8 letters)",No,No,120,confidence,immediate
Publish,CSR2015_e1,"Chen, T., Starns, J. J., & Rotello, C. M. (2015). A violation of the conditional independence assumption in the two-high-threshold model of recognition memory. Journal of Experimental Psychology: Learning, Memory, and Cognition, 41(4), 1215–1222. doi:10.1037/xlm0000077",Yes,Within-subjects (Encoding manipulation),35,35,,6,"Repetition at encoding, within-block",Words (4 - 7 letters),Within-subjects (Encoding manipulation),"4 Repetition at encoding, within-block (R1,R2, R4, R4 + deep encoding)",Words (4 - 7 letters),Yes,Yes,"1176 (588 new, 168 R1, R2, R4, 84 R4 +deep encoding)",confidence,immediate
Publish,D2007_e1a,"DeCarlo, L. T. (2007). The mirror effect and mixture signal detection theory. Journal of Experimental Psychology: Learning, Memory, and Cognition, 33(1), 18–33. doi:10.1037/0278-7393.33.1.18 (Exp 1a)",Yes,Within-subjects (Within-block),72,72,"Recoded: isold - HF-N = 0, remainder = 1.",6,"Word frequency, within-block","Words (high, low frequency; 5 - 7 letters)",Within-subjects (Within-block),"2 Word frequency (high, low) x 2 isold (old, new)","Words (high, low frequency; 5 - 7 letters)",Yes,Yes,280,confidence,immediate
Publish,D2007_e1b,"DeCarlo, L. T. (2007). The mirror effect and mixture signal detection theory. Journal of Experimental Psychology: Learning, Memory, and Cognition, 33(1), 18–33. doi:10.1037/0278-7393.33.1.18 (Exp 1b)",Yes,Within-subjects (Within-block),42,42,"Recoded: isold - HF-N = 0, remainder = 1.",6,"Word frequency, within-block","Words (high, low frequency; 5 - 7 letters)",Within-subjects (Within-block),"2 Word frequency (high, low) x 2 isold (old, new)","Words (high, low frequency; 5 - 7 letters)",Yes,Yes,280,confidence,immediate
